dataset,full1763_vs_r01_delta_rate_percent,full1763_vs_r01_delta_yuv611,full3525_vs_r01_delta_rate_percent,full3525_vs_r01_delta_yuv611
RWTT Full28,4.984645786123729,0.34851351341819736,0.5431661891704728,-0.06705984060595682
longdress,4.453381653187193,-0.011775000000007196,3.4039962090521088,-0.592662500000003
loot,9.093918993488579,0.1272625000000005,10.029798035536924,-0.15322499999999195
redandblack,8.153598917364462,0.23146250000000634,9.56972487040997,-0.14665000000000106
soldier,3.337633021605924,-0.17121250000000998,4.495525636891319,-0.5280750000000012
