model_id,step1763_bpp,step1763_y_psnr,step1763_u_psnr,step1763_v_psnr,step1763_yuv_psnr_611,step3525_bpp,step3525_y_psnr,step3525_u_psnr,step3525_v_psnr,step3525_yuv_psnr_611,delta_bpp_3525_minus_1763,delta_y_psnr_3525_minus_1763,delta_u_psnr_3525_minus_1763,delta_v_psnr_3525_minus_1763,delta_yuv611_3525_minus_1763,quadrant
RWT115,0.5274961951215975,42.985116605259975,47.59933999664253,48.3939969691368,44.2380045746674,0.5436384880559904,42.6163596397237,47.74142894922667,48.21284664250341,43.95655417875903,0.016142292934392843,-0.3687569655362779,0.142088952584146,-0.18115032663339292,-0.2814503959083723,worse_quality_higher_rate
RWT14,1.6922729670444783,40.5845248314326,48.83151776246024,50.33917412250492,42.83473010919509,1.6202788630488378,39.68310094407596,48.96621091110351,50.34317317445118,42.17599871875131,-0.07199410399564043,-0.9014238873566427,0.1346931486432723,0.003999051946259158,-0.6587313904437835,worse_quality_lower_rate
RWT144,1.5436254459210808,41.36661636052154,43.51088650253428,43.630780344122954,41.91767062622331,1.5325731703150145,40.94183001005554,43.75332236820162,43.74848585349543,41.64409853525378,-0.011052275606066253,-0.42478635046600033,0.2424358656673462,0.11770550937247748,-0.2735720909695303,worse_quality_lower_rate
RWT158,1.0822810662726094,40.92595150453179,46.48662114488596,48.80004187896216,42.60529650637986,1.0256323406364167,40.308837858186955,46.576071937547894,48.79449596359681,42.15294938128331,-0.05664872563619272,-0.6171136463448335,0.08945079266193545,-0.0055459153653529825,-0.4523471250965514,worse_quality_lower_rate
RWT166,1.3029374593888723,40.43830342512046,39.91960692708057,40.60297694349022,40.39405055266169,0.9693174386548543,39.44264348706926,39.893836733758825,40.56542410363788,39.639390219976534,-0.333620020734018,-0.9956599380511975,-0.02577019332174757,-0.03755283985233859,-0.7546603326851553,worse_quality_lower_rate
RWT182,0.6338948000587243,42.62470902885801,48.37857251882536,48.2798333833889,44.05083250942029,0.6262984786684573,42.191111532406936,48.47199678193557,48.35457968021277,43.74665570707375,-0.007596321390267002,-0.43359749645107115,0.09342426311021512,0.07474629682387501,-0.30417680234653943,worse_quality_lower_rate
RWT21,0.5057250748539716,43.3321953014937,50.08463270422553,49.98933630466843,45.00839260223202,0.49333545196861,43.063576519327924,50.13837897242447,50.005131523166604,44.81562120144483,-0.012389622885361551,-0.26861878216577395,0.05374626819894246,0.015795218498176666,-0.19277140078719412,worse_quality_lower_rate
RWT226,1.5147366230647914,41.488977447514216,50.32779474167181,51.01000977363975,43.783958650049605,1.3895711425394712,40.78686452651428,50.32465950129306,51.137854846346144,43.27296268834061,-0.12516548052532017,-0.7021129209999373,-0.0031352403787465732,0.12784507270639267,-0.5109959617089928,worse_quality_lower_rate
RWT26,3.491828931872812,40.18175905874941,39.58951935519571,38.806823250990526,39.935862119835335,3.38734954689913,39.280894721774644,39.848547564741686,39.079397328067195,39.326664152932096,-0.10447938497368225,-0.9008643369747631,0.25902820954597416,0.27257407707666914,-0.6091979669032384,worse_quality_lower_rate
RWT285,1.461267198176482,40.390130280238445,47.772570350848945,50.46435988307577,42.57221398941942,1.3956457214974802,39.586175623553885,47.8061335326815,50.47648443122463,41.974958963153675,-0.06562147667900176,-0.8039546566845601,0.033563181832555244,0.01212454814885433,-0.5972550262657421,worse_quality_lower_rate
RWT287,2.1437009988186015,41.1134957992673,42.637695640123425,42.57320465111488,41.48648438585526,2.082808135396044,40.41903811545011,42.718960679452806,42.86425660812422,41.01218074753471,-0.0608928634225574,-0.6944576838171912,0.08126503932938078,0.29105195700934416,-0.47430363832055633,worse_quality_lower_rate
RWT296,0.41152623628535845,42.8476281279091,47.43932239450966,49.89286385338456,44.302244376918594,0.38864939949684213,42.61370765878212,47.509600891258344,49.90991882793753,44.13772070898607,-0.02287683678851632,-0.2339204691269785,0.07027849674868492,0.01705497455296978,-0.16452366793252082,worse_quality_lower_rate
RWT323,1.5291280802121916,40.92367893869277,45.5631287093582,45.670021670580134,42.09690300151186,1.4552995276085299,40.288598131447,45.79061941599127,45.908928632511035,41.67889210464804,-0.07382855260366172,-0.6350808072457639,0.2274907066330698,0.23890696193090122,-0.4180108968638194,worse_quality_lower_rate
RWT339,2.205516167862479,40.73245732646388,44.7057557249551,46.33762080798739,41.92976506146572,2.096699358590952,39.89257083047462,44.81358591026918,46.45432357291686,41.327916808254216,-0.1088168092715267,-0.839886495989262,0.10783018531408572,0.11670276492947096,-0.6018482532115073,worse_quality_lower_rate
RWT380,3.4491706293685973,40.683060573665,44.430499364632546,45.13887112002809,41.708466740831334,3.358087326182309,40.08307598412222,45.0933869820566,45.52868047868948,41.39006542068492,-0.09108330318628832,-0.5999845895427853,0.6628876174240546,0.3898093586613882,-0.318401320146414,worse_quality_lower_rate
RWT391,2.8826331244456425,42.484903878890194,47.001472415095186,48.87180602234223,43.847837713847326,2.8328674534042118,41.88017349783263,47.340286883770226,49.16597559878072,43.47341293369334,-0.049765671041430704,-0.6047303810575642,0.3388144686750394,0.29416957643849173,-0.37442478015398706,worse_quality_lower_rate
