endpoint,bpp,y_psnr,u_psnr,v_psnr,yuv_psnr_611,delta_bpp_vs_r01,delta_bpp_percent_vs_r01,delta_y_vs_r01,delta_u_vs_r01,delta_v_vs_r01,delta_yuv611_vs_r01
Official R01,1.5775420862824652,41.04317686156853,46.704810775214774,47.85016770717602,42.60175495647525,0.0,0.0,0.0,0.0,0.0,0.0
Full step1763,1.6561769714106724,41.55458178757488,46.641685544830345,47.63297148886796,42.950268469893444,0.07863488512820727,4.984645786123729,0.5114049260063496,-0.06312523038442919,-0.2171962183080609,0.34851351341819736
Full step3525,1.586110761515086,40.95658889698795,46.75887704592875,47.77915049909791,42.53469511586929,0.008568675232620837,0.5431661891704728,-0.08658796458058049,0.05406627071397452,-0.07101720807811063,-0.06705984060595682
