source_rate_id,source_lambda,step,num_models,num_h5,base_bpp,base_yuv_psnr_611,full_bpp,full_yuv_psnr_611,full_minus_base_bpp,full_minus_base_yuv_psnr_611,mean_model_layered_over_original_ratio,qB_roundtrip_exact,qB_plus_qE_exact_q,max_full_abs_difference
R01,32768,4,28,792,0.7775860316879328,37.79803568999916,1.5769598209333502,42.60175142905268,0.7993737892454174,4.803715739053523,0.9995613029529496,1,1,0.0
R01,32768,8,28,792,0.606324917907662,36.44808603562677,1.5757183527794942,42.60175142905268,0.9693934348718323,6.153665393425911,0.9987675064821753,1,1,0.0
