rate_id,checkpoint_profile,base_lambda,num_models,num_h5,total_points,mean_model_bpp,mean_model_y_psnr,mean_model_yuv_psnr_611
R01,32k8k,32768,28,792,57904570,1.5775420862824652,41.04317686156852,42.60175495647524
R02,32k8k,16384,28,792,57904570,1.2400159805836157,39.24627142080259,41.04528396972792
R03,32k8k,8192,28,792,57904570,0.9529120311375893,37.31662149955327,39.33037077735886
R04,8k256,4096,28,792,57904570,0.42622779941546224,32.1724841657739,35.22870159865792
R05,8k256,2048,28,792,57904570,0.32425276835463684,31.374703749191035,34.477281292596004
R06,2k128,1024,28,792,57904570,0.21899827442853131,30.349129793693862,33.399184009535205
R07,2k128,512,28,792,57904570,0.152390147584057,29.347204407624684,32.523601036604504
R08,2k128,256,28,792,57904570,0.09959219077823063,28.20601612449691,31.537847156037767
R09,2k128,128,28,792,57904570,0.07064048495193441,27.25558763681227,30.702215075819364
