model_id,partition_id,sample,points,conditioning_lambda,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,num_base_residual_streams,num_native_r5_streams,base_bits,enhancement_bits,full_bits,base_bpp,enhancement_bpp,full_bpp,base_y_mse,base_u_mse,base_v_mse,base_y_psnr,base_u_psnr,base_v_psnr,base_yuv_psnr_611,full_y_mse,full_u_mse,full_v_mse,full_y_psnr,full_u_psnr,full_v_psnr,full_yuv_psnr_611,hard_full_max_abs_difference,seconds
RWT115,22,RWT115/model_mesh_P22.h5,68949,32768,1624,312,1072,3608,9368,4,0,15984,22712,38696,0.23182352173345516,0.32940289199263223,0.5612264137260874,0.000109342,2.87444e-05,2.53242e-05,39.6121,45.4145,45.9646,41.1314625,5.12094e-05,2.0224e-05,1.76773e-05,42.9065,46.9413,47.5258,43.988262500000005,0.0,5.762308232486248
RWT115,23,RWT115/model_mesh_P23.h5,68950,32768,1480,512,1880,5848,12264,4,0,21984,24848,46832,0.3188397389412618,0.3603770848440899,0.6792168237853518,0.000125994,2.20618e-05,2.34395e-05,38.9965,46.5636,46.3005,40.8553875,5.93339e-05,1.78892e-05,1.71984e-05,42.267,47.4741,47.6451,43.59015000000001,0.0,5.725222870707512
RWT115,24,RWT115/model_mesh_P24.h5,68949,32768,1424,304,1480,4592,11040,4,0,18840,28536,47376,0.2732454422834269,0.41387112213375105,0.6871165644171779,0.000131767,2.50576e-05,3.55144e-05,38.8019,46.0106,44.496,40.41475,5.62192e-05,1.73171e-05,2.24153e-05,42.5011,47.6152,46.4946,43.63955,0.0,5.759545214474201
RWT115,25,RWT115/model_mesh_P25.h5,68949,32768,1568,360,1400,4728,11944,4,0,20000,27160,47160,0.2900694716384574,0.39391434248502516,0.6839838141234825,0.000130686,2.77655e-05,3.04264e-05,38.8377,45.5649,45.1675,40.469825,6.08659e-05,1.96315e-05,2.03357e-05,42.1563,47.0705,46.9174,43.3657125,0.0,5.750071614980698
RWT115,26,RWT115/model_mesh_P26.h5,68949,32768,1376,480,1968,5536,12920,4,0,22280,25808,48088,0.32313739140524156,0.3743056462022654,0.697443037607507,0.000122786,2.45569e-05,3.32739e-05,39.1085,46.0983,44.779,40.6910375,5.72827e-05,1.70039e-05,2.25797e-05,42.4198,47.6945,46.4628,43.5845125,0.0,5.770888589322567
RWT115,27,RWT115/model_mesh_P27.h5,68950,32768,1400,432,1792,5936,14944,4,0,24504,27104,51608,0.3553879622915156,0.39309644670050764,0.7484844089920232,0.00012898,2.52631e-05,2.82111e-05,38.8948,45.9751,45.4958,40.6049625,6.35727e-05,1.63438e-05,1.73586e-05,41.9673,47.8665,47.6049,43.4094,0.0,5.748515754938126
RWT115,28,RWT115/model_mesh_P28.h5,68949,32768,1520,568,1960,5176,12704,4,0,21928,32856,54784,0.3180321687044047,0.4765261280076578,0.7945582967120626,0.000151439,2.96298e-05,2.83374e-05,38.1976,45.2827,45.4764,39.9930875,6.86871e-05,1.82605e-05,1.86455e-05,41.6312,47.3849,47.2943,43.0583,0.0,5.76215772330761
RWT115,29,RWT115/model_mesh_P29.h5,68950,32768,1488,600,2120,6720,16680,4,0,27608,35536,63144,0.4004060913705584,0.5153879622915156,0.915794053662074,0.000178446,2.31096e-05,2.48338e-05,37.4849,46.3621,46.0496,39.6651375,7.11838e-05,1.7519e-05,1.77696e-05,41.4762,47.5649,47.5032,42.9906625,0.0,5.755405627191067
RWT115,3,RWT115/model_mesh_P3.h5,68950,32768,720,16,56,256,832,4,0,1880,1648,3528,0.027266134880348077,0.02390137781000725,0.05116751269035533,1.05503e-05,5.20392e-06,4.19256e-06,49.7674,52.8367,53.7752,50.6520375,7.24868e-06,4.6592e-06,4.67899e-06,51.3974,53.3169,53.2985,51.87497499999999,0.0,5.82187370210886
RWT115,30,RWT115/model_mesh_P30.h5,68949,32768,1664,440,1816,5024,10960,4,0,19904,24904,44808,0.28867713817459284,0.36119450608420717,0.6498716442588,0.000123602,2.61494e-05,2.55484e-05,39.0797,45.8254,45.9264,40.77875,6.05587e-05,1.89343e-05,1.83777e-05,42.1782,47.2275,47.3571,43.456725,0.0,5.836154296994209
RWT115,31,RWT115/model_mesh_P31.h5,68950,32768,1504,528,2088,6616,14952,4,0,25688,28008,53696,0.3725598259608412,0.40620739666424943,0.7787672226250907,0.000148408,1.84631e-05,1.97026e-05,38.2854,47.3369,47.0548,40.5130125,6.6044e-05,1.42138e-05,1.51334e-05,41.8017,48.4729,48.2006,43.4354625,0.0,5.754121109843254
RWT115,4,RWT115/model_mesh_P4.h5,68949,32768,968,168,600,1584,4488,4,0,7808,13672,21480,0.11324312172765377,0.1982914908120495,0.31153461253970327,6.4716e-05,2.10451e-05,1.48799e-05,41.8899,46.7685,48.274,43.2977375,3.29796e-05,1.38856e-05,1.25549e-05,44.8175,48.5744,49.0119,45.8114125,0.0,5.7989223301410675
RWT115,5,RWT115/model_mesh_P5.h5,68949,32768,1272,256,928,2984,9368,4,0,14808,30224,45032,0.21476743680111388,0.4383529855400368,0.6531204223411508,0.0001373,4.34177e-05,1.7377e-05,38.6233,43.6233,47.6002,40.3704125,6.80692e-05,2.68763e-05,1.37337e-05,41.6705,45.7063,48.6221,43.043924999999994,0.0,5.748678550124168
RWT115,6,RWT115/model_mesh_P6.h5,68949,32768,1168,232,840,2208,5712,4,0,10160,15096,25256,0.14735529159233637,0.21894443719270765,0.366299728785044,7.48464e-05,2.54555e-05,2.11741e-05,41.2583,45.9422,46.742,42.529250000000005,2.95898e-05,1.58977e-05,1.4292e-05,45.2886,47.9867,48.4491,46.020925,0.0,5.934450879693031
RWT115,7,RWT115/model_mesh_P7.h5,68950,32768,1608,560,1504,3672,10288,4,0,17632,26864,44496,0.2557215373459028,0.38961566352429294,0.6453372008701957,0.000124048,3.40268e-05,2.3625e-05,39.0641,44.6818,46.2663,40.666587500000006,6.10108e-05,2.2617e-05,1.76215e-05,42.1459,46.4557,47.5396,43.3588375,0.0,5.782084293663502
RWT115,8,RWT115/model_mesh_P8.h5,68949,32768,896,32,168,1408,4856,4,0,7360,14416,21776,0.10674556556295232,0.2090820751570001,0.31582764071995245,7.59883e-05,2.42978e-05,8.94015e-06,41.1925,46.1443,50.4866,42.9732375,3.91164e-05,1.81284e-05,8.35416e-06,44.0764,47.4164,50.781,45.331975,0.0,5.724025689065456
RWT115,9,RWT115/model_mesh_P9.h5,68949,32768,736,8,32,168,688,4,0,1632,1680,3312,0.023669668885698124,0.02436583561763042,0.048035504503328545,1.08621e-05,5.01934e-06,5.537e-06,49.6409,52.9935,52.5673,50.425775,7.6852e-06,4.10209e-06,5.65365e-06,51.1434,53.8699,52.4767,51.650875000000006,0.0,5.778716325759888
