endpoint,num_models,num_h5,total_points,mean_model_bpp,mean_model_y_psnr,mean_model_yuv_psnr_611
Base,28,792,57904570,0.5239158958326141,32.38487793997443,35.78162013783114
Full,28,792,57904570,1.6561769714106724,41.554581787574875,42.950268469893444
