point,step,rwtt_28lite_bpp,rwtt_28lite_yuv611,longdress_bpp,longdress_yuv611,rwtt_delta_from_step500_db,longdress_delta_from_step500_db
2K,500,0.14800688571186504,33.34531328423081,0.22472685397789657,28.5764,0.0,0.0
2K,1000,0.14800688571186504,33.40571481082659,0.22472685397789657,28.640225,0.06040152659578,0.063825
2K,2000,0.14800688571186504,33.42348157616194,0.22472685397789657,28.6719625,0.07816829193113,0.0955625
2K,3000,0.14800688571186504,33.43014768987786,0.22472685397789657,28.6970125,0.08483440564705,0.1206125
2K,3525,0.14800688571186504,33.44567882391062,0.22472685397789657,28.7042,0.10036553967981,0.1278
4K,500,0.17619480054544542,33.65023325926756,0.2592643531328747,28.5176625,0.0,0.0
4K,1000,0.17619480054544542,33.688265264586775,0.2592643531328747,28.5572875,0.038032005319215,0.039625
4K,2000,0.17619480054544542,33.72791937553653,0.2592643531328747,28.5869125,0.07768611626897,0.06925
4K,3000,0.17619480054544542,33.727096897032986,0.2592643531328747,28.644,0.076863637765426,0.1263375
4K,3525,0.17619480054544542,33.72769949973505,0.2592643531328747,28.6453125,0.07746624046749,0.12765

