dataset,sample,method,endpoint,operating_point,physical_bpp,Y,U,V,YUV611,pending_sample,source_artifact
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R09,0.06358413080251676,30.1173,37.0027,37.2029,31.863675,False,n30_main:results/Original_Unicorn/CTC/Thaidancer_viewdep_vox12/R09/aggregate/aggregate.json
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R01,0.32271935803417795,43.2402,45.5515,50.2218,44.40181249999999,False,n30_main:results/Original_Unicorn/CTC/basketball_player_vox11_00000200/R01/aggregate/aggregate.json
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R02,0.2316447639628455,42.2078,45.0592,49.6573,43.4954125,False,n30_main:results/Original_Unicorn/CTC/basketball_player_vox11_00000200/R02/aggregate/aggregate.json
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R03,0.15929645183718144,40.8546,44.5264,48.9979,42.3314875,False,n30_main:results/Original_Unicorn/CTC/basketball_player_vox11_00000200/R03/aggregate/aggregate.json
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R04,0.08824979131872211,39.5542,43.8856,48.8581,41.2586125,False,n30_main:results/Original_Unicorn/CTC/basketball_player_vox11_00000200/R04/aggregate/aggregate.json
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R05,0.0641637674610342,38.4859,43.5956,48.4206,40.36645,False,n30_main:results/Original_Unicorn/CTC/basketball_player_vox11_00000200/R05/aggregate/aggregate.json
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R06,0.046162144498368494,37.2132,43.2233,47.3145,39.227125,False,n30_main:results/Original_Unicorn/CTC/basketball_player_vox11_00000200/R06/aggregate/aggregate.json
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R07,0.03519381551412846,35.9674,43.0039,47.0288,38.229637499999995,False,n30_main:results/Original_Unicorn/CTC/basketball_player_vox11_00000200/R07/aggregate/aggregate.json
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R08,0.02747688098570029,34.6632,42.9728,46.6417,37.1992125,False,n30_main:results/Original_Unicorn/CTC/basketball_player_vox11_00000200/R08/aggregate/aggregate.json
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R09,0.02312072340108439,33.4715,42.657,46.4266,36.239075,False,n30_main:results/Original_Unicorn/CTC/basketball_player_vox11_00000200/R09/aggregate/aggregate.json
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,R01,0.2461045179261312,42.8383,50.9594,51.2311,44.902537499999994,False,n30_main:results/Original_Unicorn/CTC/boxer_viewdep_vox12/R01/aggregate/aggregate.json
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,R02,0.18986311526916752,41.7344,50.7383,51.0323,44.022125,False,n30_main:results/Original_Unicorn/CTC/boxer_viewdep_vox12/R02/aggregate/aggregate.json
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,R03,0.14522406411524483,40.4362,50.471,50.7601,42.9810375,False,n30_main:results/Original_Unicorn/CTC/boxer_viewdep_vox12/R03/aggregate/aggregate.json
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,R04,0.16965862554160577,41.3231,49.4768,51.0643,43.5599625,False,n30_main:results/Original_Unicorn/CTC/boxer_viewdep_vox12/R04/aggregate/aggregate.json
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,R05,0.12562877799996278,40.0943,49.7551,50.7178,42.629837499999994,False,n30_main:results/Original_Unicorn/CTC/boxer_viewdep_vox12/R05/aggregate/aggregate.json
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,R06,0.08967889415802936,38.8189,47.6986,49.6149,41.27836249999999,False,n30_main:results/Original_Unicorn/CTC/boxer_viewdep_vox12/R06/aggregate/aggregate.json
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,R07,0.07529161185599549,38.0136,48.3673,49.232,40.710112499999994,False,n30_main:results/Original_Unicorn/CTC/boxer_viewdep_vox12/R07/aggregate/aggregate.json
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,R08,0.06786207607315596,37.2621,48.3129,48.9214,40.1008625,False,n30_main:results/Original_Unicorn/CTC/boxer_viewdep_vox12/R08/aggregate/aggregate.json
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,R09,0.06407173028998722,36.672,46.8533,49.0479,39.49164999999999,False,n30_main:results/Original_Unicorn/CTC/boxer_viewdep_vox12/R09/aggregate/aggregate.json
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,R01,0.3804689832217276,42.7866,46.6445,50.6676,44.2539625,False,n30_main:results/Original_Unicorn/CTC/dancer_vox11_00000001/R01/aggregate/aggregate.json
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,R02,0.2766505782645353,41.744,46.1459,50.0669,43.334599999999995,False,n30_main:results/Original_Unicorn/CTC/dancer_vox11_00000001/R02/aggregate/aggregate.json
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,R03,0.19568660090914772,40.3883,45.5656,49.3189,42.1517875,False,n30_main:results/Original_Unicorn/CTC/dancer_vox11_00000001/R03/aggregate/aggregate.json
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,R04,0.11245168272549926,39.0265,44.7663,48.6316,40.9446125,False,n30_main:results/Original_Unicorn/CTC/dancer_vox11_00000001/R04/aggregate/aggregate.json
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,R05,0.08223521053642492,37.848,44.3439,48.0887,39.940075,False,n30_main:results/Original_Unicorn/CTC/dancer_vox11_00000001/R05/aggregate/aggregate.json
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,R06,0.057677577313424544,36.4214,43.9307,46.48,38.6173875,False,n30_main:results/Original_Unicorn/CTC/dancer_vox11_00000001/R06/aggregate/aggregate.json
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,R07,0.04275292950595466,35.0445,43.6631,46.0135,37.49295,False,n30_main:results/Original_Unicorn/CTC/dancer_vox11_00000001/R07/aggregate/aggregate.json
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,R08,0.032765109586008416,33.7022,43.4285,45.4412,36.38536249999999,False,n30_main:results/Original_Unicorn/CTC/dancer_vox11_00000001/R08/aggregate/aggregate.json
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,R09,0.02743333546748289,32.6073,43.1569,45.0953,35.487,False,n30_main:results/Original_Unicorn/CTC/dancer_vox11_00000001/R09/aggregate/aggregate.json
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,R01,1.1157493147879831,41.2557,44.4128,43.0285,41.8719375,False,n30_main:results/Original_Unicorn/CTC/longdress_viewdep_vox12/R01/aggregate/aggregate.json
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,R02,0.8571703569820569,39.7818,43.4188,42.2564,40.54574999999999,False,n30_main:results/Original_Unicorn/CTC/longdress_viewdep_vox12/R02/aggregate/aggregate.json
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,R03,0.6495041216076111,38.1425,42.1185,41.2329,39.025800000000004,False,n30_main:results/Original_Unicorn/CTC/longdress_viewdep_vox12/R03/aggregate/aggregate.json
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,R04,0.6435586194600859,37.3053,40.7638,39.9742,38.071225,False,n30_main:results/Original_Unicorn/CTC/longdress_viewdep_vox12/R04/aggregate/aggregate.json
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,R05,0.5064451594607706,36.1895,40.3565,39.4669,37.12005,False,n30_main:results/Original_Unicorn/CTC/longdress_viewdep_vox12/R05/aggregate/aggregate.json
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,R06,0.36293143487239843,34.5552,39.1121,37.3255,35.4711,False,n30_main:results/Original_Unicorn/CTC/longdress_viewdep_vox12/R06/aggregate/aggregate.json
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,R07,0.28881549241276666,33.4491,38.6133,36.8207,34.516075,False,n30_main:results/Original_Unicorn/CTC/longdress_viewdep_vox12/R07/aggregate/aggregate.json
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,R08,0.22763185688419255,32.2093,37.9691,36.1049,33.416225,False,n30_main:results/Original_Unicorn/CTC/longdress_viewdep_vox12/R08/aggregate/aggregate.json
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,R09,0.18384546862171453,31.0329,37.1195,35.4101,32.340875000000004,False,n30_main:results/Original_Unicorn/CTC/longdress_viewdep_vox12/R09/aggregate/aggregate.json
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,R01,0.21306306828821275,44.2702,53.3827,53.128,46.516487500000004,False,n30_main:results/Original_Unicorn/CTC/loot_viewdep_vox12/R01/aggregate/aggregate.json
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,R02,0.17003630747509765,42.9824,53.023,52.791,45.463550000000005,False,n30_main:results/Original_Unicorn/CTC/loot_viewdep_vox12/R02/aggregate/aggregate.json
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,R03,0.13724391298800082,41.4321,52.5519,52.4598,44.200537499999996,False,n30_main:results/Original_Unicorn/CTC/loot_viewdep_vox12/R03/aggregate/aggregate.json
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,R04,0.1788283175106097,42.4527,50.9493,52.9217,44.8234,False,n30_main:results/Original_Unicorn/CTC/loot_viewdep_vox12/R04/aggregate/aggregate.json
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,R05,0.13760450206062735,41.0686,51.3157,52.3498,43.759637500000004,False,n30_main:results/Original_Unicorn/CTC/loot_viewdep_vox12/R05/aggregate/aggregate.json
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,R06,0.10667073213170118,39.4753,47.9299,51.1801,41.995225,False,n30_main:results/Original_Unicorn/CTC/loot_viewdep_vox12/R06/aggregate/aggregate.json
