dataset,sample,ours_endpoint,metric,status,BD_BR_percent,shared_quality_min,shared_quality_max,reason
CTC,redandblack_viewdep_vox12,Ours Full,Y,AVAILABLE,-2.93361838477868,37.3452,43.1544,
CTC,redandblack_viewdep_vox12,Ours Full,YUV611,AVAILABLE,-4.330641367262677,37.669675,43.358399999999996,
CTC,soldier_viewdep_vox12,Ours Base,Y,AVAILABLE,-2.006818544701916,35.9727,42.4361,
CTC,soldier_viewdep_vox12,Ours Base,YUV611,AVAILABLE,-3.1336053839559397,39.475274999999996,44.6871625,
CTC,soldier_viewdep_vox12,Ours Full,Y,AVAILABLE,-0.4253842728353163,35.9907,42.6941,
CTC,soldier_viewdep_vox12,Ours Full,YUV611,AVAILABLE,-1.3721539373972913,39.546362499999994,44.882775,
Owlii,basketball_player,Ours Base,Y,AVAILABLE,6.223646796351345,34.2214,40.1079,
Owlii,basketball_player,Ours Base,YUV611,AVAILABLE,2.506406951545359,36.8686875,41.9698,
Owlii,basketball_player,Ours Full,Y,AVAILABLE,1.9245487554049312,34.3225,44.12,
Owlii,basketball_player,Ours Full,YUV611,AVAILABLE,1.6763529709545422,36.942400000000006,45.218287499999995,
Owlii,dancer,Ours Base,Y,AVAILABLE,14.897867874753313,32.6528,39.382,
Owlii,dancer,Ours Base,YUV611,AVAILABLE,9.356277478547682,35.515175,41.49431249999999,
Owlii,dancer,Ours Full,Y,AVAILABLE,3.500272414934358,33.3529,43.7078,
Owlii,dancer,Ours Full,YUV611,AVAILABLE,3.969553863043007,36.03355,45.1165625,
Owlii,exercise,Ours Base,Y,AVAILABLE,6.435334329414721,34.3692,39.0215,
Owlii,exercise,Ours Base,YUV611,AVAILABLE,1.4948829236114847,36.964949999999995,41.094437500000005,
Owlii,exercise,Ours Full,Y,AVAILABLE,-0.5689584532563408,34.4706,42.463,
Owlii,exercise,Ours Full,YUV611,AVAILABLE,-0.9992464200304529,37.0369625,43.887487500000006,
Owlii,model,Ours Base,Y,AVAILABLE,12.882016630096317,31.0083,37.0053,
Owlii,model,Ours Base,YUV611,AVAILABLE,6.610955198005031,33.815225,39.28283749999999,
Owlii,model,Ours Full,Y,AVAILABLE,2.563151517360529,31.3899,43.3584,
Owlii,model,Ours Full,YUV611,AVAILABLE,3.6618691903703704,34.1052,44.4966125,
