dataset,sample,ours_endpoint,metric,strict_status,strict_BD_BR_percent,pareto_status,pareto_BD_BR_percent,pareto_minus_strict_percentage_points,newly_resolved
CTC,dancer_vox11_00000001,Ours Full,Y,AVAILABLE,-3.384577837079683,AVAILABLE,-3.384577837079683,0.0,False
CTC,dancer_vox11_00000001,Ours Full,YUV611,AVAILABLE,-3.8802635227454085,AVAILABLE,-3.8802635227454085,0.0,False
CTC,longdress_viewdep_vox12,Ours Base,Y,AVAILABLE,-0.09635736215646284,AVAILABLE,-0.09635736215646284,0.0,False
CTC,longdress_viewdep_vox12,Ours Base,YUV611,AVAILABLE,-0.5113709255581744,AVAILABLE,-0.5113709255581744,0.0,False
CTC,longdress_viewdep_vox12,Ours Full,Y,AVAILABLE,-0.6221590254698373,AVAILABLE,-0.6221590254698484,-1.1102230246251565e-14,False
CTC,longdress_viewdep_vox12,Ours Full,YUV611,AVAILABLE,-0.4985553345797311,AVAILABLE,-0.4985553345797311,0.0,False
CTC,loot_viewdep_vox12,Ours Base,Y,UNAVAILABLE,,AVAILABLE,-1.7694656086105987,,True
CTC,loot_viewdep_vox12,Ours Base,YUV611,UNAVAILABLE,,AVAILABLE,-3.70683097250627,,True
CTC,loot_viewdep_vox12,Ours Full,Y,UNAVAILABLE,,AVAILABLE,1.258922490631531,,True
CTC,loot_viewdep_vox12,Ours Full,YUV611,UNAVAILABLE,,AVAILABLE,-1.2183684709044629,,True
CTC,redandblack_viewdep_vox12,Ours Base,Y,UNAVAILABLE,,AVAILABLE,-4.937646958871089,,True
CTC,redandblack_viewdep_vox12,Ours Base,YUV611,UNAVAILABLE,,AVAILABLE,-6.354937163221552,,True
CTC,redandblack_viewdep_vox12,Ours Full,Y,UNAVAILABLE,,AVAILABLE,-2.93361838477868,,True
CTC,redandblack_viewdep_vox12,Ours Full,YUV611,UNAVAILABLE,,AVAILABLE,-4.330641367262677,,True
CTC,soldier_viewdep_vox12,Ours Base,Y,AVAILABLE,-2.006818544701916,AVAILABLE,-2.006818544701916,0.0,False
CTC,soldier_viewdep_vox12,Ours Base,YUV611,AVAILABLE,-3.133605383955951,AVAILABLE,-3.1336053839559397,1.1102230246251565e-14,False
CTC,soldier_viewdep_vox12,Ours Full,Y,AVAILABLE,-0.42538427283533853,AVAILABLE,-0.4253842728353163,2.220446049250313e-14,False
CTC,soldier_viewdep_vox12,Ours Full,YUV611,AVAILABLE,-1.3721539373972913,AVAILABLE,-1.3721539373972913,0.0,False
Owlii,basketball_player,Ours Base,Y,AVAILABLE,6.223646796351345,AVAILABLE,6.223646796351345,0.0,False
Owlii,basketball_player,Ours Base,YUV611,AVAILABLE,2.506406951545359,AVAILABLE,2.506406951545359,0.0,False
Owlii,basketball_player,Ours Full,Y,AVAILABLE,1.9245487554049312,AVAILABLE,1.9245487554049312,0.0,False
Owlii,basketball_player,Ours Full,YUV611,AVAILABLE,1.6763529709545866,AVAILABLE,1.6763529709545422,-4.440892098500626e-14,False
Owlii,dancer,Ours Base,Y,AVAILABLE,14.897867874753313,AVAILABLE,14.897867874753313,0.0,False
Owlii,dancer,Ours Base,YUV611,AVAILABLE,9.356277478547725,AVAILABLE,9.356277478547682,-4.263256414560601e-14,False
Owlii,dancer,Ours Full,Y,AVAILABLE,3.500272414934358,AVAILABLE,3.500272414934358,0.0,False
Owlii,dancer,Ours Full,YUV611,AVAILABLE,3.969553863043007,AVAILABLE,3.969553863043007,0.0,False
Owlii,exercise,Ours Base,Y,AVAILABLE,6.435334329414721,AVAILABLE,6.435334329414721,0.0,False
Owlii,exercise,Ours Base,YUV611,AVAILABLE,1.494882923611529,AVAILABLE,1.4948829236114847,-4.440892098500626e-14,False
Owlii,exercise,Ours Full,Y,AVAILABLE,-0.5689584532563408,AVAILABLE,-0.5689584532563408,0.0,False
Owlii,exercise,Ours Full,YUV611,AVAILABLE,-0.9992464200304307,AVAILABLE,-0.9992464200304529,-2.220446049250313e-14,False
Owlii,model,Ours Base,Y,AVAILABLE,12.88201663009627,AVAILABLE,12.882016630096317,4.618527782440651e-14,False
Owlii,model,Ours Base,YUV611,AVAILABLE,6.610955198005031,AVAILABLE,6.610955198005031,0.0,False
Owlii,model,Ours Full,Y,AVAILABLE,2.563151517360529,AVAILABLE,2.563151517360529,0.0,False
Owlii,model,Ours Full,YUV611,AVAILABLE,3.6618691903703704,AVAILABLE,3.6618691903703704,0.0,False
