dataset,sample,method,endpoint,metric,raw_point_count,retained_pareto_point_count,removed_operating_points,dominating_points,reason
CTC,dancer_vox11_00000001,Ours,Ours Full,Y,7,7,[],{},none
CTC,dancer_vox11_00000001,Ours,Ours Full,YUV611,7,7,[],{},none
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,9,9,[],{},none
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,9,9,[],{},none
CTC,longdress_viewdep_vox12,Ours,Ours Base,Y,7,7,[],{},none
CTC,longdress_viewdep_vox12,Ours,Ours Base,YUV611,7,7,[],{},none
CTC,longdress_viewdep_vox12,Ours,Ours Full,Y,7,7,[],{},none
CTC,longdress_viewdep_vox12,Ours,Ours Full,YUV611,7,7,[],{},none
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,9,7,"[""R04"",""R05""]","{""R04"":[{""operating_point"":""R02"",""physical_bpp"":0.17003630747509765,""quality"":42.9824}],""R05"":[{""operating_point"":""R03"",""physical_bpp"":0.13724391298800082,""quality"":41.4321}]}",pareto_dominated
CTC,loot_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,9,7,"[""R04"",""R05""]","{""R04"":[{""operating_point"":""R02"",""physical_bpp"":0.17003630747509765,""quality"":45.463550000000005}],""R05"":[{""operating_point"":""R03"",""physical_bpp"":0.13724391298800082,""quality"":44.200537499999996}]}",pareto_dominated
CTC,loot_viewdep_vox12,Ours,Ours Base,Y,7,7,[],{},none
CTC,loot_viewdep_vox12,Ours,Ours Base,YUV611,7,7,[],{},none
CTC,loot_viewdep_vox12,Ours,Ours Full,Y,7,7,[],{},none
CTC,loot_viewdep_vox12,Ours,Ours Full,YUV611,7,7,[],{},none
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,9,8,"[""R04""]","{""R04"":[{""operating_point"":""R03"",""physical_bpp"":0.28705171179762123,""quality"":40.7241}]}",pareto_dominated
CTC,redandblack_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,9,8,"[""R04""]","{""R04"":[{""operating_point"":""R03"",""physical_bpp"":0.28705171179762123,""quality"":41.1885125}]}",pareto_dominated
CTC,redandblack_viewdep_vox12,Ours,Ours Base,Y,7,6,"[""2k""]","{""2k"":[{""operating_point"":""8k"",""physical_bpp"":0.2796221856392572,""quality"":40.6285}]}",pareto_dominated
CTC,redandblack_viewdep_vox12,Ours,Ours Base,YUV611,7,6,"[""2k""]","{""2k"":[{""operating_point"":""8k"",""physical_bpp"":0.2796221856392572,""quality"":41.122975}]}",pareto_dominated
CTC,redandblack_viewdep_vox12,Ours,Ours Full,Y,7,6,"[""2k""]","{""2k"":[{""operating_point"":""8k"",""physical_bpp"":0.2859717884461917,""quality"":40.6779}]}",pareto_dominated
CTC,redandblack_viewdep_vox12,Ours,Ours Full,YUV611,7,6,"[""2k""]","{""2k"":[{""operating_point"":""8k"",""physical_bpp"":0.2859717884461917,""quality"":41.16235}]}",pareto_dominated
CTC,soldier_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,9,9,[],{},none
CTC,soldier_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,9,9,[],{},none
CTC,soldier_viewdep_vox12,Ours,Ours Base,Y,7,7,[],{},none
CTC,soldier_viewdep_vox12,Ours,Ours Base,YUV611,7,7,[],{},none
CTC,soldier_viewdep_vox12,Ours,Ours Full,Y,7,7,[],{},none
CTC,soldier_viewdep_vox12,Ours,Ours Full,YUV611,7,7,[],{},none
Owlii,basketball_player,Original_Unicorn,Original Unicorn,Y,9,9,[],{},none
Owlii,basketball_player,Original_Unicorn,Original Unicorn,YUV611,9,9,[],{},none
Owlii,basketball_player,Ours,Ours Base,Y,7,7,[],{},none
Owlii,basketball_player,Ours,Ours Base,YUV611,7,7,[],{},none
Owlii,basketball_player,Ours,Ours Full,Y,7,7,[],{},none
Owlii,basketball_player,Ours,Ours Full,YUV611,7,7,[],{},none
Owlii,dancer,Original_Unicorn,Original Unicorn,Y,9,9,[],{},none
Owlii,dancer,Original_Unicorn,Original Unicorn,YUV611,9,9,[],{},none
Owlii,dancer,Ours,Ours Base,Y,7,7,[],{},none
Owlii,dancer,Ours,Ours Base,YUV611,7,7,[],{},none
Owlii,dancer,Ours,Ours Full,Y,7,7,[],{},none
Owlii,dancer,Ours,Ours Full,YUV611,7,7,[],{},none
Owlii,exercise,Original_Unicorn,Original Unicorn,Y,9,9,[],{},none
Owlii,exercise,Original_Unicorn,Original Unicorn,YUV611,9,9,[],{},none
Owlii,exercise,Ours,Ours Base,Y,7,7,[],{},none
Owlii,exercise,Ours,Ours Base,YUV611,7,7,[],{},none
Owlii,exercise,Ours,Ours Full,Y,7,7,[],{},none
Owlii,exercise,Ours,Ours Full,YUV611,7,7,[],{},none
Owlii,model,Original_Unicorn,Original Unicorn,Y,9,9,[],{},none
Owlii,model,Original_Unicorn,Original Unicorn,YUV611,9,9,[],{},none
Owlii,model,Ours,Ours Base,Y,7,7,[],{},none
Owlii,model,Ours,Ours Base,YUV611,7,7,[],{},none
Owlii,model,Ours,Ours Full,Y,7,7,[],{},none
Owlii,model,Ours,Ours Full,YUV611,7,7,[],{},none
