sequence,frame,endpoint,source,checkpoint_profile,lambda,checkpoint_step,points,physical_bits,physical_bpp,base_bits,enhancement_bits,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,num_base_residual_streams,num_native_r5_streams,y_mse,u_mse,v_mse,y_psnr,u_psnr,v_psnr,yuv_psnr_611,hard_max_abs_difference,seconds
exercise,0001,R01,OFFICIAL_RELEASED,32k8k,32768,,645135,367512,0.5696668139226674,,,,,,,,,1,5.67152e-05,2.21417e-05,1.05342e-05,42.463,46.5479,49.774,43.887487500000006,,33.30952259898186
exercise,0001,B_native,CURRENT_CANONICAL_DIAGNOSTIC,32k8k,32768,0,645135,135096,0.20940733334883396,135096,0,8528,2760,9576,28944,85288,4,0,0.000156285,2.81995e-05,1.22176e-05,38.0608,45.4976,49.1302,40.374075,,21.432002052664757
exercise,0001,Canonical_Base,CURRENT_CANONICAL,32k8k,32768,5525,645135,135096,0.20940733334883396,135096,0,8528,2760,9576,28944,85288,4,0,0.00012527,2.82113e-05,1.22161e-05,39.0215,45.4958,49.1307,41.094437500000005,,42.696197122335434
exercise,0001,Canonical_Full_step1763,CURRENT_CANONICAL,32k8k,32768,1763,645135,353792,0.5483999472978524,135096,218696,8528,2760,9576,28944,85288,4,0,5.70834e-05,2.32415e-05,1.10103e-05,42.4349,46.3374,49.582,43.8161,0.0,23.76829092949629
exercise,0001,Canonical_Full_step3525,CURRENT_CANONICAL,32k8k,32768,3525,645135,329872,0.5113224363892829,135096,194776,8528,2760,9576,28944,85288,4,0,6.54375e-05,2.29195e-05,1.12832e-05,41.8417,46.3979,49.4757,43.365475,0.0,25.778419747948647
