sequence,frame,endpoint,source,checkpoint_profile,lambda,checkpoint_step,points,physical_bits,physical_bpp,base_bits,enhancement_bits,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,num_base_residual_streams,num_native_r5_streams,y_mse,u_mse,v_mse,y_psnr,u_psnr,v_psnr,yuv_psnr_611,hard_max_abs_difference,seconds
model,0001,R01,OFFICIAL_RELEASED,32k8k,32768,,657755,601416,0.9143465272023777,,,,,,,,,1,4.61485e-05,2.3909e-05,1.09443e-05,43.3584,46.2144,49.6081,44.4966125,,29.034880250692368
model,0001,B_native,CURRENT_CANONICAL_DIAGNOSTIC,32k8k,32768,0,657755,248784,0.3782320164803004,248784,0,10376,5232,20232,58808,154136,4,0,0.000340346,3.55107e-05,1.80984e-05,34.6808,44.4964,47.4236,37.5006,,21.20812512934208
model,0001,Canonical_Base,CURRENT_CANONICAL,32k8k,32768,5525,657755,248784,0.3782320164803004,248784,0,10376,5232,20232,58808,154136,4,0,0.000199283,3.50904e-05,1.70497e-05,37.0053,44.5481,47.6828,39.28283749999999,,42.51452652364969
model,0001,Canonical_Full_step1763,CURRENT_CANONICAL,32k8k,32768,1763,657755,575744,0.8753167972877439,248784,326960,10376,5232,20232,58808,154136,4,0,5.227e-05,2.64521e-05,1.29568e-05,42.8175,45.7754,48.875,43.944425,0.0,23.96103524416685
model,0001,Canonical_Full_step3525,CURRENT_CANONICAL,32k8k,32768,3525,657755,569160,0.8653069912049319,248784,320376,10376,5232,20232,58808,154136,4,0,6.07103e-05,2.65584e-05,1.32934e-05,42.1674,45.758,48.7636,43.44075,0.0,24.020446360111237
