sequence,frame,endpoint,source,checkpoint_profile,lambda,checkpoint_step,points,physical_bits,physical_bpp,base_bits,enhancement_bits,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,num_base_residual_streams,num_native_r5_streams,y_mse,u_mse,v_mse,y_psnr,u_psnr,v_psnr,yuv_psnr_611,hard_max_abs_difference,seconds
dancer,0001,R01,OFFICIAL_RELEASED,32k8k,32768,,702038,450920,0.642301413883579,,,,,,,,,1,4.25811e-05,1.68799e-05,8.01781e-06,43.7078,47.7263,50.9594,45.1165625,,34.77178040891886
dancer,0001,B_native,CURRENT_CANONICAL_DIAGNOSTIC,32k8k,32768,0,702038,200448,0.2855230058771747,200448,0,11144,4784,16248,47832,120440,4,0,0.000208757,2.43251e-05,1.13762e-05,36.8036,46.1395,49.44,39.5501375,,22.705978229641914
dancer,0001,Canonical_Base,CURRENT_CANONICAL,32k8k,32768,5525,702038,200448,0.2855230058771747,200448,0,11144,4784,16248,47832,120440,4,0,0.000115291,2.41869e-05,1.12245e-05,39.382,46.1642,49.4983,41.49431249999999,,45.49577388167381
dancer,0001,Canonical_Full_step1763,CURRENT_CANONICAL,32k8k,32768,1763,702038,416352,0.5930619140274458,200448,215904,11144,4784,16248,47832,120440,4,0,4.8844e-05,1.83653e-05,9.01098e-06,43.1119,47.36,50.4523,44.5604625,0.0,25.198930084705353
dancer,0001,Canonical_Full_step3525,CURRENT_CANONICAL,32k8k,32768,3525,702038,416464,0.5932214495511638,200448,216016,11144,4784,16248,47832,120440,4,0,5.40452e-05,1.82249e-05,9.08374e-06,42.6724,47.3933,50.4174,44.2306375,0.0,25.39610953629017
