endpoint,num_models,num_h5,total_points,mean_model_bpp,mean_model_y_psnr,mean_model_yuv_psnr_611
Base,28,792,57904570,0.5239159875719838,32.38487796491531,35.781619976974454
Full,28,792,57904570,2.102933989384735,44.54478741221796,45.06008869032811
