dataset,sample,method,endpoint,metric,operating_point,physical_bpp,quality,pareto_retained,dominating_points
CTC,House_without_roof_00057_vox12,Ours,Ours Full,Y,32k,2.150032637311304,43.6625,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Full,Y,4k,0.7763031464842964,36.0906,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Full,Y,512,0.2175969245650163,30.0696,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Full,Y,8k,0.7983162653428877,36.6285,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Full,YUV611,16k,1.1249426397964835,40.14435,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Full,YUV611,1k,0.28264963408057137,33.405375,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Full,YUV611,2k,0.5229872884633034,35.0989,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Full,YUV611,32k,2.150032637311304,43.9088125,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Full,YUV611,4k,0.7763031464842964,37.964912500000004,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Full,YUV611,512,0.2175969245650163,32.74975,True,[]
CTC,House_without_roof_00057_vox12,Ours,Ours Full,YUV611,8k,0.7983162653428877,38.37321250000001,True,[]
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,Y,R01,4.346436343312867,39.353,True,[]
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,Y,R02,3.529441143477761,36.9526,True,[]
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,Y,R03,2.8571326645077155,34.4752,True,[]
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,Y,R04,2.5549323577093976,29.5874,True,[]
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,Y,R05,2.118501841186287,28.5134,True,[]
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,Y,R06,1.3555649805971866,25.7078,True,[]
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,Y,R07,1.1751564711058613,25.0678,True,[]
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,Y,R08,1.021495701256129,24.4101,True,[]
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,Y,R09,0.9027401767063179,23.837,True,[]
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,YUV611,R01,4.346436343312867,39.256612499999996,True,[]
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,YUV611,R02,3.529441143477761,37.33443749999999,True,[]
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,YUV611,R03,2.8571326645077155,35.313975,True,[]
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,YUV611,R04,2.5549323577093976,31.27445,True,[]
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,YUV611,R05,2.118501841186287,30.4357,True,[]
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,YUV611,R06,1.3555649805971866,28.179900000000004,True,[]
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,YUV611,R07,1.1751564711058613,27.719899999999996,True,[]
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,YUV611,R08,1.021495701256129,27.197899999999997,True,[]
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,YUV611,R09,0.9027401767063179,26.692425,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Base,Y,16k,3.4251614258590553,35.1246,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Base,Y,1k,1.3272158647233463,25.371,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Base,Y,2k,2.2587332479794515,27.898,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Base,Y,32k,4.212515310187369,36.559,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Base,Y,4k,2.9855995053174413,34.0224,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Base,Y,512,1.1545050597939615,24.8186,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Base,Y,8k,2.7691045373647847,33.3182,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Base,YUV611,16k,3.4251614258590553,35.946475,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Base,YUV611,1k,1.3272158647233463,27.8872,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Base,YUV611,2k,2.2587332479794515,29.9418125,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Base,YUV611,32k,4.212515310187369,37.129425,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Base,YUV611,4k,2.9855995053174413,34.9035375,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Base,YUV611,512,1.1545050597939615,27.4619,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Base,YUV611,8k,2.7691045373647847,34.417625,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Full,Y,16k,3.6035563236524064,36.9391,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Full,Y,1k,1.3734734405409799,25.718,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Full,Y,2k,2.419322744695441,29.1324,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Full,Y,32k,5.292857624176024,42.7948,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Full,Y,4k,3.0236520098460855,34.9218,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Full,Y,512,1.15854813840013,24.93,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Full,Y,8k,2.874779513482874,34.3121,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Full,YUV611,16k,3.6035563236524064,37.3171875,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Full,YUV611,1k,1.3734734405409799,28.2000125,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Full,YUV611,2k,2.419322744695441,30.896012499999998,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Full,YUV611,32k,5.292857624176024,41.81,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Full,YUV611,4k,3.0236520098460855,35.5544875,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Full,YUV611,512,1.15854813840013,27.5718875,True,[]
CTC,Shiva_00035_vox12,Ours,Ours Full,YUV611,8k,2.874779513482874,35.162875,True,[]
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,Y,R01,3.0912060200936637,40.0786,True,[]
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,Y,R02,2.47715646639715,38.0705,True,[]
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,Y,R03,1.9961253652483688,35.9846,True,[]
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,Y,R04,1.9449545691069927,32.1645,True,[]
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,Y,R05,1.630228555417684,31.185,True,[]
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,Y,R06,1.146699755833967,28.8733,True,[]
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,Y,R07,1.0200056038105911,28.2319,True,[]
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,Y,R08,0.9155185526157787,27.6241,True,[]
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,Y,R09,0.8380578793579634,27.0786,True,[]
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,YUV611,R01,3.0912060200936637,40.1873,True,[]
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,YUV611,R02,2.47715646639715,38.520275,True,[]
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,YUV611,R03,1.9961253652483688,36.751325,True,[]
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,YUV611,R04,1.9449545691069927,33.2967125,True,[]
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,YUV611,R05,1.630228555417684,32.537575,True,[]
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,YUV611,R06,1.146699755833967,30.453400000000002,True,[]
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,YUV611,R07,1.0200056038105911,30.0309125,True,[]
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,YUV611,R08,0.9155185526157787,29.5510125,True,[]
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,YUV611,R09,0.8380578793579634,29.064650000000004,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Base,Y,16k,2.431445382860345,37.5203,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Base,Y,1k,1.1389344754433015,28.4531,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Base,Y,2k,1.8222311171596686,31.5924,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Base,Y,32k,3.0300124084377376,39.2277,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Base,Y,4k,2.0805988071888883,36.1201,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Base,Y,512,1.0135051835247968,27.7574,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Base,Y,8k,1.9608373694111996,35.6234,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Base,YUV611,16k,2.431445382860345,38.0736375,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Base,YUV611,1k,1.1389344754433015,30.106937499999997,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Base,YUV611,2k,1.8222311171596686,32.8925375,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Base,YUV611,32k,3.0300124084377376,39.509125,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Base,YUV611,4k,2.0805988071888883,36.835074999999996,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Base,YUV611,512,1.0135051835247968,29.5752625,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Base,YUV611,8k,1.9608373694111996,36.432475,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Full,Y,16k,2.5110515150302204,38.0222,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Full,Y,1k,1.1530240563583236,28.6842,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Full,Y,2k,1.8792939198655085,32.1518,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Full,Y,32k,3.883857022775487,43.1039,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Full,Y,4k,2.092302765880799,36.4088,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Full,Y,512,1.0155545771124364,28.0401,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Full,Y,8k,1.9971660729295921,35.8209,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Full,YUV611,16k,2.5110515150302204,38.4651625,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Full,YUV611,1k,1.1530240563583236,30.362225,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Full,YUV611,2k,1.8792939198655085,33.3507125,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Full,YUV611,32k,3.883857022775487,42.4227,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Full,YUV611,4k,2.092302765880799,37.0182875,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Full,YUV611,512,1.0155545771124364,29.842799999999997,True,[]
CTC,Staue_Klimt_vox12,Ours,Ours Full,YUV611,8k,1.9971660729295921,36.604600000000005,True,[]
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,R01,0.7271219389083498,43.1835,True,[]
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,R02,0.5613671904326061,41.6248,True,[]
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,R03,0.4260359112712705,39.8607,True,[]
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,R04,0.3134327833711103,38.7206,True,[]
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,R05,0.23597356731087163,37.0326,True,[]
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,R06,0.16323479377614636,35.0507,True,[]
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,R07,0.11677919887292088,33.3056,True,[]
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,R08,0.08361342591483333,31.5958,True,[]
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,R09,0.06358413080251676,30.1173,True,[]
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,R01,0.7271219389083498,44.1035375,True,[]
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,R02,0.5613671904326061,42.6369625,True,[]
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,R03,0.4260359112712705,40.9314375,True,[]
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,R04,0.3134327833711103,39.874399999999994,True,[]
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,R05,0.23597356731087163,38.353637500000005,True,[]
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,R06,0.16323479377614636,36.31555,True,[]
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,R07,0.11677919887292088,34.798424999999995,True,[]
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,R08,0.08361342591483333,33.263400000000004,True,[]
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,R09,0.06358413080251676,31.863675,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Base,Y,16k,0.32995816581289145,38.9,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Base,Y,1k,0.1282595604455285,33.5874,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Base,Y,2k,0.18804075758374425,35.4991,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Base,Y,32k,0.41931943971899693,40.0048,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Base,Y,4k,0.30246868026637147,38.5012,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Base,Y,512,0.1046215675281091,32.7822,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Base,Y,8k,0.25498567989738724,37.4562,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Base,YUV611,16k,0.32995816581289145,40.321374999999996,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Base,YUV611,1k,0.1282595604455285,35.245000000000005,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Base,YUV611,2k,0.18804075758374425,37.0364875,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Base,YUV611,32k,0.41931943971899693,41.371075000000005,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Base,YUV611,4k,0.30246868026637147,39.791974999999994,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Base,YUV611,512,0.1046215675281091,34.4678625,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Base,YUV611,8k,0.25498567989738724,38.925475000000006,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Full,Y,16k,0.5217635210360949,41.1325,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Full,Y,1k,0.14817384748331983,34.4032,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Full,Y,2k,0.2272866240817324,36.9029,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Full,Y,32k,1.0358036109340731,46.2028,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Full,Y,4k,0.3101767769945515,38.634,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Full,Y,512,0.10661759655486923,32.8887,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Full,Y,8k,0.3622677675495134,39.1388,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Full,YUV611,16k,0.5217635210360949,42.198499999999996,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Full,YUV611,1k,0.14817384748331983,35.8970625,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Full,YUV611,2k,0.2272866240817324,38.095937500000005,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Full,YUV611,32k,1.0358036109340731,46.139812500000005,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Full,YUV611,4k,0.3101767769945515,39.8819375,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Full,YUV611,512,0.10661759655486923,34.55255,True,[]
CTC,Thaidancer_viewdep_vox12,Ours,Ours Full,YUV611,8k,0.3622677675495134,40.2822875,True,[]
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,Y,R01,0.32271935803417795,43.2402,True,[]
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,Y,R02,0.2316447639628455,42.2078,True,[]
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,Y,R03,0.15929645183718144,40.8546,True,[]
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,Y,R04,0.08824979131872211,39.5542,True,[]
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,Y,R05,0.0641637674610342,38.4859,True,[]
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,Y,R06,0.046162144498368494,37.2132,True,[]
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,Y,R07,0.03519381551412846,35.9674,True,[]
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,Y,R08,0.02747688098570029,34.6632,True,[]
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,Y,R09,0.02312072340108439,33.4715,True,[]
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,YUV611,R01,0.32271935803417795,44.40181249999999,True,[]
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,YUV611,R02,0.2316447639628455,43.4954125,True,[]
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,YUV611,R03,0.15929645183718144,42.3314875,True,[]
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,YUV611,R04,0.08824979131872211,41.2586125,True,[]
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,YUV611,R05,0.0641637674610342,40.36645,True,[]
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,YUV611,R06,0.046162144498368494,39.227125,True,[]
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,YUV611,R07,0.03519381551412846,38.229637499999995,True,[]
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,YUV611,R08,0.02747688098570029,37.1992125,True,[]
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,YUV611,R09,0.02312072340108439,36.239075,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Base,Y,16k,0.11311789996561288,39.93,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Base,Y,1k,0.04338382930315835,37.0848,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Base,Y,2k,0.0648774881952368,38.5861,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Base,Y,32k,0.1516205357417534,40.5237,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Base,Y,4k,0.09312551572133991,39.2754,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Base,Y,512,0.034247656992925,35.9482,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Base,Y,8k,0.08238962452410072,39.0252,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Base,YUV611,16k,0.11311789996561288,41.7166125,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Base,YUV611,1k,0.04338382930315835,39.186175,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Base,YUV611,2k,0.0648774881952368,40.4528125,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Base,YUV611,32k,0.1516205357417534,42.263175000000004,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Base,YUV611,4k,0.09312551572133991,41.04085,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Base,YUV611,512,0.034247656992925,38.2939875,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Base,YUV611,8k,0.08238962452410072,40.9120625,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Full,Y,16k,0.21191216312757347,42.079,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Full,Y,1k,0.045352714087165534,37.2209,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Full,Y,2k,0.06929654071045294,38.87,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Full,Y,32k,0.6238766931212771,45.9142,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Full,Y,4k,0.10157257835717073,39.8399,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Full,Y,512,0.03484105699032717,36.0183,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Full,Y,8k,0.13178675610508103,40.5391,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Full,YUV611,16k,0.21191216312757347,43.4072875,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Full,YUV611,1k,0.045352714087165534,39.2930375,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Full,YUV611,2k,0.06929654071045294,40.66833749999999,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Full,YUV611,32k,0.6238766931212771,46.3330625,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Full,YUV611,4k,0.10157257835717073,41.450275000000005,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Full,YUV611,512,0.03484105699032717,38.345575,True,[]
CTC,basketball_player_vox11_00000200,Ours,Ours Full,YUV611,8k,0.13178675610508103,42.0795875,True,[]
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,R01,0.2461045179261312,42.8383,True,[]
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,R02,0.18986311526916752,41.7344,True,[]
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,R03,0.14522406411524483,40.4362,True,[]
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,R04,0.16965862554160577,41.3231,True,[]
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,R05,0.12562877799996278,40.0943,True,[]
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,R06,0.08967889415802936,38.8189,True,[]
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,R07,0.07529161185599549,38.0136,True,[]
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,R08,0.06786207607315596,37.2621,True,[]
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,Y,R09,0.06407173028998722,36.672,True,[]
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,R01,0.2461045179261312,44.902537499999994,True,[]
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,R02,0.18986311526916752,44.022125,True,[]
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,R03,0.14522406411524483,42.9810375,True,[]
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,R04,0.16965862554160577,43.5599625,True,[]
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,R05,0.12562877799996278,42.629837499999994,True,[]
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,R06,0.08967889415802936,41.27836249999999,True,[]
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,R07,0.07529161185599549,40.710112499999994,True,[]
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,R08,0.06786207607315596,40.1008625,True,[]
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,YUV611,R09,0.06407173028998722,39.49164999999999,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Base,Y,16k,0.18287559564110234,41.6648,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Base,Y,1k,0.0896605722448781,38.7531,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Base,Y,2k,0.14781432458700547,41.0594,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Base,Y,32k,0.23356545861323158,42.7155,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Base,Y,4k,0.17260158284152832,40.7743,False,"[{""operating_point"":""2k"",""physical_bpp"":0.14781432458700547,""quality"":41.0594}]"
CTC,boxer_viewdep_vox12,Ours,Ours Base,Y,512,0.07527328994284421,37.9966,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Base,Y,8k,0.1413535599620393,40.3942,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Base,YUV611,16k,0.18287559564110234,43.9701875,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Base,YUV611,1k,0.0896605722448781,41.47101250000001,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Base,YUV611,2k,0.14781432458700547,43.2800125,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Base,YUV611,32k,0.23356545861323158,44.81145,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Base,YUV611,4k,0.17260158284152832,43.246787499999996,False,"[{""operating_point"":""2k"",""physical_bpp"":0.14781432458700547,""quality"":43.2800125}]"
CTC,boxer_viewdep_vox12,Ours,Ours Base,YUV611,512,0.07527328994284421,40.801300000000005,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Base,YUV611,8k,0.1413535599620393,42.963825,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Full,Y,16k,0.19176630399775557,41.7515,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Full,Y,1k,0.08983921089810297,38.839,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Full,Y,2k,0.1488128688537496,41.1147,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Full,Y,32k,0.5529003731658405,44.2294,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Full,Y,4k,0.17366883428258975,40.8033,False,"[{""operating_point"":""2k"",""physical_bpp"":0.1488128688537496,""quality"":41.1147}]"
CTC,boxer_viewdep_vox12,Ours,Ours Full,Y,512,0.07529161185599549,38.0058,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Full,Y,8k,0.14451408998063317,40.3901,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Full,YUV611,16k,0.19176630399775557,44.0422625,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Full,YUV611,1k,0.08983921089810297,41.5509375,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Full,YUV611,2k,0.1488128688537496,43.280474999999996,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Full,YUV611,32k,0.5529003731658405,45.92565,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Full,YUV611,4k,0.17366883428258975,43.238625,False,"[{""operating_point"":""2k"",""physical_bpp"":0.1488128688537496,""quality"":43.280474999999996}]"
CTC,boxer_viewdep_vox12,Ours,Ours Full,YUV611,512,0.07529161185599549,40.8667,True,[]
CTC,boxer_viewdep_vox12,Ours,Ours Full,YUV611,8k,0.14451408998063317,42.9608125,True,[]
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,Y,R01,0.3804689832217276,42.7866,True,[]
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,Y,R02,0.2766505782645353,41.744,True,[]
