dataset,sample,method,endpoint,metric,operating_point,physical_bpp,quality,pareto_retained,dominating_points
8iVFB,loot,Original_Unicorn,Original Unicorn,YUV611,R08,0.028710332366801816,35.773675000000004,True,[]
8iVFB,loot,Original_Unicorn,Original Unicorn,YUV611,R09,0.021964894416262565,34.9726625,True,[]
8iVFB,loot,Ours,Ours Base,Y,16k,0.18377593026071515,39.1044,True,[]
8iVFB,loot,Ours,Ours Base,Y,1k,0.05988438875677555,34.7983,True,[]
8iVFB,loot,Ours,Ours Base,Y,2k,0.10230415318800176,36.6009,True,[]
8iVFB,loot,Ours,Ours Base,Y,32k,0.24322320669079892,40.3484,True,[]
8iVFB,loot,Ours,Ours Base,Y,4k,0.16402640059109508,38.4647,True,[]
8iVFB,loot,Ours,Ours Base,Y,512,0.042707861192000346,33.6449,True,[]
8iVFB,loot,Ours,Ours Base,Y,8k,0.134292828004992,37.6072,True,[]
8iVFB,loot,Ours,Ours Base,YUV611,16k,0.18377593026071515,41.939787499999994,True,[]
8iVFB,loot,Ours,Ours Base,YUV611,1k,0.05988438875677555,38.0207875,True,[]
8iVFB,loot,Ours,Ours Base,YUV611,2k,0.10230415318800176,39.67685,True,[]
8iVFB,loot,Ours,Ours Base,YUV611,32k,0.24322320669079892,43.0396875,True,[]
8iVFB,loot,Ours,Ours Base,YUV611,4k,0.16402640059109508,41.184312500000004,True,[]
8iVFB,loot,Ours,Ours Base,YUV611,512,0.042707861192000346,37.038287499999996,True,[]
8iVFB,loot,Ours,Ours Base,YUV611,8k,0.134292828004992,40.595187499999994,True,[]
8iVFB,loot,Ours,Ours Full,Y,16k,0.33994424334241913,41.8131,True,[]
8iVFB,loot,Ours,Ours Full,Y,1k,0.0638084653259405,34.967,True,[]
8iVFB,loot,Ours,Ours Full,Y,2k,0.12282856380039366,37.3577,True,[]
8iVFB,loot,Ours,Ours Full,Y,32k,0.7977399305835822,46.7617,True,[]
8iVFB,loot,Ours,Ours Full,Y,4k,0.16589406235059637,38.4809,True,[]
8iVFB,loot,Ours,Ours Full,Y,512,0.04298602358171331,33.6731,True,[]
8iVFB,loot,Ours,Ours Full,Y,8k,0.23382529166692537,39.8468,True,[]
8iVFB,loot,Ours,Ours Full,YUV611,16k,0.33994424334241913,44.0129375,True,[]
8iVFB,loot,Ours,Ours Full,YUV611,1k,0.0638084653259405,38.1459,True,[]
8iVFB,loot,Ours,Ours Full,YUV611,2k,0.12282856380039366,40.2466375,True,[]
8iVFB,loot,Ours,Ours Full,YUV611,32k,0.7977399305835822,47.849175,True,[]
8iVFB,loot,Ours,Ours Full,YUV611,4k,0.16589406235059637,41.169624999999996,True,[]
8iVFB,loot,Ours,Ours Full,YUV611,512,0.04298602358171331,37.0677125,True,[]
8iVFB,loot,Ours,Ours Full,YUV611,8k,0.23382529166692537,42.28295,True,[]
8iVFB,redandblack,Original_Unicorn,Original Unicorn,Y,R01,0.8738232340096425,42.8344,True,[]
8iVFB,redandblack,Original_Unicorn,Original Unicorn,Y,R02,0.6679028786141052,41.4842,True,[]
8iVFB,redandblack,Original_Unicorn,Original Unicorn,Y,R03,0.49694136527951366,39.8969,True,[]
8iVFB,redandblack,Original_Unicorn,Original Unicorn,Y,R04,0.34176465076132617,38.2112,True,[]
8iVFB,redandblack,Original_Unicorn,Original Unicorn,Y,R05,0.25609384300460214,36.9904,True,[]
8iVFB,redandblack,Original_Unicorn,Original Unicorn,Y,R06,0.1533923459563331,35.2788,True,[]
8iVFB,redandblack,Original_Unicorn,Original Unicorn,Y,R07,0.09990352267613051,33.9443,True,[]
8iVFB,redandblack,Original_Unicorn,Original Unicorn,Y,R08,0.06738366959618103,32.6934,True,[]
8iVFB,redandblack,Original_Unicorn,Original Unicorn,Y,R09,0.04772394023421157,31.5822,True,[]
8iVFB,redandblack,Original_Unicorn,Original Unicorn,YUV611,R01,0.8738232340096425,42.7703625,True,[]
8iVFB,redandblack,Original_Unicorn,Original Unicorn,YUV611,R02,0.6679028786141052,41.6332,True,[]
8iVFB,redandblack,Original_Unicorn,Original Unicorn,YUV611,R03,0.49694136527951366,40.246375,True,[]
8iVFB,redandblack,Original_Unicorn,Original Unicorn,YUV611,R04,0.34176465076132617,38.146112499999994,True,[]
8iVFB,redandblack,Original_Unicorn,Original Unicorn,YUV611,R05,0.25609384300460214,37.1007375,True,[]
8iVFB,redandblack,Original_Unicorn,Original Unicorn,YUV611,R06,0.1533923459563331,35.3255625,True,[]
8iVFB,redandblack,Original_Unicorn,Original Unicorn,YUV611,R07,0.09990352267613051,34.166025,True,[]
8iVFB,redandblack,Original_Unicorn,Original Unicorn,YUV611,R08,0.06738366959618103,33.051987499999996,True,[]
8iVFB,redandblack,Original_Unicorn,Original Unicorn,YUV611,R09,0.04772394023421157,32.0738,True,[]
8iVFB,redandblack,Ours,Ours Base,Y,16k,0.317702071160935,38.3226,True,[]
8iVFB,redandblack,Ours,Ours Base,Y,1k,0.11495979231639283,34.1731,True,[]
8iVFB,redandblack,Ours,Ours Base,Y,2k,0.16500657919917222,35.7253,True,[]
8iVFB,redandblack,Ours,Ours Base,Y,32k,0.4100880174107915,39.1502,True,[]
8iVFB,redandblack,Ours,Ours Base,Y,4k,0.2815712473818483,37.8181,True,[]
8iVFB,redandblack,Ours,Ours Base,Y,512,0.08965132224086073,33.5624,True,[]
8iVFB,redandblack,Ours,Ours Base,Y,8k,0.24087919745648292,37.1725,True,[]
8iVFB,redandblack,Ours,Ours Base,YUV611,16k,0.317702071160935,38.55465,True,[]
8iVFB,redandblack,Ours,Ours Base,YUV611,1k,0.11495979231639283,34.478449999999995,True,[]
8iVFB,redandblack,Ours,Ours Base,YUV611,2k,0.16500657919917222,35.8020375,True,[]
8iVFB,redandblack,Ours,Ours Base,YUV611,32k,0.4100880174107915,39.2361625,True,[]
8iVFB,redandblack,Ours,Ours Base,YUV611,4k,0.2815712473818483,37.9939375,True,[]
8iVFB,redandblack,Ours,Ours Base,YUV611,512,0.08965132224086073,33.8754625,True,[]
8iVFB,redandblack,Ours,Ours Base,YUV611,8k,0.24087919745648292,37.59545,True,[]
8iVFB,redandblack,Ours,Ours Full,Y,16k,0.6622330211128283,41.1322,True,[]
8iVFB,redandblack,Ours,Ours Full,Y,1k,0.1411340506882093,34.8692,True,[]
8iVFB,redandblack,Ours,Ours Full,Y,2k,0.21092503408381516,36.9345,True,[]
8iVFB,redandblack,Ours,Ours Full,Y,32k,1.1902582979077223,46.2263,True,[]
8iVFB,redandblack,Ours,Ours Full,Y,4k,0.3282921401996328,38.0405,True,[]
8iVFB,redandblack,Ours,Ours Full,Y,512,0.09256543894542762,33.6595,True,[]
8iVFB,redandblack,Ours,Ours Full,Y,8k,0.4506956001852998,39.2827,True,[]
8iVFB,redandblack,Ours,Ours Full,YUV611,16k,0.6622330211128283,41.2126,True,[]
8iVFB,redandblack,Ours,Ours Full,YUV611,1k,0.1411340506882093,35.0295,True,[]
