configuration,point,profile,lambda,dataset,sequence,block,source,points,released_sha256,base_sha256,stage,stage_index,stage_bits,cumulative_bits,mse_Y,mse_U,mse_V,psnr_Y,psnr_U,psnr_V,yuv611,x_mean,x_std,x_rms,x_l2,x_zero_fraction,f_mean,f_std,f_rms,f_l2,f_zero_fraction,d_mean,d_std,d_rms,d_l2,d_zero_fraction,f4_mean,f4_std,f4_rms,f4_l2,f4_zero_fraction,f5p_mean,f5p_std,f5p_rms,f5p_l2,f5p_zero_fraction,cB_mean,cB_std,cB_rms,cB_l2,cB_zero_fraction,FB_mean,FB_std,FB_rms,FB_l2,FB_zero_fraction,run
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,1,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r3,3.0,5320.0,8648.0,0.0002330299612367,0.0003467673377599,0.0004478419141378,36.32588195800781,34.59961700439453,33.48875427246094,35.755455017089844,0.4487819075584411,0.1260386109352111,0.4661447703838348,50.44711685180664,0.0,-0.007547503337264,0.06272454559803,0.0631769970059394,44.66001510620117,0.0,-0.0028107950929552,0.141901284456253,0.1419291198253631,100.33013916015624,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,1,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r4,4.0,14064.0,22712.0,0.0001901275245472,0.0001463968510506,0.0002234023850178,37.20955276489258,38.34468460083008,36.509124755859375,37.263893127441406,0.449191689491272,0.1284766197204589,0.4672037959098816,98.9832763671875,0.0,-0.0058048013597726,0.0557043813169002,0.0560060180723667,77.50585174560547,0.0,-0.0011959022376686,0.1089585423469543,0.1089651137590408,150.7951202392578,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,1,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r5,5.0,28528.0,51240.0,0.0001593123597558,9.313685586676002e-05,0.000116462848382,37.97750854492188,40.30878448486328,39.33812713623047,38.438995361328125,0.4495613574981689,0.1300663203001022,0.467998594045639,187.7071075439453,0.0,-0.0038658874109387,0.0489438809454441,0.0490963198244571,128.626220703125,1.456930789345279e-07,-0.0003219190402887,0.0787887126207351,0.0787893682718277,206.4182891845703,1.456930789345279e-07,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,1,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,base_features,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0058048013597726,0.0557043813169002,0.0560060180723667,77.50585174560547,0.0,0.0041091502644121,0.067581869661808,0.0677066817879676,177.38302612304688,0.0,-0.002616548910737,0.0791531950235366,0.0791964307427406,207.48472595214844,0.0,-0.0029746266081929,0.0449787266552448,0.045076984912157,118.09605407714844,0.0,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,2,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,x_low,0.0,1088.0,1088.0,1.4797997209825553e-06,1.2629180901058137e-06,1.2879653468189645e-06,58.2979736328125,58.98624801635742,58.90095520019531,58.459381103515625,0.4666666984558105,0.0885300040245056,0.4749898612499237,6.21129846572876,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,2,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r1,1.0,320.0,1408.0,0.0002150125656044,0.0004789642407558,0.0006360244587995,36.67536163330078,33.19696807861328,31.96526336669922,35.65180206298828,0.4649206697940826,0.0905008986592292,0.4736471474170685,12.62960433959961,0.0,-0.0043655871413648,0.0532947443425655,0.0534732453525066,9.313560485839844,0.0,0.0004470294807106,0.0975569188594818,0.097557932138443,16.991893768310547,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,2,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r2,2.0,1432.0,2840.0,0.0002788706333376,0.0006432729423977,0.0006660422077402,35.54597473144531,31.91604804992676,31.76498413085937,34.61960983276367,0.4638190269470215,0.0955350250005722,0.4735557436943054,25.703218460083008,0.0,-0.0052242376841604,0.0574029460549354,0.0576401837170124,20.43553733825684,0.0,-0.0016035871813073,0.1329634189605713,0.1329730898141861,47.1437873840332,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,2,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r3,3.0,4096.0,6936.0,0.0002023313427343,0.0002618079306557,0.0002793393796309,36.93936920166016,35.82017135620117,35.53868103027344,36.62438201904297,0.4635677635669708,0.1002422198653221,0.4742821455001831,51.20270919799805,0.0,-0.0048076980747282,0.0575266554951667,0.0577272027730941,40.7081184387207,0.0,-0.0027099903672933,0.1330341100692749,0.1330617219209671,93.8325653076172,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,2,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r4,4.0,9192.0,16128.0,0.0001373743725707,0.0001057520930771,0.0001035228706314,38.620941162109375,39.75711441040039,39.849639892578125,38.91654968261719,0.4635369181632995,0.1028183922171592,0.4748032391071319,100.18235778808594,0.0,-0.0033894465304911,0.0512641817331314,0.0513761080801487,70.80813598632812,0.0,-0.0015430335188284,0.0970062240958213,0.0970184952020645,133.71388244628906,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,2,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r5,5.0,15544.0,31672.0,0.0001055007232935,6.629758718190715e-05,6.431811198126525e-05,39.76744842529297,41.78502655029297,41.91667175292969,40.28829956054688,0.4638147950172424,0.1034766361117363,0.4752173721790313,190.6024627685547,0.0,-0.0021547193173319,0.045052446424961,0.045103944838047,118.16668701171876,0.0,-0.0002451546024531,0.0660319477319717,0.0660324096679687,172.99664306640625,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
