dataset,sequence,num_blocks,point_count,mean_Y,var_Y,mean_U,var_U,mean_V,var_V,Y_variance_share,UV_variance_share,tv6_mean_degree,tv6_D111,retention_level1,r5_E_D111,retention_level2,r4_E_D111,retention_level3,r3_E_D111,retention_level4,r2_E_D111,retention_level5,r1_E_D111,r1_energy_share,r2_energy_share,r3_energy_share,r4_energy_share,r5_energy_share,r45_energy_share,r5_over_r4,point,delta_matched_db,gain_native_db,gain_synthesis_db,native_r5_gap_db,r5_delta_bpp
8i,Longdress,16,857966,0.4305276911151426,0.0130050560755458,0.5034409476485044,0.0035728668408995,0.5206647285442516,0.0042675434138624,0.6238793543628918,0.3761206456371083,3.5428886459370186,0.0004662310893369,0.2802931584701492,0.0002410147513086,0.2626308829766884,0.0004795749846139,0.2576712372146046,0.000703841622716,0.2520584982180164,0.0009249482066587,0.2442710872745002,0.0011015160943312,0.3191971600931589,0.2680313454502681,0.2039591144264817,0.1389711634067528,0.0698412166233383,0.2088123800300911,0.5025590554993122,4K,-2.3176683908441014,0.4283844616227164,0.7667139297040784,6.725072708894469,0.3967336700988151
8i,Longdress,16,857966,0.4305276911151426,0.0130050560755458,0.5034409476485044,0.0035728668408995,0.5206647285442516,0.0042675434138624,0.6238793543628918,0.3761206456371083,3.5428886459370186,0.0004662310893369,0.2802931584701492,0.0002410147513086,0.2626308829766884,0.0004795749846139,0.2576712372146046,0.000703841622716,0.2520584982180164,0.0009249482066587,0.2442710872745002,0.0011015160943312,0.3191971600931589,0.2680313454502681,0.2039591144264817,0.1389711634067528,0.0698412166233383,0.2088123800300911,0.5025590554993122,2K,-1.6438725341932567,0.5123119258627149,1.0015046023237524,5.979893137845156,0.2850182874379637
8i,Loot,16,805285,0.3430844477591276,0.0124639205547768,0.5150433699724694,0.0004133045635694,0.4953164166771932,0.0004870905350032,0.9326269206798492,0.0673730793201507,3.561775023749356,5.244555309301587e-05,0.2782890529439887,2.8053193356112663e-05,0.2624028344236107,6.363814679696838e-05,0.2541960717626052,0.0001067598728852,0.2507358843992507,0.0001680965560805,0.2489327641408751,0.0002578410293776,0.4129494795526366,0.2692177638120935,0.1709830047277267,0.1019207054165474,0.0449290464909957,0.1468497519075432,0.440823543237577,4K,-0.0502543683773097,2.211973411571357,3.530819252281205,5.462734394544725,0.06968961299415734
8i,Loot,16,805285,0.3430844477591276,0.0124639205547768,0.5150433699724694,0.0004133045635694,0.4953164166771932,0.0004870905350032,0.9326269206798492,0.0673730793201507,3.561775023749356,5.244555309301587e-05,0.2782890529439887,2.8053193356112663e-05,0.2624028344236107,6.363814679696838e-05,0.2541960717626052,0.0001067598728852,0.2507358843992507,0.0001680965560805,0.2489327641408751,0.0002578410293776,0.4129494795526366,0.2692177638120935,0.1709830047277267,0.1019207054165474,0.0449290464909957,0.1468497519075432,0.440823543237577,2K,0.1585730885102805,2.8854650664999113,4.433186580465772,5.406360996275794,0.031015106452994906
8i,Redandblack,8,757691,0.3035597588555993,0.0103332152038452,0.4688355843751385,0.0005830451682787,0.5824621615242294,0.0054688986807771,0.6306447908429458,0.3693552091570542,3.5379831620013964,0.0001458965620833,0.2801656611996183,7.914448637178074e-05,0.2613635828320276,0.0001895759556028,0.2533254028333513,0.0003460156473409,0.2453219494841693,0.0005397968662369,0.2473897911832946,0.0007656901834292,0.3987506284479506,0.2811115308834081,0.1801955409851173,0.0987260031161629,0.0412162965673609,0.1399422996835239,0.4174816691289027,4K,-1.142626757993206,1.8585476580082236,1.5805597441898414,5.04133985542493,0.16067763771775037
8i,Redandblack,8,757691,0.3035597588555993,0.0103332152038452,0.4688355843751385,0.0005830451682787,0.5824621615242294,0.0054688986807771,0.6306447908429458,0.3693552091570542,3.5379831620013964,0.0001458965620833,0.2801656611996183,7.914448637178074e-05,0.2613635828320276,0.0001895759556028,0.2533254028333513,0.0003460156473409,0.2453219494841693,0.0005397968662369,0.2473897911832946,0.0007656901834292,0.3987506284479506,0.2811115308834081,0.1801955409851173,0.0987260031161629,0.0412162965673609,0.1399422996835239,0.4174816691289027,2K,-0.5309442730951446,2.3968434300519874,2.3707724282768865,4.7937196086642615,0.1063969348982633
8i,Soldier,16,1089091,0.4025799169269436,0.0089737034495122,0.4949086889172095,8.865203739549798e-05,0.5137380893665416,8.628302550794942e-05,0.980878568689096,0.019121431310904,3.5386280852564203,0.0001086137877538,0.2797140000238731,6.017277077744859e-05,0.2643861157979739,0.0001436668753911,0.2578314150556859,0.000251644575266,0.2517576808244245,0.0003646009031038,0.2463657230298393,0.0005074928305541,0.3822697029634859,0.2746361535345205,0.1895516374769068,0.1082172800776204,0.0453252259474663,0.1535425060250868,0.4188353829901855,4K,-0.0834054698062232,1.1613250022025667,2.876783028171481,5.502260710576934,0.1263438959646164
8i,Soldier,16,1089091,0.4025799169269436,0.0089737034495122,0.4949086889172095,8.865203739549798e-05,0.5137380893665416,8.628302550794942e-05,0.980878568689096,0.019121431310904,3.5386280852564203,0.0001086137877538,0.2797140000238731,6.017277077744859e-05,0.2643861157979739,0.0001436668753911,0.2578314150556859,0.000251644575266,0.2517576808244245,0.0003646009031038,0.2463657230298393,0.0005074928305541,0.3822697029634859,0.2746361535345205,0.1895516374769068,0.1082172800776204,0.0453252259474663,0.1535425060250868,0.4188353829901855,2K,0.1168341538981536,1.6938014032249313,3.8822358869403857,5.179563840023285,0.0539826332234864
Owlii,Basketball,8,796217,0.4045998996479413,0.0514176244180007,0.4896650055320556,0.0002717420455543,0.5088338541367116,0.0001895865096119,0.9911075970364148,0.0088924029635851,3.8344923557271446,8.989640785177986e-05,0.2610770681861854,4.834199289731844e-05,0.2560108527280949,0.0001097334595628,0.2555902138374234,0.0002262505902342,0.2476106454933098,0.0004445473790147,0.257125890736342,0.0007000084326399,0.4578564593782099,0.2907663386482036,0.1479843518259364,0.0717736686132487,0.0316191815344012,0.1033928501476499,0.4405401332455319,4K,-0.5951316146809589,2.3553492380360836,3.8927765559196317,5.762544350917558,0.045927178143646774
Owlii,Basketball,8,796217,0.4045998996479413,0.0514176244180007,0.4896650055320556,0.0002717420455543,0.5088338541367116,0.0001895865096119,0.9911075970364148,0.0088924029635851,3.8344923557271446,8.989640785177986e-05,0.2610770681861854,4.834199289731844e-05,0.2560108527280949,0.0001097334595628,0.2555902138374234,0.0002262505902342,0.2476106454933098,0.0004445473790147,0.257125890736342,0.0007000084326399,0.4578564593782099,0.2907663386482036,0.1479843518259364,0.0717736686132487,0.0316191815344012,0.1033928501476499,0.4405401332455319,2K,-0.1544921062348621,3.404608052513062,4.229358258741421,5.43906510533381,0.025249398091223868
Owlii,Dancer,8,702038,0.4269925533833541,0.0421991606843724,0.4950055451776005,0.0002219777703752,0.50681445072319,0.0002431095572571,0.9890988978054516,0.0109011021945484,3.843162335941929,0.0001157607405288,0.2609616573461835,6.183651964835626e-05,0.2543926202887476,0.000156768741205,0.2529288074496846,0.0003135397913462,0.2461825585341024,0.0005986999758976,0.2453480358373535,0.0010574909022269,0.4832397474140484,0.2735868691828056,0.1432777239551929,0.0716383344223597,0.0282573250255933,0.099895659447953,0.3944441932303453,4K,-1.3086847258115455,1.7698421554488775,3.2001304011456213,6.168340239369378,0.06569444958819892
Owlii,Dancer,8,702038,0.4269925533833541,0.0421991606843724,0.4950055451776005,0.0002219777703752,0.50681445072319,0.0002431095572571,0.9890988978054516,0.0109011021945484,3.843162335941929,0.0001157607405288,0.2609616573461835,6.183651964835626e-05,0.2543926202887476,0.000156768741205,0.2529288074496846,0.0003135397913462,0.2461825585341024,0.0005986999758976,0.2453480358373535,0.0010574909022269,0.4832397474140484,0.2735868691828056,0.1432777239551929,0.0716383344223597,0.0282573250255933,0.099895659447953,0.3944441932303453,2K,-0.7724810523331485,2.8572847800855854,3.704983788660016,5.798595525834436,0.03573595731285199
Owlii,Exercise,8,645135,0.3348881425243961,0.0296460611203577,0.4971890372541409,0.0002546064507571,0.5049004994211309,0.0001433341484624,0.986754740499158,0.0132452595008421,3.854064653134616,7.332411015731412e-05,0.2596417804025514,3.827927616118985e-05,0.2548177953959308,6.705479154643225e-05,0.251669282852658,0.0001290581459305,0.2482777881213926,0.0002694429990767,0.2467191601049868,0.0004184834715053,0.4537297993253881,0.2921365507243853,0.1399279317860421,0.0727024104505918,0.0415033077135925,0.1142057181641843,0.5708656350781923,4K,-0.329688141807317,2.494273451106828,3.702770526208397,4.736194782812113,0.029972021359870413
Owlii,Exercise,8,645135,0.3348881425243961,0.0296460611203577,0.4971890372541409,0.0002546064507571,0.5049004994211309,0.0001433341484624,0.986754740499158,0.0132452595008421,3.854064653134616,7.332411015731412e-05,0.2596417804025514,3.827927616118985e-05,0.2548177953959308,6.705479154643225e-05,0.251669282852658,0.0001290581459305,0.2482777881213926,0.0002694429990767,0.2467191601049868,0.0004184834715053,0.4537297993253881,0.2921365507243853,0.1399279317860421,0.0727024104505918,0.0415033077135925,0.1142057181641843,0.5708656350781923,2K,-0.0736761270896764,3.624618216940739,4.066786844641413,4.684629584297198,0.014260581118680588
Owlii,Model,8,657755,0.5133693059501345,0.0330956967394954,0.4948213635774485,0.0001366873778902,0.5069995584802155,0.0001610185128946,0.9910848890099344,0.0089151109900656,3.868251856694362,0.0002043509898888,0.2587148710386086,0.0001075538496307,0.2535567164793061,0.0002316006396853,0.2522480763882451,0.0004490292813658,0.2449467107680999,0.0007303862917245,0.237059264816204,0.0011082236840384,0.4218921586585449,0.2780523947542472,0.1709419637432739,0.088168566717059,0.0409449161268748,0.1291134828439339,0.4643935775690991,4K,-0.6611906635332048,1.5877458140282883,2.3601976676657586,5.939910132256934,0.14013728515936785
Owlii,Model,8,657755,0.5133693059501345,0.0330956967394954,0.4948213635774485,0.0001366873778902,0.5069995584802155,0.0001610185128946,0.9910848890099344,0.0089151109900656,3.868251856694362,0.0002043509898888,0.2587148710386086,0.0001075538496307,0.2535567164793061,0.0002316006396853,0.2522480763882451,0.0004490292813658,0.2449467107680999,0.0007303862917245,0.237059264816204,0.0011082236840384,0.4218921586585449,0.2780523947542472,0.1709419637432739,0.088168566717059,0.0409449161268748,0.1291134828439339,0.4643935775690991,2K,-0.3062353116629666,2.158536991408454,2.6879115060633083,5.347839979789832,0.08917606099535542
