run,configuration,point,profile,lambda,dataset,sequence,endpoint,num_blocks,points,physical_bits,physical_bpp,y_mse,y_psnr,u_mse,u_psnr,v_mse,v_psnr,yuv611,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,r5_bits
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,B_unpool,16.0,857966.0,420728.0,0.4903784066035251,0.0010314011832741625,29.865723746850293,0.0002227336979506181,36.5221407247257,0.0002889266208983806,35.392124416219154,31.388575952755826,19568.0,6232.0,28200.0,95736.0,270992.0,562504.0
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,B_native,16.0,857966.0,420728.0,0.4903784066035251,0.0008459635342484434,30.72648357074456,0.0001957716426309434,37.082502151927436,0.00023351350275104143,36.316880016044266,32.21978544905488,19568.0,6232.0,28200.0,95736.0,270992.0,562504.0
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,Canonical_Base,16.0,857966.0,420728.0,0.4903784066035251,0.000580678432974034,32.36064303834604,0.00018975840228528868,37.21798984943171,0.0002202733108830653,36.570381203634554,33.494028660392814,19568.0,6232.0,28200.0,95736.0,270992.0,562504.0
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,Official_Full,16.0,857966.0,983232.0,1.1460034546823534,0.00017918251504954742,37.4670437183899,8.714388710286887e-05,40.597630720147286,9.698983455731346e-05,40.13273781476155,38.191578855656026,19568.0,6232.0,28200.0,95736.0,270992.0,562504.0
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Loot,B_unpool,16.0,805285.0,113160.0,0.14052167866035006,0.0002337870358912683,36.31179575282767,1.1700488671700081e-05,49.31795999536668,1.2116539907324735e-05,49.166213829499725,39.54436854272905,14384.0,1976.0,7464.0,26960.0,62376.0,95960.0
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Loot,B_native,16.0,805285.0,113160.0,0.14052167866035006,0.00019254438879936917,37.15469133229145,1.1827105466946483e-05,49.271215303972085,1.148477961084585e-05,49.398773343576686,40.19976708016218,14384.0,1976.0,7464.0,26960.0,62376.0,95960.0
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Loot,Canonical_Base,16.0,805285.0,113160.0,0.14052167866035006,0.00017220286298006294,37.63959632405551,1.1499546280198936e-05,49.39319294593623,1.1338972757731735e-05,49.454262881112086,40.58562922142267,14384.0,1976.0,7464.0,26960.0,62376.0,95960.0
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Loot,Official_Full,16.0,805285.0,209120.0,0.25968445953916935,9.23992701872008e-05,40.3433145902798,1.1053314179402323e-05,49.5650748541565,1.123106838433598e-05,49.49578928391109,42.640093959968304,14384.0,1976.0,7464.0,26960.0,62376.0,95960.0
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Redandblack,B_unpool,8.0,757691.0,187520.0,0.2474887520110441,0.0002635468076211807,35.79142240086104,7.51113434275978e-05,41.24294470239539,0.0003572172295741932,34.47067602055219,36.307769391014226,14888.0,3128.0,13424.0,43160.0,112920.0,195856.0
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Redandblack,B_native,8.0,757691.0,187520.0,0.2474887520110441,0.00022115215871100488,36.55308817037304,6.974020806199361e-05,41.56516761289826,0.0002704298255725619,35.67945411963898,37.07039384434694,14888.0,3128.0,13424.0,43160.0,112920.0,195856.0
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Redandblack,Canonical_Base,8.0,757691.0,187520.0,0.2474887520110441,0.00019148335826781634,37.17868964392555,6.946905853877107e-05,41.582085867480316,0.00026471489177553914,35.772216263827325,37.55330499935762,14888.0,3128.0,13424.0,43160.0,112920.0,195856.0
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Redandblack,Official_Full,8.0,757691.0,383376.0,0.5059793504212139,0.00010188158953161645,39.91904287899386,5.348996095875495e-05,42.717277190876615,0.00010883061154560368,39.63248930414907,40.23300297112361,14888.0,3128.0,13424.0,43160.0,112920.0,195856.0
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Soldier,B_unpool,16.0,1089091.0,255056.0,0.23419163320604064,0.0004059943600856127,33.914799994294796,1.6748043118527283e-05,47.76035929670325,1.3102759655969977e-05,48.82637225173348,37.50944143927569,21912.0,5600.0,21328.0,63880.0,142336.0,212992.0
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Soldier,B_native,16.0,1089091.0,255056.0,0.23419163320604064,0.0003087883928661608,35.10339032847047,1.6766305023638978e-05,47.7556263713482,1.2778318423602803e-05,48.935262938615274,38.413903910098284,21912.0,5600.0,21328.0,63880.0,142336.0,212992.0
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Soldier,Canonical_Base,16.0,1089091.0,255056.0,0.23419163320604064,0.00024744195939457766,36.06526653985787,1.6553979757981657e-05,47.81097580187204,1.2707643767013043e-05,48.95934968238105,39.14524059042504,21912.0,5600.0,21328.0,63880.0,142336.0,212992.0
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Soldier,Official_Full,16.0,1089091.0,468048.0,0.42976023123871193,0.00011614067422006057,39.350156571282334,1.614812314186785e-05,47.918779474194025,1.261490248985622e-05,48.991161021246896,41.62635999039187,21912.0,5600.0,21328.0,63880.0,142336.0,212992.0
