configuration,point,profile,lambda,dataset,sequence,block,source,points,released_sha256,base_sha256,endpoint,physical_bits,physical_bpp,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,r5_bits,y_mse,u_mse,v_mse,y_psnr,u_psnr,v_psnr,yuv_psnr_611,run
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,2,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Canonical_Base,16128,0.3007664621524346,1088,320,1432,4096,9192,15544,0.000225914,0.000116326,0.000113867,36.4606,39.3432,39.436,37.19285,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,2,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Official_Full,31672,0.590642075228913,1088,320,1432,4096,9192,15544,0.000106399,6.68894e-05,6.47867e-05,39.7306,41.7464,41.8851,40.2518875,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,3,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_unpool,26328,0.4909833466982451,1072,384,1880,5936,17056,39840,0.000809042,0.00020581,0.000563031,30.9203,36.8653,32.4947,31.860225,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,3,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_native,26328,0.4909833466982451,1072,384,1880,5936,17056,39840,0.000679083,0.000173345,0.000457845,31.6808,37.6109,33.3928,32.6360625,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,3,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Canonical_Base,26328,0.4909833466982451,1072,384,1880,5936,17056,39840,0.000518097,0.000174063,0.00042665,32.8559,37.5929,33.6993,33.55345,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,3,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Official_Full,66168,1.2339481192771755,1072,384,1880,5936,17056,39840,0.00020263,0.000102247,0.000135629,36.933,39.9035,38.6765,37.52225,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,4,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_unpool,22624,0.4219085094082763,1328,360,1776,5456,13704,24992,0.000510793,0.000166795,0.000259863,32.9175,37.7782,35.8526,33.891975,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,4,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_native,22624,0.4219085094082763,1328,360,1776,5456,13704,24992,0.000407249,0.000136197,0.000201974,33.9014,38.6583,36.9471,34.876725,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,4,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Canonical_Base,22624,0.4219085094082763,1328,360,1776,5456,13704,24992,0.000334892,0.000136916,0.000195764,34.7509,38.6355,37.0827,35.527950000000004,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,4,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Official_Full,47616,0.8879771739738545,1328,360,1776,5456,13704,24992,0.000157403,7.09692e-05,9.40694e-05,38.0299,41.4893,40.2655,38.741775,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,5,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_unpool,27176,0.5067974563153871,1360,392,1848,6144,17432,32672,0.00087015,0.000184391,0.000284643,30.6041,37.3426,35.457,32.053025,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,5,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_native,27176,0.5067974563153871,1360,392,1848,6144,17432,32672,0.000686791,0.000162351,0.000230249,31.6318,37.8954,36.378,33.008025,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,5,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Canonical_Base,27176,0.5067974563153871,1360,392,1848,6144,17432,32672,0.000484523,0.000153285,0.000208698,33.1469,38.145,36.8048,34.2289,full_88blocks_v2
