configuration,dataset,stage,lambda,stage_index,num_blocks,points,stage_bits,cumulative_bits,stage_bpp,cumulative_bpp,mse_Y,psnr_Y,mse_U,psnr_U,mse_V,psnr_V,yuv611,x_rms,f_rms,d_rms
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,8i,r1,2048.0,1.0,14.0,877508.25,162.0,17850.0,0.00018722619413995864,0.02029675909624549,0.003036467179021168,25.364737027839517,0.0032615978054714406,24.89505170462335,0.0006238019108654592,33.537962521416034,26.327679549134565,0.4614500600124466,0.06183221662951892,0.038498433902493426
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,8i,r2,2048.0,2.0,14.0,877508.25,7780.0,25630.0,0.008895306995613134,0.02919206609185862,0.0035337999183121583,24.952723798469265,0.002416321115759247,26.199494813386,0.0007746030404622939,33.336417076497035,26.15653183508733,0.4647807682145747,0.04637438790901505,0.05463216348004825
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,8i,r3,2048.0,3.0,14.0,877508.25,27304.0,52934.0,0.031045668708884096,0.06023773480074271,0.0026598386265717826,26.365720500034893,0.0011590171555543962,29.511267948184987,0.0006305439601989824,35.64400348827732,27.918699304583956,0.4701743188465398,0.04079478255080826,0.04909239017779728
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,8i,r4,2048.0,4.0,14.0,877508.25,77440.0,130374.0,0.0876496616678558,0.14788739646859853,0.0012085668121790032,29.668936378682965,0.000535193003208442,32.82221569132086,0.00039999287583399924,37.92106030895686,31.09461178404694,0.48006886556820516,0.043824075757106326,0.04384039743096364
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,8i,r5,2048.0,5.0,14.0,877508.25,87060.0,217434.0,0.10051129565901476,0.24839869212761329,0.0003294191282595888,35.19519209001932,0.00010026139843130436,42.64917886917212,0.0002839633109611098,40.14105796743979,36.74517367209098,0.47505739182114154,0.04205296983010373,0.04067460457769829
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,8i,x_low,2048.0,0.0,14.0,877508.25,17688.0,17688.0,0.02010953290210553,0.02010953290210553,1.2561621733355568e-06,59.00992536875654,1.278576327425046e-06,58.93333764371791,1.2891249938272234e-06,58.90146702975756,58.98679461075184,0.4752783415716175,,
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,Owlii,r1,2048.0,1.0,8.0,700286.25,192.0,12298.0,0.00027452655243680917,0.017525118696133733,0.0033065351499730455,24.938189306857957,0.002936748117319446,25.321373349412625,0.0001826373988311199,37.39033594882247,26.542605642422856,0.48212453009983114,0.06133654887080869,0.038685560695339405
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,Owlii,r2,2048.0,2.0,8.0,700286.25,4232.0,16530.0,0.006043225888274832,0.023568344584408568,0.00290094353986728,25.543593499191733,0.0022182589265199253,26.54054392437203,0.00015984507728918597,37.98906902145147,27.223896742621736,0.4847214625194457,0.04239392483725099,0.04750063290738635
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,Owlii,r3,2048.0,3.0,8.0,700286.25,13868.0,30398.0,0.01982863979875335,0.04339698438316192,0.0017262405283370913,27.89026529565984,0.0008868509652100386,30.550106916950664,7.463904222831363e-05,41.44367443124409,29.916921640269223,0.49038321052820055,0.037519823837223486,0.04445959872050854
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,Owlii,r4,2048.0,4.0,8.0,700286.25,31400.0,61798.0,0.04503125198014077,0.08842823636330269,0.0010210017077033622,29.94304795431684,0.0006866635145518476,31.68779909148881,6.0671829080669036e-05,42.21967460182134,31.695720177401398,0.4992223844954581,0.044028189344509666,0.042213726480440875
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,Owlii,r5,2048.0,5.0,8.0,700286.25,25880.0,87678.0,0.037635212869636184,0.12606344923293888,0.00023628876848796434,36.34646909087681,4.4667933871395156e-05,43.55423667487712,2.9961283450319663e-05,45.48511245576943,38.389770459488425,0.4937911792825894,0.043356451715411214,0.04056075598405978
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,Owlii,x_low,2048.0,0.0,8.0,700286.25,12106.0,12106.0,0.017250592143696925,0.017250592143696925,1.290258648205025e-06,58.893660483763036,1.1767837255425126e-06,59.311681981066855,1.3717439336572094e-06,58.63878602919698,58.914053864105256,0.4945627728274731,,
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,8i,r1,4096.0,1.0,14.0,877508.25,4146.0,21834.0,0.004649011701184405,0.024758544603289932,0.00024509052263510013,36.30445859924656,0.00011707005946835338,43.653441518787645,0.0003954691929339799,39.73946931623309,37.65245780381251,0.47477867067855023,0.05184103604867803,0.08344766445248268
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,8i,r2,4096.0,2.0,14.0,877508.25,17034.0,38868.0,0.019223452305561373,0.04398199690885131,0.00026987653047391415,35.86737717392313,0.00014849414255891765,43.011298026928024,0.0004126263898570206,39.777053292494884,37.249076795370215,0.4748135254831852,0.05117274632376465,0.09750100692301927
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,8i,r3,4096.0,3.0,14.0,877508.25,55632.0,94500.0,0.06313185160777718,0.10711384851662847,0.0002318563734129872,36.507585098307814,0.0001017001475918389,43.69840911005218,0.00024830797429439605,41.32301344085152,38.00836664259382,0.4753155726188847,0.04977007179959699,0.09359793395274507
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,8i,r4,4096.0,4.0,14.0,877508.25,142336.0,236836.0,0.16278093146818687,0.26989477998481537,0.00017977414182155803,37.623525852068106,6.280586022254458e-05,44.494369988521385,0.00010955313611846092,43.21477975396143,39.18128810686143,0.4757903943932132,0.04730399915581389,0.079861091094255
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,8i,r5,4096.0,5.0,14.0,877508.25,258738.0,495574.0,0.2977370483848296,0.567631828369645,0.00013381618503705955,38.90164486114051,4.344206001516971e-05,45.1166696253277,5.9536650631446384e-05,44.488547185966574,40.37688574726717,0.4761863991043425,0.04423802017018608,0.06292406131451847
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,8i,x_low,4096.0,0.0,14.0,877508.25,17688.0,17688.0,0.02010953290210553,0.02010953290210553,1.256161779871926e-06,59.00992671704216,1.2785759064302944e-06,58.93333907324107,1.2891266476110507e-06,58.90146133327963,58.98679508859671,0.4752783434254317,,
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,Owlii,r1,4096.0,1.0,8.0,700286.25,2588.0,14694.0,0.003707877937450231,0.02095847008114716,0.0002483553060030114,36.164461702686715,1.5942106623959896e-05,48.07119617032755,1.5579613124402026e-05,48.37098776223547,39.178619268585415,0.49353779207602644,0.050594203589569904,0.09683929876048326
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,Owlii,r2,4096.0,2.0,8.0,700286.25,8622.0,23316.0,0.0123679507831105,0.03332642086425766,0.00024178872059141284,36.25737012678575,2.2805912527366105e-05,46.48872763490296,2.004331420479737e-05,47.360224451484264,38.924146605887714,0.49343569841673873,0.046383095916901124,0.08743893065106764
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,Owlii,r3,4096.0,3.0,8.0,700286.25,25134.0,48450.0,0.036084308363553384,0.06941072922781104,0.00018341669030311238,37.45874852907434,2.5209740771275218e-05,46.03510790490552,1.6831219316220484e-05,48.026061843371274,39.85170761534036,0.4936616882922934,0.0436930107127096,0.07431954305901164
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,Owlii,r4,4096.0,4.0,8.0,700286.25,61086.0,109536.0,0.08798701092956135,0.1573977401573724,0.00013058105209082412,38.90217044656719,2.7282862404067742e-05,45.678158443636356,1.4794854407571706e-05,48.43418514999277,40.94067078412903,0.4938339983290801,0.042050037721034494,0.06312330959233514
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,Owlii,r5,4096.0,5.0,8.0,700286.25,128978.0,238514.0,0.18674329848140447,0.3441410386387768,9.982749144121162e-05,40.04884355063705,3.0556517582469394e-05,45.18485999471344,1.4861642677549835e-05,48.340990199080025,41.72736393720197,0.4939909258199846,0.0410862861232359,0.0551629300308119
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,Owlii,x_low,4096.0,0.0,8.0,700286.25,12106.0,12106.0,0.017250592143696925,0.017250592143696925,1.2902581650331676e-06,58.893662107167614,1.1767842318079508e-06,59.31168064334222,1.37174486800923e-06,58.63878309713016,58.914054547934754,0.4945627736179663,,
DIAGNOSTIC_8k256_L8192,8i,r1,8192.0,1.0,14.0,877508.25,570.0,18258.0,0.0006558306884016931,0.02076536359050722,0.00213271567972259,27.01165856256375,0.0024081461850796247,26.233349521761376,0.00047280249227432225,36.846084776349976,28.14367320918673,0.46379388726950144,0.07078489160280337,0.03818979875760343
DIAGNOSTIC_8k256_L8192,8i,r2,8192.0,2.0,14.0,877508.25,10522.0,28780.0,0.012062239866201509,0.03282760345670873,0.0028646839960525,26.1358128619491,0.0017545307256480044,27.61204607263606,0.0005582089575899032,36.38413943627084,27.60138283507519,0.4667597045965006,0.05297796598234941,0.06594104862111057
