endpoint,bpp,y_psnr,u_psnr,v_psnr,yuv_psnr_611,delta_bpp_vs_step1763,delta_y_vs_step1763,delta_u_vs_step1763,delta_v_vs_step1763,delta_yuv611_vs_step1763,delta_bpp_vs_r01,delta_rate_percent_vs_r01,delta_yuv611_vs_r01
Official R01,1.577542086282,41.043176861569,46.704810775215,47.850167707176,42.601754956475,,,,,,0,0,0
Original step1763,1.656176971411,41.554581787575,46.641685544830,47.632971488868,42.950268469893,0,0,0,0,0,0.078634885128,4.984645786124,0.348513513418
Original step3525,1.586110761515,40.956588896988,46.758877045929,47.779150499098,42.534695115869,-0.070066209896,-0.597992890587,0.117191501098,0.146179010230,-0.415573354024,0.008568675233,0.543166189170,-0.067059840606
D111 +300,1.664691032705,41.645481123690,46.732311891377,47.806628205294,43.051478354851,0.008514061295,0.090899336115,0.090626346547,0.173656716426,0.101209884958,0.087148946423,5.524351734657,0.449723398376
D411 +300,2.041407593259,44.131225839193,46.163446820336,47.373430219725,44.790529009402,0.385230621849,2.576644051618,-0.478238724494,-0.259541269143,1.840260539509,0.463865506977,29.404321028119,2.188774052927
D611 +300,2.102933989385,44.544787412218,45.979995598676,47.231989450641,45.060088690328,0.446757017974,2.990205624643,-0.661689946154,-0.400982038227,2.109820220435,0.525391903102,33.301908789745,2.458333733853
