sequence,frame,endpoint,source,checkpoint_profile,lambda,checkpoint_step,points,physical_bits,physical_bpp,base_bits,enhancement_bits,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,num_base_residual_streams,num_native_r5_streams,y_mse,u_mse,v_mse,y_psnr,u_psnr,v_psnr,yuv_psnr_611,hard_max_abs_difference,seconds
longdress,1300,B_native,CURRENT_CANONICAL_DIAGNOSTIC,32k8k,32768,0,857966,658152,0.7671073212691412,658152,0,15632,9520,42856,149120,441024,4,0,0.000698578,0.000160019,0.000194867,31.5579,37.9583,37.1026,33.0510375,,29.20797011256218
longdress,1300,Canonical_Base,CURRENT_CANONICAL,32k8k,32768,5525,857966,658152,0.7671073212691412,658152,0,15632,9520,42856,149120,441024,4,0,0.000415318,0.000153214,0.000178685,33.8162,38.147,37.4791,34.8154125,,58.20087853819132
longdress,1300,Canonical_Full_step1763,CURRENT_CANONICAL,32k8k,32768,3263,857966,1730568,2.0170589510540045,658152,1072416,15632,9520,42856,149120,441024,4,0,6.98163e-05,5.36103e-05,7.13222e-05,41.5604,42.7075,41.4678,41.692212500000004,0.0,33.64970786869526
longdress,1300,Canonical_Full_step3525,CURRENT_CANONICAL,32k8k,32768,3263,857966,2012936,2.346172225939023,658152,1354784,15632,9520,42856,149120,441024,4,0,3.7312e-05,6.49029e-05,8.32351e-05,44.2815,41.8774,40.7969,43.545412500000005,0.0,36.37620362639427
