dataset,sample,row_type,base_y_bdbr_percent,base_yuv611_bdbr_percent,full_y_bdbr_percent,full_yuv611_bdbr_percent
8iVFB,longdress,sequence,21.96893149124739,11.448876631551897,0.5726307452504464,1.7948872451434728
8iVFB,loot,sequence,0.16903946713808793,-5.2592409953069685,2.5106553025059375,1.0517466343062498
8iVFB,redandblack,sequence,-4.8785054622732416,-9.22925282144269,-0.5749265889145483,-0.640324446823104
8iVFB,soldier,sequence,3.5589133451946253,0.14722506688416015,3.300282684881939,3.3556732976153913
8iVFB,Average,dataset_average,5.204594710326715,-0.7230980295784004,1.4521605359309437,1.3904956825605024
Owlii,basketball_player,sequence,6.223646796351345,2.506406951545359,1.9245487554049312,1.6763529709545422
Owlii,dancer,sequence,14.897867874753313,9.356277478547682,3.500272414934358,3.969553863043007
Owlii,exercise,sequence,6.435334329414721,1.4948829236114847,-0.5689584532563408,-0.9992464200304529
Owlii,model,sequence,12.882016630096317,6.610955198005031,2.563151517360529,3.6618691903703704
Owlii,Average,dataset_average,10.109716407653924,4.992130637927389,1.8547535586108692,2.077132401084367
CTC,basketball_player_vox11_00000200,sequence,1.9277523397330576,-0.7378830800383596,-3.5596480395834185,-3.797632864465461
CTC,dancer_vox11_00000001,sequence,0.7596908213271858,-2.5907924225049506,-3.384577837079683,-3.8802635227454085
CTC,Thaidancer_viewdep_vox12,sequence,2.2692120799562066,-2.6559150636724427,0.256157394447043,-0.3480372128179421
CTC,longdress_viewdep_vox12,sequence,-0.09635736215646284,-0.5113709255581744,-0.6221590254698484,-0.4985553345797311
CTC,loot_viewdep_vox12,sequence,-1.7694656086105987,-3.70683097250627,1.258922490631531,-1.2183684709044629
CTC,redandblack_viewdep_vox12,sequence,-4.937646958871089,-6.354937163221552,-2.93361838477868,-4.330641367262677
CTC,soldier_viewdep_vox12,sequence,-2.006818544701916,-3.1336053839559397,-0.4253842728353163,-1.3721539373972913
CTC,boxer_viewdep_vox12,sequence,0.0871369146348222,-2.177950876079948,2.583585497388863,-0.11608391569728482
CTC,Facade_00009_vox12,sequence,4.753461591709485,3.5582229217705708,3.942293324148527,3.636108418939976
CTC,House_without_roof_00057_vox12,sequence,12.076455488044058,5.521354289515701,1.726481957877768,0.4763003139902189
CTC,Shiva_00035_vox12,sequence,5.99901288714435,5.772001440587204,1.4196575595934346,1.5134421519549912
CTC,Staue_Klimt_vox12,sequence,3.1160397073993096,3.102106269019944,1.598442599247596,1.581173464406338
CTC,Average,dataset_average,1.8482061129673673,-0.32630008055368476,0.15501277196565133,-0.6962260230482279
