dataset,sample,method,endpoint,operating_point,GPU_model,VRAM_MiB,encode_seconds,decode_seconds,codec_seconds,timing_semantics
Owlii,dancer,Original_Unicorn,Original Unicorn,R09,NVIDIA GeForce RTX 3090,24576,4.59445221722126,1.6113743744790554,6.2058265917003155,CUDA-synchronized codec only
Owlii,exercise,Original_Unicorn,Original Unicorn,R01,NVIDIA GeForce RTX 3090,24576,5.173991987016052,1.8862910768948495,7.0602830639109015,CUDA-synchronized codec only
Owlii,exercise,Original_Unicorn,Original Unicorn,R02,NVIDIA GeForce RTX 3090,24576,5.236010313034058,1.7462127059698105,6.982223019003868,CUDA-synchronized codec only
Owlii,exercise,Original_Unicorn,Original Unicorn,R03,NVIDIA GeForce RTX 3090,24576,5.121692914515734,1.6517359241843224,6.773428838700056,CUDA-synchronized codec only
Owlii,exercise,Original_Unicorn,Original Unicorn,R04,NVIDIA GeForce RTX 3090,24576,5.13514793664217,1.655260968953371,6.790408905595541,CUDA-synchronized codec only
Owlii,exercise,Original_Unicorn,Original Unicorn,R05,NVIDIA GeForce RTX 3090,24576,5.4262617118656635,2.794986441731453,8.221248153597116,CUDA-synchronized codec only
Owlii,exercise,Original_Unicorn,Original Unicorn,R06,NVIDIA GeForce RTX 3090,24576,5.0553595796227455,1.5530800316482782,6.608439611271024,CUDA-synchronized codec only
Owlii,exercise,Original_Unicorn,Original Unicorn,R07,NVIDIA GeForce RTX 3090,24576,4.805848589166999,1.4857492446899414,6.29159783385694,CUDA-synchronized codec only
Owlii,exercise,Original_Unicorn,Original Unicorn,R08,NVIDIA GeForce RTX 3090,24576,4.979332512244582,1.4464770164340734,6.425809528678656,CUDA-synchronized codec only
Owlii,exercise,Original_Unicorn,Original Unicorn,R09,NVIDIA GeForce RTX 3090,24576,4.4760179879376665,1.4033409010153264,5.879358888952993,CUDA-synchronized codec only
Owlii,model,Original_Unicorn,Original Unicorn,R01,NVIDIA GeForce RTX 3090,24576,5.029079764033668,1.9389637069543824,6.96804347098805,CUDA-synchronized codec only
Owlii,model,Original_Unicorn,Original Unicorn,R02,NVIDIA GeForce RTX 3090,24576,5.314441289752722,1.80096772685647,7.115409016609192,CUDA-synchronized codec only
Owlii,model,Original_Unicorn,Original Unicorn,R03,NVIDIA GeForce RTX 3090,24576,5.160865969955921,1.6629029549658298,6.823768924921751,CUDA-synchronized codec only
Owlii,model,Original_Unicorn,Original Unicorn,R04,NVIDIA GeForce RTX 3090,24576,5.079759031534195,1.7176006250083447,6.79735965654254,CUDA-synchronized codec only
Owlii,model,Original_Unicorn,Original Unicorn,R05,NVIDIA GeForce RTX 3090,24576,5.475587889552116,2.9038239419460297,8.379411831498146,CUDA-synchronized codec only
Owlii,model,Original_Unicorn,Original Unicorn,R06,NVIDIA GeForce RTX 3090,24576,4.463192382827401,1.58551281131804,6.048705194145441,CUDA-synchronized codec only
Owlii,model,Original_Unicorn,Original Unicorn,R07,NVIDIA GeForce RTX 3090,24576,4.49268938973546,1.571681508794427,6.064370898529887,CUDA-synchronized codec only
Owlii,model,Original_Unicorn,Original Unicorn,R08,NVIDIA GeForce RTX 3090,24576,4.423439934849739,1.4850209541618824,5.9084608890116215,CUDA-synchronized codec only
Owlii,model,Original_Unicorn,Original Unicorn,R09,NVIDIA GeForce RTX 3090,24576,3.8218583409907296,1.467074902029708,5.288933243020438,CUDA-synchronized codec only
8iVFB,longdress,Ours,Ours Base,16k,NVIDIA GeForce RTX 3090,24576,1.6988451071083546,1.4350559934973717,3.1339011006057262,CUDA-synchronized codec only
8iVFB,longdress,Ours,Ours Full,16k,NVIDIA GeForce RTX 3090,24576,3.181347532197833,2.7543231695890427,5.935670701786876,CUDA-synchronized codec only
8iVFB,longdress,Ours,Ours Base,1k,NVIDIA GeForce RTX 3090,24576,3.3146808072924614,1.368061825633049,4.68274263292551,CUDA-synchronized codec only
8iVFB,longdress,Ours,Ours Full,1k,NVIDIA GeForce RTX 3090,24576,4.661109589040279,2.5105150565505028,7.171624645590782,CUDA-synchronized codec only
8iVFB,longdress,Ours,Ours Base,2k,NVIDIA GeForce RTX 3090,24576,3.44303185865283,1.4437164850533009,4.886748343706131,CUDA-synchronized codec only
8iVFB,longdress,Ours,Ours Full,2k,NVIDIA GeForce RTX 3090,24576,4.820220548659563,2.6056815460324287,7.425902094691992,CUDA-synchronized codec only
8iVFB,longdress,Ours,Ours Base,32k,NVIDIA GeForce RTX 3090,24576,6.9227489195764065,1.5497494172304869,8.472498336806893,CUDA-synchronized codec only
8iVFB,longdress,Ours,Ours Full,32k,NVIDIA GeForce RTX 3090,24576,8.72503144852817,3.201141372323036,11.926172820851207,CUDA-synchronized codec only
8iVFB,longdress,Ours,Ours Base,4k,NVIDIA GeForce RTX 3090,24576,2.491871066042222,1.4461920040193945,3.9380630700616166,CUDA-synchronized codec only
8iVFB,longdress,Ours,Ours Full,4k,NVIDIA GeForce RTX 3090,24576,3.820130988024175,2.5566487290197983,6.3767797170439735,CUDA-synchronized codec only
8iVFB,longdress,Ours,Ours Base,512,NVIDIA GeForce RTX 3090,24576,1.6151219494640827,1.3505897521972656,2.9657117016613483,CUDA-synchronized codec only
8iVFB,longdress,Ours,Ours Full,512,NVIDIA GeForce RTX 3090,24576,2.881524406373501,2.426971711218357,5.308496117591858,CUDA-synchronized codec only
8iVFB,longdress,Ours,Ours Base,8k,NVIDIA GeForce RTX 3090,24576,3.3143864795565605,1.392652003094554,4.7070384826511145,CUDA-synchronized codec only
8iVFB,longdress,Ours,Ours Full,8k,NVIDIA GeForce RTX 3090,24576,4.716449324041605,2.578989002853632,7.295438326895237,CUDA-synchronized codec only
8iVFB,loot,Ours,Ours Base,16k,NVIDIA GeForce RTX 3090,24576,1.8566957153379917,1.298622753471136,3.155318468809128,CUDA-synchronized codec only
8iVFB,loot,Ours,Ours Full,16k,NVIDIA GeForce RTX 3090,24576,3.0588821321725845,2.3288610577583313,5.387743189930916,CUDA-synchronized codec only
8iVFB,loot,Ours,Ours Base,1k,NVIDIA GeForce RTX 3090,24576,2.8196412287652493,1.2258223965764046,4.045463625341654,CUDA-synchronized codec only
8iVFB,loot,Ours,Ours Full,1k,NVIDIA GeForce RTX 3090,24576,3.9488795958459377,2.1515935137867928,6.1004731096327305,CUDA-synchronized codec only
8iVFB,loot,Ours,Ours Base,2k,NVIDIA GeForce RTX 3090,24576,3.409117526956834,1.2853567120619118,4.694474239018746,CUDA-synchronized codec only
8iVFB,loot,Ours,Ours Full,2k,NVIDIA GeForce RTX 3090,24576,4.553959523909725,2.226226129103452,6.780185653013177,CUDA-synchronized codec only
8iVFB,loot,Ours,Ours Base,32k,NVIDIA GeForce RTX 3090,24576,3.294282477349043,1.6395824179053307,4.9338648952543736,CUDA-synchronized codec only
8iVFB,loot,Ours,Ours Full,32k,NVIDIA GeForce RTX 3090,24576,4.902447704225779,3.0535193011164665,7.955967005342245,CUDA-synchronized codec only
8iVFB,loot,Ours,Ours Base,4k,NVIDIA GeForce RTX 3090,24576,1.5851928479969501,1.3012039195746183,2.8863967675715685,CUDA-synchronized codec only
8iVFB,loot,Ours,Ours Full,4k,NVIDIA GeForce RTX 3090,24576,2.692382860928774,2.2123631592839956,4.9047460202127695,CUDA-synchronized codec only
8iVFB,loot,Ours,Ours Base,512,NVIDIA GeForce RTX 3090,24576,2.3755854591727257,1.22083393111825,3.5964193902909756,CUDA-synchronized codec only
8iVFB,loot,Ours,Ours Full,512,NVIDIA GeForce RTX 3090,24576,3.46308334171772,2.0871065258979797,5.5501898676157,CUDA-synchronized codec only
8iVFB,loot,Ours,Ours Base,8k,NVIDIA GeForce RTX 3090,24576,3.401483366265893,1.2530296463519335,4.6545130126178265,CUDA-synchronized codec only
8iVFB,loot,Ours,Ours Full,8k,NVIDIA GeForce RTX 3090,24576,4.581871442496777,2.2545799277722836,6.83645137026906,CUDA-synchronized codec only
8iVFB,redandblack,Ours,Ours Base,16k,NVIDIA GeForce RTX 3090,24576,3.572793446481228,2.7194409482181072,6.292234394699335,CUDA-synchronized codec only
8iVFB,redandblack,Ours,Ours Full,16k,NVIDIA GeForce RTX 3090,24576,5.349486663937569,4.281647119671106,9.631133783608675,CUDA-synchronized codec only
8iVFB,redandblack,Ours,Ours Base,1k,NVIDIA GeForce RTX 3090,24576,2.391752702067606,1.2131775978486985,3.6049302999163046,CUDA-synchronized codec only
8iVFB,redandblack,Ours,Ours Full,1k,NVIDIA GeForce RTX 3090,24576,3.5218985261162743,2.1215526818996295,5.643451208015904,CUDA-synchronized codec only
8iVFB,redandblack,Ours,Ours Base,2k,NVIDIA GeForce RTX 3090,24576,2.3203153368085623,1.2680161204189062,3.5883314572274685,CUDA-synchronized codec only
8iVFB,redandblack,Ours,Ours Full,2k,NVIDIA GeForce RTX 3090,24576,3.48080974817276,2.2311240807175636,5.711933828890324,CUDA-synchronized codec only
8iVFB,redandblack,Ours,Ours Base,32k,NVIDIA GeForce RTX 3090,24576,3.9830134958028793,1.3339248709380627,5.316938366740942,CUDA-synchronized codec only
8iVFB,redandblack,Ours,Ours Full,32k,NVIDIA GeForce RTX 3090,24576,5.4097134582698345,2.5790294148027897,7.988742873072624,CUDA-synchronized codec only
8iVFB,redandblack,Ours,Ours Base,4k,NVIDIA GeForce RTX 3090,24576,3.1479461025446653,1.281690428033471,4.4296365305781364,CUDA-synchronized codec only
8iVFB,redandblack,Ours,Ours Full,4k,NVIDIA GeForce RTX 3090,24576,4.283295825123787,2.259160313755274,6.542456138879061,CUDA-synchronized codec only
8iVFB,redandblack,Ours,Ours Base,512,NVIDIA GeForce RTX 3090,24576,3.8328111097216606,1.2085485234856606,5.041359633207321,CUDA-synchronized codec only
8iVFB,redandblack,Ours,Ours Full,512,NVIDIA GeForce RTX 3090,24576,4.91290083155036,2.095738999545574,7.008639831095934,CUDA-synchronized codec only
8iVFB,redandblack,Ours,Ours Base,8k,NVIDIA GeForce RTX 3090,24576,4.142797823995352,2.271960712969303,6.414758536964655,CUDA-synchronized codec only
8iVFB,redandblack,Ours,Ours Full,8k,NVIDIA GeForce RTX 3090,24576,5.7397444024682045,3.6940033845603466,9.433747787028551,CUDA-synchronized codec only
8iVFB,soldier,Ours,Ours Base,16k,NVIDIA GeForce RTX 3090,24576,1.8297534957528114,1.7296033538877964,3.559356849640608,CUDA-synchronized codec only
8iVFB,soldier,Ours,Ours Full,16k,NVIDIA GeForce RTX 3090,24576,3.4873541742563248,3.129843395203352,6.617197569459677,CUDA-synchronized codec only
8iVFB,soldier,Ours,Ours Base,1k,NVIDIA GeForce RTX 3090,24576,2.488547284156084,1.6859298888593912,4.174477173015475,CUDA-synchronized codec only
8iVFB,soldier,Ours,Ours Full,1k,NVIDIA GeForce RTX 3090,24576,4.077011788263917,2.97678972966969,7.053801517933607,CUDA-synchronized codec only
8iVFB,soldier,Ours,Ours Base,2k,NVIDIA GeForce RTX 3090,24576,2.3315175343304873,1.7349506057798862,4.0664681401103735,CUDA-synchronized codec only
8iVFB,soldier,Ours,Ours Full,2k,NVIDIA GeForce RTX 3090,24576,3.945702537894249,3.1038019824773073,7.049504520371556,CUDA-synchronized codec only
8iVFB,soldier,Ours,Ours Base,32k,NVIDIA GeForce RTX 3090,24576,1.907903902232647,1.806692287325859,3.714596189558506,CUDA-synchronized codec only
8iVFB,soldier,Ours,Ours Full,32k,NVIDIA GeForce RTX 3090,24576,3.7786451801657677,3.525768030434847,7.3044132106006145,CUDA-synchronized codec only
8iVFB,soldier,Ours,Ours Base,4k,NVIDIA GeForce RTX 3090,24576,2.622685916721821,2.1799283511936665,4.802614267915487,CUDA-synchronized codec only
8iVFB,soldier,Ours,Ours Full,4k,NVIDIA GeForce RTX 3090,24576,4.4079489558935165,3.6462405920028687,8.054189547896385,CUDA-synchronized codec only
8iVFB,soldier,Ours,Ours Base,512,NVIDIA GeForce RTX 3090,24576,2.6669616770232096,1.6632415348431095,4.330203211866319,CUDA-synchronized codec only
8iVFB,soldier,Ours,Ours Full,512,NVIDIA GeForce RTX 3090,24576,4.215579609037377,2.90176418190822,7.117343790945597,CUDA-synchronized codec only
8iVFB,soldier,Ours,Ours Base,8k,NVIDIA GeForce RTX 3090,24576,2.7941442541778088,1.7480839639902115,4.54222821816802,CUDA-synchronized codec only
8iVFB,soldier,Ours,Ours Full,8k,NVIDIA GeForce RTX 3090,24576,4.479565300047398,3.2538002394139767,7.733365539461374,CUDA-synchronized codec only
Owlii,basketball_player,Ours,Ours Base,16k,NVIDIA GeForce RTX 3090,24576,1.7588584572076797,1.3225274831056595,3.0813859403133392,CUDA-synchronized codec only
Owlii,basketball_player,Ours,Ours Full,16k,NVIDIA GeForce RTX 3090,24576,3.402772016823292,2.4175357297062874,5.820307746529579,CUDA-synchronized codec only
Owlii,basketball_player,Ours,Ours Base,1k,NVIDIA GeForce RTX 3090,24576,2.3920524921268225,1.2579399924725294,3.649992484599352,CUDA-synchronized codec only
Owlii,basketball_player,Ours,Ours Full,1k,NVIDIA GeForce RTX 3090,24576,3.6202693954110146,2.277511078864336,5.897780474275351,CUDA-synchronized codec only
Owlii,basketball_player,Ours,Ours Base,2k,NVIDIA GeForce RTX 3090,24576,1.5642411187291145,1.3006166722625494,2.864857790991664,CUDA-synchronized codec only
Owlii,basketball_player,Ours,Ours Full,2k,NVIDIA GeForce RTX 3090,24576,2.8155845757573843,2.357673006132245,5.173257581889629,CUDA-synchronized codec only
Owlii,basketball_player,Ours,Ours Base,32k,NVIDIA GeForce RTX 3090,24576,1.6496458686888218,1.3739190809428692,3.023564949631691,CUDA-synchronized codec only
Owlii,basketball_player,Ours,Ours Full,32k,NVIDIA GeForce RTX 3090,24576,3.2975869216024876,2.718047883361578,6.0156348049640656,CUDA-synchronized codec only
Owlii,basketball_player,Ours,Ours Base,4k,NVIDIA GeForce RTX 3090,24576,2.3139745332300663,1.7435285709798336,4.0575031042099,CUDA-synchronized codec only
Owlii,basketball_player,Ours,Ours Full,4k,NVIDIA GeForce RTX 3090,24576,3.688320305198431,2.8792436867952347,6.567563991993666,CUDA-synchronized codec only
Owlii,basketball_player,Ours,Ours Base,512,NVIDIA GeForce RTX 3090,24576,2.4383969439659268,1.253922939999029,3.692319883964956,CUDA-synchronized codec only
Owlii,basketball_player,Ours,Ours Full,512,NVIDIA GeForce RTX 3090,24576,3.667448994005099,2.221766136935912,5.889215130941011,CUDA-synchronized codec only
Owlii,basketball_player,Ours,Ours Base,8k,NVIDIA GeForce RTX 3090,24576,3.914356868714094,1.7411592043936253,5.655516073107719,CUDA-synchronized codec only
Owlii,basketball_player,Ours,Ours Full,8k,NVIDIA GeForce RTX 3090,24576,5.339560974389315,2.971774108707905,8.31133508309722,CUDA-synchronized codec only
Owlii,dancer,Ours,Ours Base,16k,NVIDIA GeForce RTX 3090,24576,1.5620050318539143,1.1765708923339844,2.7385759241878986,CUDA-synchronized codec only
Owlii,dancer,Ours,Ours Full,16k,NVIDIA GeForce RTX 3090,24576,2.7565640322864056,2.1239702850580215,4.880534317344427,CUDA-synchronized codec only
Owlii,dancer,Ours,Ours Base,1k,NVIDIA GeForce RTX 3090,24576,1.8085762336850166,1.1134584546089172,2.922034688293934,CUDA-synchronized codec only
Owlii,dancer,Ours,Ours Full,1k,NVIDIA GeForce RTX 3090,24576,2.8936005905270576,2.0305482875555754,4.924148878082633,CUDA-synchronized codec only
Owlii,dancer,Ours,Ours Base,2k,NVIDIA GeForce RTX 3090,24576,1.7366687208414078,1.1561121493577957,2.8927808701992035,CUDA-synchronized codec only
Owlii,dancer,Ours,Ours Full,2k,NVIDIA GeForce RTX 3090,24576,2.877036241814494,2.149649964645505,5.026686206459999,CUDA-synchronized codec only
Owlii,dancer,Ours,Ours Base,32k,NVIDIA GeForce RTX 3090,24576,1.7990400157868862,1.2238607667386532,3.0229007825255394,CUDA-synchronized codec only
Owlii,dancer,Ours,Ours Full,32k,NVIDIA GeForce RTX 3090,24576,3.150643974542618,2.3392608761787415,5.489904850721359,CUDA-synchronized codec only
Owlii,dancer,Ours,Ours Base,4k,NVIDIA GeForce RTX 3090,24576,2.398194395005703,1.674202848225832,4.072397243231535,CUDA-synchronized codec only
Owlii,dancer,Ours,Ours Full,4k,NVIDIA GeForce RTX 3090,24576,3.647697065025568,2.688858225941658,6.336555290967226,CUDA-synchronized codec only
Owlii,dancer,Ours,Ours Base,512,NVIDIA GeForce RTX 3090,24576,2.0617764946073294,1.100268505513668,3.1620450001209974,CUDA-synchronized codec only
Owlii,dancer,Ours,Ours Full,512,NVIDIA GeForce RTX 3090,24576,3.112285505980253,1.990099884569645,5.102385390549898,CUDA-synchronized codec only
Owlii,dancer,Ours,Ours Base,8k,NVIDIA GeForce RTX 3090,24576,4.9550755470991135,3.155886072665453,8.110961619764566,CUDA-synchronized codec only
Owlii,dancer,Ours,Ours Full,8k,NVIDIA GeForce RTX 3090,24576,6.786413408815861,4.6127276830375195,11.39914109185338,CUDA-synchronized codec only
Owlii,exercise,Ours,Ours Base,16k,NVIDIA GeForce RTX 3090,24576,2.0525579750537872,1.0762786082923412,3.1288365833461285,CUDA-synchronized codec only
Owlii,exercise,Ours,Ours Full,16k,NVIDIA GeForce RTX 3090,24576,3.134159903973341,1.9960769601166248,5.130236864089966,CUDA-synchronized codec only
Owlii,exercise,Ours,Ours Base,1k,NVIDIA GeForce RTX 3090,24576,1.840810015797615,1.025789326056838,2.866599341854453,CUDA-synchronized codec only
Owlii,exercise,Ours,Ours Full,1k,NVIDIA GeForce RTX 3090,24576,2.8009926304221153,1.8042978160083294,4.605290446430445,CUDA-synchronized codec only
Owlii,exercise,Ours,Ours Base,2k,NVIDIA GeForce RTX 3090,24576,2.0647265762090683,1.0502382386475801,3.1149648148566484,CUDA-synchronized codec only
Owlii,exercise,Ours,Ours Full,2k,NVIDIA GeForce RTX 3090,24576,3.044135181233287,1.860701646655798,4.904836827889085,CUDA-synchronized codec only
Owlii,exercise,Ours,Ours Base,32k,NVIDIA GeForce RTX 3090,24576,2.36842443048954,1.107177298516035,3.475601729005575,CUDA-synchronized codec only
Owlii,exercise,Ours,Ours Full,32k,NVIDIA GeForce RTX 3090,24576,3.609935022890568,2.1920174658298492,5.801952488720417,CUDA-synchronized codec only
Owlii,exercise,Ours,Ours Base,4k,NVIDIA GeForce RTX 3090,24576,2.9218633994460106,1.5522955767810345,4.474158976227045,CUDA-synchronized codec only
Owlii,exercise,Ours,Ours Full,4k,NVIDIA GeForce RTX 3090,24576,4.035284366458654,2.495341595262289,6.5306259617209435,CUDA-synchronized codec only
Owlii,exercise,Ours,Ours Base,512,NVIDIA GeForce RTX 3090,24576,1.8003730401396751,1.0143085028976202,2.8146815430372953,CUDA-synchronized codec only
Owlii,exercise,Ours,Ours Full,512,NVIDIA GeForce RTX 3090,24576,2.7344512026757,1.7706228755414486,4.505074078217149,CUDA-synchronized codec only
Owlii,exercise,Ours,Ours Base,8k,NVIDIA GeForce RTX 3090,24576,1.4183866754174232,1.0363881438970566,2.45477481931448,CUDA-synchronized codec only
Owlii,exercise,Ours,Ours Full,8k,NVIDIA GeForce RTX 3090,24576,2.4257419258356094,1.91829239949584,4.3440343253314495,CUDA-synchronized codec only
Owlii,model,Ours,Ours Base,16k,NVIDIA GeForce RTX 3090,24576,2.3558048382401466,1.0842626355588436,3.4400674737989902,CUDA-synchronized codec only
Owlii,model,Ours,Ours Full,16k,NVIDIA GeForce RTX 3090,24576,3.433476734906435,2.014202479273081,5.447679214179516,CUDA-synchronized codec only
Owlii,model,Ours,Ours Base,1k,NVIDIA GeForce RTX 3090,24576,1.7081958539783955,1.040809640660882,2.7490054946392775,CUDA-synchronized codec only
Owlii,model,Ours,Ours Full,1k,NVIDIA GeForce RTX 3090,24576,2.7011429890990257,1.88403882086277,4.585181809961796,CUDA-synchronized codec only
Owlii,model,Ours,Ours Base,2k,NVIDIA GeForce RTX 3090,24576,2.748772658407688,1.0797284413129091,3.8285010997205973,CUDA-synchronized codec only
Owlii,model,Ours,Ours Full,2k,NVIDIA GeForce RTX 3090,24576,3.7635815646499395,1.964311245828867,5.7278928104788065,CUDA-synchronized codec only
Owlii,model,Ours,Ours Base,32k,NVIDIA GeForce RTX 3090,24576,2.3086454682052135,1.1247109398245811,3.4333564080297947,CUDA-synchronized codec only
Owlii,model,Ours,Ours Full,32k,NVIDIA GeForce RTX 3090,24576,3.6071877479553223,2.2937378138303757,5.900925561785698,CUDA-synchronized codec only
Owlii,model,Ours,Ours Base,4k,NVIDIA GeForce RTX 3090,24576,5.015117838978767,3.086265716701746,8.101383555680513,CUDA-synchronized codec only
Owlii,model,Ours,Ours Full,4k,NVIDIA GeForce RTX 3090,24576,6.735624220222235,4.574339430779219,11.309963651001453,CUDA-synchronized codec only
Owlii,model,Ours,Ours Base,512,NVIDIA GeForce RTX 3090,24576,3.4923254381865263,1.042131019756198,4.534456457942724,CUDA-synchronized codec only
Owlii,model,Ours,Ours Full,512,NVIDIA GeForce RTX 3090,24576,4.454192267730832,1.8160911705344915,6.270283438265324,CUDA-synchronized codec only
Owlii,model,Ours,Ours Base,8k,NVIDIA GeForce RTX 3090,24576,1.4142767079174519,1.0350202545523643,2.449296962469816,CUDA-synchronized codec only
Owlii,model,Ours,Ours Full,8k,NVIDIA GeForce RTX 3090,24576,2.454393733292818,1.9466465301811695,4.401040263473988,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,R01,NVIDIA A100-SXM4-40GB,40960,14.225426957942545,14.195627011940815,28.42105396988336,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,R02,NVIDIA A100-SXM4-40GB,40960,12.307596477912739,12.228082844871096,24.535679322783835,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,R03,NVIDIA A100-SXM4-40GB,40960,11.03544269001577,10.772278657066636,21.807721347082406,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,R04,NVIDIA A100-SXM4-40GB,40960,11.43314127100166,11.159735969966277,22.592877240967937,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,R05,NVIDIA A100-SXM4-40GB,40960,10.741883253096603,10.46302666212432,21.204909915220924,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,R06,NVIDIA A100-SXM4-40GB,40960,9.78308256296441,9.416173196979798,19.199255759944208,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,R07,NVIDIA A100-SXM4-40GB,40960,9.662695816950873,9.29750586906448,18.960201686015353,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,R08,NVIDIA A100-SXM4-40GB,40960,9.445128438062966,8.970667610061355,18.41579604812432,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,R09,NVIDIA A100-SXM4-40GB,40960,9.305000916006975,8.65498558699619,17.959986503003165,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Ours,Ours Base,16k,NVIDIA A100-SXM4-40GB,40960,8.223223011009395,8.036835606093518,16.260058617102914,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Ours,Ours Full,16k,NVIDIA A100-SXM4-40GB,40960,11.984223102102987,12.6114610490622,24.595684151165187,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Ours,Ours Base,1k,NVIDIA A100-SXM4-40GB,40960,6.759549821028486,6.412369363126345,13.17191918415483,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Ours,Ours Full,1k,NVIDIA A100-SXM4-40GB,40960,9.672680237097666,9.727605162071995,19.40028539916966,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Ours,Ours Base,2k,NVIDIA A100-SXM4-40GB,40960,7.69915854698047,7.607743689091876,15.306902236072347,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Ours,Ours Full,2k,NVIDIA A100-SXM4-40GB,40960,10.853512490051799,11.221221058163792,22.07473354821559,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Ours,Ours Base,32k,NVIDIA A100-SXM4-40GB,40960,9.39575591206085,9.187975760898553,18.583731672959402,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Ours,Ours Full,32k,NVIDIA A100-SXM4-40GB,40960,15.132152553997003,15.370652313926257,30.50280486792326,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Ours,Ours Base,4k,NVIDIA A100-SXM4-40GB,40960,7.773605272057466,7.690711125964299,15.464316398021765,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Ours,Ours Full,4k,NVIDIA A100-SXM4-40GB,40960,10.829897891147994,11.106373806949705,21.9362716980977,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Ours,Ours Base,512,NVIDIA A100-SXM4-40GB,40960,6.545578485005535,6.21099742106162,12.756575906067155,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Ours,Ours Full,512,NVIDIA A100-SXM4-40GB,40960,9.171054610982537,9.185395244974643,18.35644985595718,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Ours,Ours Base,8k,NVIDIA A100-SXM4-40GB,40960,7.342428280040622,7.125819938024506,14.468248218065128,CUDA-synchronized codec only
CTC,Facade_00009_vox12,Ours,Ours Full,8k,NVIDIA A100-SXM4-40GB,40960,10.718915269128047,10.959810278960504,21.67872554808855,CUDA-synchronized codec only
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,R01,NVIDIA A100-SXM4-40GB,40960,40.110791487735696,39.64722484094091,79.7580163286766,CUDA-synchronized codec only
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,R02,NVIDIA A100-SXM4-40GB,40960,33.38800957694184,33.51338242623024,66.90139200317208,CUDA-synchronized codec only
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,R03,NVIDIA A100-SXM4-40GB,40960,29.042322058114223,28.677551295841113,57.719873353955336,CUDA-synchronized codec only
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,R04,NVIDIA A100-SXM4-40GB,40960,28.050275194225833,27.09646829101257,55.1467434852384,CUDA-synchronized codec only
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,R05,NVIDIA A100-SXM4-40GB,40960,26.2965252448339,25.1385712280171,51.435096472851,CUDA-synchronized codec only
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,R06,NVIDIA A100-SXM4-40GB,40960,24.221016261260957,22.486183373141102,46.70719963440206,CUDA-synchronized codec only
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,R07,NVIDIA A100-SXM4-40GB,40960,23.27357852086425,21.57154236698989,44.84512088785414,CUDA-synchronized codec only
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,R08,NVIDIA A100-SXM4-40GB,40960,22.4324133641785,20.425366476294585,42.857779840473086,CUDA-synchronized codec only
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,R09,NVIDIA A100-SXM4-40GB,40960,22.006549745914526,20.110710259061307,42.11726000497583,CUDA-synchronized codec only
CTC,House_without_roof_00057_vox12,Ours,Ours Base,16k,NVIDIA A100-SXM4-40GB,40960,18.405038864933886,18.658486802014522,37.06352566694841,CUDA-synchronized codec only
CTC,House_without_roof_00057_vox12,Ours,Ours Full,16k,NVIDIA A100-SXM4-40GB,40960,32.74572289502248,35.86984502815176,68.61556792317424,CUDA-synchronized codec only
CTC,House_without_roof_00057_vox12,Ours,Ours Base,1k,NVIDIA A100-SXM4-40GB,40960,14.5405315940734,14.697943346924148,29.23847494099755,CUDA-synchronized codec only
