sample,history,method,operating_point,endpoint,physical_bits_exact,physical_bits_delta,physical_bits_relative_delta_percent,reconstruction_sha_exact,Y_delta_db,U_delta_db,V_delta_db,YUV611_delta_db,max_metric_abs_delta_db,checkpoint_provenance_exact,chunk_provenance_exact
Shiva_00035_vox12,Shiva retained RTX3090,Ours,16k,Ours Full,False,8,0.0002199944121419316,False,0.0,9.999999999621423e-05,0.00019999999999953388,3.749999999769216e-05,0.00019999999999953388,True,True
Shiva_00035_vox12,Shiva retained RTX3090,Ours,1k,Ours Base,True,0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True
Shiva_00035_vox12,Shiva retained RTX3090,Ours,1k,Ours Full,True,0,0.0,True,0.0,0.0,0.0,0.0,0.0,True,True
Shiva_00035_vox12,Shiva retained RTX3090,Ours,2k,Ours Base,False,8,0.00035097694432452734,False,0.0,0.0,0.0,0.0,0.0,True,True
Shiva_00035_vox12,Shiva retained RTX3090,Ours,2k,Ours Full,False,8,0.00032767976511914436,False,0.0,0.0,0.0,0.0,0.0,True,True
Shiva_00035_vox12,Shiva retained RTX3090,Ours,4k,Ours Base,True,0,0.0,False,-0.00010000000000331966,0.0,-0.00019999999999953388,-0.00010000000000331966,0.00019999999999953388,True,True
Shiva_00035_vox12,Shiva retained RTX3090,Ours,4k,Ours Full,True,0,0.0,False,0.0,0.0,-0.00010000000000331966,-1.250000000396767e-05,0.00010000000000331966,True,True
Shiva_00035_vox12,Shiva retained RTX3090,Ours,512,Ours Base,False,-8,-0.0006866622720281257,False,-9.999999999976694e-05,-0.0002999999999957481,0.00019999999999953388,-8.749999999935199e-05,0.0002999999999957481,True,True
Shiva_00035_vox12,Shiva retained RTX3090,Ours,512,Ours Full,False,-8,-0.0006842659878748067,False,-0.00019999999999953388,-0.00039999999999906777,0.00030000000000285354,-0.00016250000000184173,0.00039999999999906777,True,True
Shiva_00035_vox12,Shiva retained RTX3090,Ours,8k,Ours Base,True,0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True
Shiva_00035_vox12,Shiva retained RTX3090,Ours,8k,Ours Full,True,0,0.0,True,0.0,0.0,0.0,0.0,0.0,True,True
Shiva_00035_vox12,Shiva retained V100,Original_Unicorn,R01,Original Unicorn,False,-8,-0.0001823928852183334,False,0.0,0.0,0.0,0.0,0.0,True,True
Shiva_00035_vox12,Shiva retained V100,Original_Unicorn,R02,Original Unicorn,False,16,0.0004492292349401514,False,0.0,9.999999999621423e-05,0.00019999999999953388,3.749999999058673e-05,0.00019999999999953388,True,True
Shiva_00035_vox12,Shiva retained V100,Original_Unicorn,R03,Original Unicorn,False,16,0.0005549374169328054,False,0.0,0.0,0.0,0.0,0.0,True,True
Shiva_00035_vox12,Shiva retained V100,Original_Unicorn,R04,Original Unicorn,True,0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True
Shiva_00035_vox12,Shiva retained V100,Original_Unicorn,R05,Original Unicorn,False,16,0.0007484217656017872,False,0.0,0.0,0.0,0.0,0.0,True,True
Shiva_00035_vox12,Shiva retained V100,Original_Unicorn,R06,Original Unicorn,False,8,0.0005848226817628894,False,-9.999999999976694e-05,0.0,0.00010000000000331966,-6.249999999852207e-05,0.00010000000000331966,True,True
Shiva_00035_vox12,Shiva retained V100,Original_Unicorn,R07,Original Unicorn,True,0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True
Shiva_00035_vox12,Shiva retained V100,Original_Unicorn,R08,Original Unicorn,True,0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True
Shiva_00035_vox12,Shiva retained V100,Original_Unicorn,R09,Original Unicorn,True,0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True
