lambda,base_8ivfb_mean_bpp,base_8ivfb_mean_delta_official,base_8ivfb_official_interp_count,full_8ivfb_mean_bpp,full_8ivfb_mean_delta_official,full_8ivfb_official_interp_count,base_owlii_mean_bpp,base_owlii_mean_delta_official,base_owlii_official_interp_count,full_owlii_mean_bpp,full_owlii_mean_delta_official,full_owlii_official_interp_count,base_rate_order_pass_count_of_8,base_pareto_violations,base_local_rd_positive_count,full_rate_order_pass_count_of_8,full_pareto_violations,full_local_rd_positive_count,enhancement_raw_positive_count_of_8,enhancement_rd_positive_count_of_8,enhancement_negative_raw_count_of_8,rwtt_status,correctness_status
256,0.06807018085192841,0.08881451021391751,4,0.06807947153170008,0.0814449943747313,4,0.04212522030170325,0.020295167319243745,2,0.04213672180054767,0.00581613340699505,2,8,0,0,8,0,0,0,0,8,PASS,PASS
512,0.09282435526847144,-0.020427407506870665,4,0.10567306806935536,0.07649033748474121,4,0.054547441180844716,-0.008579503189661608,4,0.0582550584150382,-0.006482448644009153,4,8,0,8,8,0,8,8,3,0,PASS,PASS
1K,0.11791699917991653,-0.13623616821150808,4,0.16066396794326437,0.02871474116982764,4,0.06875527378579917,-0.09966736220791894,4,0.08324634498848435,-0.05793174881735652,4,8,0,6,8,0,7,8,3,0,PASS,PASS
2K,0.17446433802611383,-0.07161035414215622,4,0.24578369279988468,0.10932741875191532,4,0.10376238382860961,-0.32581456790378205,4,0.13493627758478755,-0.20849727855653377,4,8,0,8,8,0,8,8,7,0,PASS,PASS
4K,0.321016833388983,0.058788123045454554,4,0.37099234810868686,0.06633682198122237,4,0.18329956005258286,-0.3653143914352679,4,0.2003942711538861,-0.23750081159061232,4,0,0,0,8,0,8,7,5,1,PASS,PASS
8K,0.269079355670161,0.2336599727812647,4,0.5179612730387523,-0.10910719556095572,4,0.15741297449944058,-0.2554616136654264,4,0.2808845082501418,-0.1790200031595468,4,0,0,0,8,0,7,8,3,0,PASS,PASS
16K,0.3539823112875926,0.22338189574239742,4,0.747376630590455,-0.31584789903117105,4,0.2103517697298755,-0.22285656139449017,4,0.4219730888209393,0.034913045055640524,4,8,0,8,8,0,8,8,4,0,PASS,PASS
32K,0.4534471990853738,0.11287352593585176,4,1.0444574977914516,,0,0.27748048313883344,-0.28836612244178284,4,0.6132815412908986,-0.44609763411199843,4,8,0,0,8,0,0,8,0,0,PASS,PASS
