lambda,candidate_name,base_checkpoint,enhancement_checkpoint,dataset,sequence,endpoint,physical_bpp,YUV611,correctness_pass,provenance,point_order,official_interp_YUV611,official_bracket,delta_to_official_curve,lower_neighbor,lower_neighbor_bpp,lower_neighbor_YUV611,upper_neighbor,upper_neighbor_bpp,upper_neighbor_YUV611,rate_between_neighbors,quality_between_neighbors,local_neighbor_RD_residual,dominated_by_lower_neighbor,dominated_by_upper_neighbor,dominated_by_any_selected_point,enhancement_bpp,full_minus_base_YUV611,enhancement_RD_gain,rwtt_available
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,basketball_player,Full,0.0368341796269107,35.827925,True,RETAINED_HARD_EVIDENCE,0,35.82413067291956,R09_to_R08,0.003794327080441917,,,,512,0.0496749001842462,36.942400000000006,,,,False,False,False,1.0047512173198825e-05,-0.008512500000001921,-0.009357208701985087,True
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,basketball_player,Full,0.0496749001842462,36.942400000000006,True,RETAINED_HARD_EVIDENCE,1,36.90366839406127,R09_to_R08,0.038731605938735925,256,0.0368341796269107,35.827925,1K,0.0683934153628973,38.01715,True,True,0.2237301575931312,False,False,False,0.001517174338151503,0.07371250000000629,-0.05383851400030437,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,basketball_player,Full,0.0683934153628973,38.01715,True,RETAINED_HARD_EVIDENCE,2,38.06219504481818,R08_to_R07,-0.04504504481818117,512,0.0496749001842462,36.942400000000006,2K,0.1091159822008321,39.7814875,True,True,0.18069658341784134,False,False,False,0.007405016471640297,0.3427875,-0.11262101300587801,True
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,Owlii,basketball_player,Full,0.1091159822008321,39.7814875,True,RETAINED_HARD_EVIDENCE,3,39.90957261651032,R06_to_R05,-0.12808511651032006,1K,0.0683934153628973,38.01715,4K,0.161162095257951,40.8840875,True,True,0.5058410538286537,False,False,False,0.016618585134454494,0.6890374999999977,0.04958655886209584,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,Owlii,basketball_player,Full,0.161162095257951,40.8840875,True,RETAINED_HARD_EVIDENCE,4,41.23834127143151,R05_to_R04,-0.3542537714315088,2K,0.1091159822008321,39.7814875,8K,0.2178702539634295,41.8044875,True,True,0.13446067997043798,False,False,False,0.010730743000965798,0.28996250000000146,0.09041195227050736,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,Owlii,basketball_player,Full,0.2178702539634295,41.8044875,True,RETAINED_HARD_EVIDENCE,5,42.082565902705454,R04_to_R03,-0.2780784027054537,4K,0.161162095257951,40.8840875,16K,0.3289856910867264,43.3815125,True,True,0.07651167454948649,False,False,False,0.0861574168850954,1.5516874999999999,0.04691549375385051,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,Owlii,basketball_player,Full,0.3289856910867264,43.3815125,True,RETAINED_HARD_EVIDENCE,6,43.32109089043947,R03_to_R02,0.06042160956052811,8K,0.2178702539634295,41.8044875,32K,0.4832752880182161,44.4493,True,True,0.4697381766988471,False,False,False,0.15184805147340488,2.1069125,0.3212465616005602,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,Owlii,basketball_player,Full,0.4832752880182161,44.4493,True,RETAINED_HARD_EVIDENCE,7,44.8328612584978,R02_to_R01,-0.38356125849779943,16K,0.3289856910867264,43.3815125,,,,,,,False,False,False,0.24651571116919133,2.4795000000000016,-0.08596691793709255,True
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,dancer,Base,0.0425845894381785,34.6164625,True,RETAINED_HARD_EVIDENCE,0,,OUTSIDE_R01_R09,,,,,512,0.0562704582942803,35.515175,,,,False,False,False,,,,True
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,dancer,Base,0.0562704582942803,35.515175,True,RETAINED_HARD_EVIDENCE,1,35.697440494317966,R09_to_R08,-0.18226549431796712,256,0.0425845894381785,34.6164625,1K,0.0726000586862819,36.2512875,True,True,0.15329684889901785,False,False,False,,,,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,dancer,Base,0.0726000586862819,36.2512875,True,RETAINED_HARD_EVIDENCE,2,36.67221889675488,R08_to_R07,-0.4209313967548809,512,0.0562704582942803,35.515175,2K,0.1119255652827909,37.606375,True,True,0.12253969082718896,False,False,False,,,,True
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,Owlii,dancer,Base,0.1119255652827909,37.606375,True,RETAINED_HARD_EVIDENCE,3,38.349755853468245,R07_to_R06,-0.7433808534682456,1K,0.0726000586862819,36.2512875,4K,0.1906905324213219,40.14075,True,True,0.05985107353083663,False,False,False,,,,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,Owlii,dancer,Base,0.1906905324213219,40.14075,True,RETAINED_HARD_EVIDENCE,4,40.42805578165101,R05_to_R04,-0.28730578165101406,2K,0.1119255652827909,37.606375,8K,0.1629997236616821,39.6802375,False,False,,False,False,False,,,,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,Owlii,dancer,Base,0.1629997236616821,39.6802375,True,RETAINED_HARD_EVIDENCE,5,39.82366613032343,R06_to_R05,-0.14342863032343445,4K,0.1906905324213219,40.14075,16K,0.2162048208216649,40.7278625,False,False,,False,False,False,,,,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,Owlii,dancer,Base,0.2162048208216649,40.7278625,True,RETAINED_HARD_EVIDENCE,6,40.82105812717242,R05_to_R04,-0.09319562717242036,8K,0.1629997236616821,39.6802375,32K,0.2855230058771747,41.49431249999999,True,True,0.2598723795572937,False,False,False,,,,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,Owlii,dancer,Base,0.2855230058771747,41.49431249999999,True,RETAINED_HARD_EVIDENCE,7,41.73135272711733,R04_to_R03,-0.2370402271173404,16K,0.2162048208216649,40.7278625,,,,,,,False,False,False,,,,True
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,dancer,Full,0.0425959848327298,34.601225,True,RETAINED_HARD_EVIDENCE,0,,OUTSIDE_R01_R09,,,,,512,0.0612388503186437,36.03355,,,,False,False,False,1.1395394551298732e-05,-0.015237499999997794,,True
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,dancer,Full,0.0612388503186437,36.03355,True,RETAINED_HARD_EVIDENCE,1,36.08901189073811,R09_to_R08,-0.055461890738108366,256,0.0425959848327298,34.601225,1K,0.0860694150459091,37.22025,True,True,0.3091992070773202,False,False,False,0.004968392024363402,0.5183749999999989,0.12680360357985876,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,dancer,Full,0.0860694150459091,37.22025,True,RETAINED_HARD_EVIDENCE,2,37.337066326666076,R08_to_R07,-0.11681632666607555,512,0.0612388503186437,36.03355,2K,0.1407787042866625,38.9577375,True,True,0.2738340168338169,False,False,False,0.013469356359627205,0.9689625000000035,0.30411507008880534,True
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,Owlii,dancer,Full,0.1407787042866625,38.9577375,True,RETAINED_HARD_EVIDENCE,3,39.2931897950616,R06_to_R05,-0.3354522950616001,1K,0.0860694150459091,37.22025,4K,0.2038294223389617,40.41055,True,True,0.2553285779949661,False,False,False,0.028853139003871597,1.3513625000000005,0.40792855840664544,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,Owlii,dancer,Full,0.2038294223389617,40.41055,True,RETAINED_HARD_EVIDENCE,4,40.63043706989853,R05_to_R04,-0.21988706989852602,2K,0.1407787042866625,38.9577375,8K,0.2804406599072984,41.4919375,True,True,0.308741954960837,False,False,False,0.013138889917639812,0.2698000000000036,0.06741871175248804,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,Owlii,dancer,Full,0.2804406599072984,41.4919375,True,RETAINED_HARD_EVIDENCE,5,41.67331233614135,R04_to_R03,-0.18137483614135164,4K,0.2038294223389617,40.41055,16K,0.4089009426840143,43.121325000000006,True,True,0.06868799316514185,False,False,False,0.11744093624561627,1.8117000000000019,-0.03794620581791719,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,Owlii,dancer,Full,0.4089009426840143,43.121325000000006,True,RETAINED_HARD_EVIDENCE,6,43.14486942725144,R03_to_R02,-0.023544427251437128,8K,0.2804406599072984,41.4919375,32K,0.5932214495511638,44.2306375,True,True,0.5045927936461752,False,False,False,0.19269612186234938,2.3934625000000054,0.06965119992098323,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,Owlii,dancer,Full,0.5932214495511638,44.2306375,True,RETAINED_HARD_EVIDENCE,7,44.761613418158475,R02_to_R01,-0.5309759181584752,16K,0.4089009426840143,43.121325000000006,,,,,,,False,False,False,0.30769844367398913,2.736325000000008,-0.2939356910411348,True
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,exercise,Base,0.0254210359072132,36.1327,True,RETAINED_HARD_EVIDENCE,0,36.10526120114394,R09_to_R08,0.027438798856060487,,,,512,0.0332209537538654,36.96495,,,,False,False,False,,,,True
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,exercise,Base,0.0332209537538654,36.96495,True,RETAINED_HARD_EVIDENCE,1,37.005864848055054,R08_to_R07,-0.040914848055052744,256,0.0254210359072132,36.1327,1K,0.0440589954040627,37.740925,True,True,0.1592137225548953,False,False,False,,,,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,exercise,Base,0.0440589954040627,37.740925,True,RETAINED_HARD_EVIDENCE,2,37.685951961604935,R08_to_R07,0.054973038395061735,512,0.0332209537538654,36.96495,2K,0.0694676308059553,38.8619875,True,True,0.2087458604173733,False,False,False,,,,True
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,Owlii,exercise,Base,0.0694676308059553,38.8619875,True,RETAINED_HARD_EVIDENCE,3,38.892482229300846,R07_to_R06,-0.030494729300848178,1K,0.0440589954040627,37.740925,4K,0.1218845667960969,39.948237500000005,True,True,0.4004150633365171,False,False,False,,,,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,Owlii,exercise,Base,0.1218845667960969,39.948237500000005,True,RETAINED_HARD_EVIDENCE,4,40.234098256925265,R05_to_R04,-0.2858607569252598,2K,0.0694676308059553,38.8619875,8K,0.107450378602928,39.6865,False,False,,False,False,False,,,,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,Owlii,exercise,Base,0.107450378602928,39.6865,True,RETAINED_HARD_EVIDENCE,5,39.97336674368805,R06_to_R05,-0.2868667436880443,4K,0.1218845667960969,39.948237500000005,16K,0.1518813891666085,40.4887375,False,False,,False,False,False,,,,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,Owlii,exercise,Base,0.1518813891666085,40.4887375,True,RETAINED_HARD_EVIDENCE,6,40.69460502998368,R05_to_R04,-0.20586752998367785,8K,0.107450378602928,39.6865,32K,0.2094073333488339,41.094437500000005,True,True,0.18868361256384958,False,False,False,,,,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,Owlii,exercise,Base,0.2094073333488339,41.094437500000005,True,RETAINED_HARD_EVIDENCE,7,41.19149552658289,R04_to_R03,-0.09705802658288576,16K,0.1518813891666085,40.4887375,,,,,,,False,False,False,,,,True
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,exercise,Full,0.0254334364125338,36.11455,True,RETAINED_HARD_EVIDENCE,0,36.10671206026645,R09_to_R08,0.007837939733548183,,,,512,0.0345602083284893,37.0369625,,,,False,False,False,1.2400505320600552e-05,-0.018149999999998556,-0.019600859122512304,True
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,exercise,Full,0.0345602083284893,37.0369625,True,RETAINED_HARD_EVIDENCE,1,37.0899030726127,R08_to_R07,-0.052940572612698134,256,0.0254334364125338,36.11455,1K,0.0494532152185201,37.99478750000001,True,True,0.2079804917398036,False,False,False,0.001339254574623902,0.07201249999999959,-0.01202572455764539,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,exercise,Full,0.0494532152185201,37.99478750000001,True,RETAINED_HARD_EVIDENCE,2,38.01585082657118,R07_to_R06,-0.02106332657117349,512,0.0345602083284893,37.0369625,2K,0.0826121664457826,39.28917500000001,True,True,0.2597844290322655,False,False,False,0.005394219814457403,0.253862500000011,-0.07603636496623523,True
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,Owlii,exercise,Full,0.0826121664457826,39.28917500000001,True,RETAINED_HARD_EVIDENCE,3,39.318174985164426,R06_to_R05,-0.028999985164418263,1K,0.0494532152185201,37.99478750000001,4K,0.1298208902012757,40.10765,True,True,0.4226401886283,False,False,False,0.013144535639827301,0.4271875000000094,0.0014947441364299152,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,Owlii,exercise,Full,0.1298208902012757,40.10765,True,RETAINED_HARD_EVIDENCE,4,40.35593551808996,R05_to_R04,-0.2482855180899577,2K,0.0826121664457826,39.28917500000001,8K,0.1957419764855417,40.966212500000005,True,True,0.11865237997368183,False,False,False,0.007936323405178816,0.15941249999999485,0.037575238835302116,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,Owlii,exercise,Full,0.1957419764855417,40.966212500000005,True,RETAINED_HARD_EVIDENCE,5,41.100563432315006,R04_to_R03,-0.13435093231500161,4K,0.1298208902012757,40.10765,16K,0.3289234036286979,42.3730875,True,True,0.10849612294470035,False,False,False,0.0882915978826137,1.2797125000000023,0.1525158113730427,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,Owlii,exercise,Full,0.3289234036286979,42.3730875,True,RETAINED_HARD_EVIDENCE,6,42.1382864443305,R03_to_R02,0.23480105566950016,8K,0.1957419764855417,40.966212500000005,32K,0.5113224363892829,43.365475,True,True,0.394337012259804,False,False,False,0.17704201446208936,1.8843499999999977,0.440668585653178,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,Owlii,exercise,Full,0.5113224363892829,43.365475,True,RETAINED_HARD_EVIDENCE,7,43.50581938262645,R02_to_R01,-0.140344382626445,16K,0.3289234036286979,42.3730875,,,,,,,False,False,False,0.301915103040449,2.2710374999999985,-0.04328635604355924,True
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,model,Base,0.0636711237466838,32.9836875,True,RETAINED_HARD_EVIDENCE,0,,OUTSIDE_R01_R09,,,,,512,0.0805406268291385,33.815225,,,,False,False,False,,,,True
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,model,Base,0.0805406268291385,33.815225,True,RETAINED_HARD_EVIDENCE,1,33.718932790324665,R09_to_R08,0.09629220967533314,256,0.0636711237466838,32.9836875,1K,0.0973736421615951,34.382875000000006,True,True,0.1311863406712348,False,False,False,,,,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,model,Base,0.0973736421615951,34.382875000000006,True,RETAINED_HARD_EVIDENCE,2,34.48316205865956,R08_to_R07,-0.10028705865955345,512,0.0805406268291385,33.815225,2K,0.1411589421593146,35.5084625,True,True,0.09745724317817661,False,False,False,,,,True
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,Owlii,model,Base,0.1411589421593146,35.5084625,True,RETAINED_HARD_EVIDENCE,3,35.86017351347362,R07_to_R06,-0.35171101347361855,1K,0.0973736421615951,34.382875000000006,4K,0.2701917887359275,38.1632375,True,True,0.16779279242029332,False,False,False,,,,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,Owlii,model,Base,0.2701917887359275,38.1632375,True,RETAINED_HARD_EVIDENCE,4,38.60666280346278,R06_to_R05,-0.44342530346278153,2K,0.1411589421593146,35.5084625,8K,0.2274889586548182,37.6266125,False,False,,False,False,False,,,,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,Owlii,model,Base,0.2274889586548182,37.6266125,True,RETAINED_HARD_EVIDENCE,5,37.89316968419092,R06_to_R05,-0.26655718419092267,4K,0.2701917887359275,38.1632375,16K,0.2961832293179071,38.5879125,False,False,,False,False,False,,,,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,Owlii,model,Base,0.2961832293179071,38.5879125,True,RETAINED_HARD_EVIDENCE,6,38.91945063638183,R05_to_R04,-0.3315381363818304,8K,0.2274889586548182,37.6266125,32K,0.3782320164803004,39.28283749999999,True,True,0.20655102468936803,False,False,False,,,,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,Owlii,model,Base,0.3782320164803004,39.28283749999999,True,RETAINED_HARD_EVIDENCE,7,39.80460939550619,R04_to_R03,-0.5217718955061983,16K,0.2961832293179071,38.5879125,,,,,,,False,False,False,,,,True
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,model,Full,0.0636832863300164,32.9810875,True,RETAINED_HARD_EVIDENCE,0,,OUTSIDE_R01_R09,,,,,512,0.0875462748287736,34.1052,,,,False,False,False,1.2162583332600563e-05,-0.002600000000001046,,True
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,model,Full,0.0875462748287736,34.1052,True,RETAINED_HARD_EVIDENCE,1,34.06145893716397,R09_to_R08,0.04374106283603396,256,0.0636832863300164,32.9810875,1K,0.1290693343266109,35.4317625,True,True,0.22972553013393338,False,False,False,0.007005647999635101,0.2899750000000054,-0.05255114683929918,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,Owlii,model,Full,0.1290693343266109,35.4317625,True,RETAINED_HARD_EVIDENCE,2,35.480564797213994,R08_to_R07,-0.04880229721399587,512,0.0875462748287736,34.1052,2K,0.207238257405873,37.2133625,True,True,0.24829131058834975,False,False,False,0.03169569216501582,1.0488874999999922,0.05148476144555758,True
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,Owlii,model,Full,0.207238257405873,37.2133625,True,RETAINED_HARD_EVIDENCE,3,37.5548142174898,R06_to_R05,-0.34145171748979664,1K,0.1290693343266109,35.4317625,4K,0.306764676817356,38.9079875,True,True,0.2523941084873442,False,False,False,0.06607931524655841,1.704900000000002,0.010259295983821914,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,Owlii,model,Full,0.306764676817356,38.9079875,True,RETAINED_HARD_EVIDENCE,4,39.035564386942454,R05_to_R04,-0.12757688694245672,2K,0.207238257405873,37.2133625,8K,0.4294851426442976,40.217175,True,True,0.3494601290154833,False,False,False,0.0365728880814285,0.7447499999999962,0.3158484165203248,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,Owlii,model,Full,0.4294851426442976,40.217175,True,RETAINED_HARD_EVIDENCE,5,40.33945084147638,R04_to_R03,-0.12227584147638026,4K,0.306764676817356,38.9079875,16K,0.6210823178843187,42.1495875,True,True,0.04355487220910703,False,False,False,0.2019961839894794,2.590562499999997,0.1442813427145424,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,Owlii,model,Full,0.6210823178843187,42.1495875,True,RETAINED_HARD_EVIDENCE,6,42.28161355775603,R03_to_R02,-0.13202605775602905,8K,0.4294851426442976,40.217175,32K,0.8653069912049319,43.44075,True,True,0.5152557736583603,False,False,False,0.3248990885664116,3.561675000000001,0.19951207862580134,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,Owlii,model,Full,0.8653069912049319,43.44075,True,RETAINED_HARD_EVIDENCE,7,44.170258977165275,R02_to_R01,-0.7295089771652741,16K,0.6210823178843187,42.1495875,,,,,,,False,False,False,0.4870749747246315,4.157912500000009,-0.20773708165907578,True
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,RWTT-28Lite,RWTT-28Lite,Base,0.0760676038224716,31.69540159363125,True,RETAINED_HARD_EVIDENCE,0,31.311928138787817,R09_to_R08,0.38347345484343265,,,,512,0.097286935526139,32.37312586552079,,,,False,False,False,,,,True
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,RWTT-28Lite,RWTT-28Lite,Base,0.097286935526139,32.37312586552079,True,RETAINED_HARD_EVIDENCE,1,31.90055222179119,R09_to_R08,0.4725736437296,256,0.0760676038224716,31.69540159363125,1K,0.1189640845361357,32.87721820800988,True,True,0.09312249719390309,False,False,False,,,,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,RWTT-28Lite,RWTT-28Lite,Base,0.1189640845361357,32.87721820800988,True,RETAINED_HARD_EVIDENCE,2,32.34288662536707,R08_to_R07,0.5343315826428068,512,0.097286935526139,32.37312586552079,2K,0.1733567363280357,33.81953509007588,True,True,0.09191789271278594,False,False,False,,,,True
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,RWTT-28Lite,RWTT-28Lite,Base,0.1733567363280357,33.81953509007588,True,NEW_REQUIRE_EXACT_HARD_EVALUATION,3,33.28458805880478,R07_to_R06,0.534947031271102,1K,0.1189640845361357,32.87721820800988,4K,0.3714087277010833,35.453526094555954,True,True,0.3872161042290827,False,False,False,,,,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,RWTT-28Lite,RWTT-28Lite,Base,0.3714087277010833,35.453526094555954,True,NEW_REQUIRE_EXACT_HARD_EVALUATION,4,35.413075648818506,R05_to_R04,0.040450445737448604,2K,0.1733567363280357,33.81953509007588,8K,0.3122474211620853,35.170070138761865,False,False,,False,False,False,,,,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,RWTT-28Lite,RWTT-28Lite,Base,0.3122474211620853,35.170070138761865,True,RETAINED_HARD_EVIDENCE,5,34.93908058849915,R06_to_R05,0.23098955026271284,4K,0.3714087277010833,35.453526094555954,16K,0.4042105358618809,35.84016633963227,False,False,,False,False,False,,,,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,RWTT-28Lite,RWTT-28Lite,Base,0.4042105358618809,35.84016633963227,True,RETAINED_HARD_EVIDENCE,6,35.667676777338066,R05_to_R04,0.17248956229420287,8K,0.3122474211620853,35.170070138761865,32K,0.511988087020324,36.36003109571651,True,True,0.12222321014769477,False,False,False,,,,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,RWTT-28Lite,RWTT-28Lite,Base,0.511988087020324,36.36003109571651,True,RETAINED_HARD_EVIDENCE,7,36.491203426710626,R04_to_R03,-0.13117233099411862,16K,0.4042105358618809,35.84016633963227,,,,,,,False,False,False,,,,True
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,RWTT-28Lite,RWTT-28Lite,Full,0.0761768665382586,31.685784387505915,True,RETAINED_HARD_EVIDENCE,0,31.31495908560484,R09_to_R08,0.37082530190107477,,,,512,0.130883401894135,32.84563342561255,,,,False,False,False,0.00010926271578699798,-0.009617206125334121,-0.012648152942357882,True
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,RWTT-28Lite,RWTT-28Lite,Full,0.130883401894135,32.84563342561255,True,RETAINED_HARD_EVIDENCE,1,32.57156279119506,R08_to_R07,0.2740706344174839,256,0.0761768665382586,31.685784387505915,1K,0.2047942616756818,33.84664154451525,True,True,0.24074312453542746,False,False,False,0.033596466367996,0.4725075600917563,-0.19850300931211606,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,RWTT-28Lite,RWTT-28Lite,Full,0.2047942616756818,33.84664154451525,True,RETAINED_HARD_EVIDENCE,2,33.72284333965969,R07_to_R06,0.12379820485556081,512,0.130883401894135,32.84563342561255,2K,0.3225422329661612,35.08978058727466,True,True,0.13558049802552574,False,False,False,0.08583017713954609,0.9694233365053719,-0.41053337778724597,True
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,RWTT-28Lite,RWTT-28Lite,Full,0.3225422329661612,35.08978058727466,True,NEW_REQUIRE_EXACT_HARD_EVALUATION,3,35.03378360963222,R05_to_R04,0.05599697764243672,1K,0.2047942616756818,33.84664154451525,4K,0.6065222802298281,37.64097756845497,True,True,0.13100508998890348,False,False,False,0.1491854966381255,1.270245497198779,-0.4789500536286653,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,RWTT-28Lite,RWTT-28Lite,Full,0.6065222802298281,37.64097756845497,True,NEW_REQUIRE_EXACT_HARD_EVALUATION,4,37.21256265833663,R04_to_R03,0.42841491011834165,2K,0.3225422329661612,35.08978058727466,8K,0.8355518833997776,39.08082228125683,True,True,0.3419281927075275,False,False,False,0.23511355252874483,2.187451473899017,0.38796446438089305,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,RWTT-28Lite,RWTT-28Lite,Full,0.8355518833997776,39.08082228125683,True,RETAINED_HARD_EVIDENCE,5,38.96021197921402,R04_to_R03,0.12061030204280598,4K,0.6065222802298281,37.64097756845497,16K,1.1620326032744646,41.047249842510325,True,True,0.03548343479728544,False,False,False,0.5233044622376923,3.910752142494964,-0.11037924821990686,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,RWTT-28Lite,RWTT-28Lite,Full,1.1620326032744646,41.047249842510325,True,RETAINED_HARD_EVIDENCE,6,41.03481721828707,R03_to_R02,0.012432624223258415,8K,0.8355518833997776,39.08082228125683,32K,2.0729406614614803,45.33783823231129,True,True,0.315535692678786,False,False,False,0.7578220674125837,5.207083502878056,-0.16005693807094445,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,RWTT-28Lite,RWTT-28Lite,Full,2.0729406614614803,45.33783823231129,True,RETAINED_HARD_EVIDENCE,7,,OUTSIDE_R01_R09,,16K,1.1620326032744646,41.047249842510325,,,,,,,False,False,False,1.5609525744411563,8.977807136594784,,True
