lambda,candidate_name,base_checkpoint,enhancement_checkpoint,dataset,sequence,endpoint,physical_bpp,YUV611,correctness_pass,provenance,point_order,official_interp_YUV611,official_bracket,delta_to_official_curve,lower_neighbor,lower_neighbor_bpp,lower_neighbor_YUV611,upper_neighbor,upper_neighbor_bpp,upper_neighbor_YUV611,rate_between_neighbors,quality_between_neighbors,local_neighbor_RD_residual,dominated_by_lower_neighbor,dominated_by_upper_neighbor,dominated_by_any_selected_point,enhancement_bpp,full_minus_base_YUV611,enhancement_RD_gain,rwtt_available
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,loot,Base,0.0427078611920003,37.0382875,True,RETAINED_HARD_EVIDENCE,1,36.90740468436874,R08_to_R07,0.13088281563126003,256,0.0283030231532935,35.8643875,1K,0.0598843887567755,38.0207875,True,True,0.1903265492293187,False,False,False,,,,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,loot,Base,0.0598843887567755,38.0207875,True,RETAINED_HARD_EVIDENCE,2,37.80162896919432,R07_to_R06,0.2191585308056787,512,0.0427078611920003,37.0382875,2K,0.1023041531880017,39.67685,True,True,0.2220274941656868,False,False,False,,,,True
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,8iVFB,loot,Base,0.1023041531880017,39.67685,True,RETAINED_HARD_EVIDENCE,3,39.47941829680033,R06_to_R05,0.19743170319966907,1K,0.0598843887567755,38.0207875,4K,0.164026400591095,41.1843125,True,True,0.3674760505103549,False,False,False,,,,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,8iVFB,loot,Base,0.164026400591095,41.1843125,True,RETAINED_HARD_EVIDENCE,4,41.21888073564593,R05_to_R04,-0.03456823564593492,2K,0.1023041531880017,39.67685,8K,0.134292828004992,40.5951875,False,False,,False,False,False,,,,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,8iVFB,loot,Base,0.134292828004992,40.5951875,True,RETAINED_HARD_EVIDENCE,5,40.4565906060606,R05_to_R04,0.13859689393940045,4K,0.164026400591095,41.1843125,16K,0.1837759302607151,41.9397875,False,False,,False,False,False,,,,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,8iVFB,loot,Base,0.1837759302607151,41.9397875,True,RETAINED_HARD_EVIDENCE,6,41.66850038617078,R04_to_R03,0.2712871138292243,8K,0.134292828004992,40.5951875,32K,0.2432232066907989,43.0396875,True,True,0.23415271317829678,False,False,False,,,,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,8iVFB,loot,Base,0.2432232066907989,43.0396875,True,RETAINED_HARD_EVIDENCE,7,42.50981690698754,R04_to_R03,0.5298705930124612,16K,0.1837759302607151,41.9397875,,,,,,,False,False,False,,,,True
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,loot,Full,0.0283129575243547,35.8560125,True,RETAINED_HARD_EVIDENCE,0,35.72648722385862,R09_to_R08,0.1295252761413792,,,,512,0.0429860235817133,37.0677125,,,,False,False,False,9.934371061202235e-06,-0.00837500000000091,-0.009554694403540509,True
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,loot,Full,0.0429860235817133,37.0677125,True,RETAINED_HARD_EVIDENCE,1,36.92993444388778,R08_to_R07,0.13777805611221794,256,0.0283129575243547,35.8560125,1K,0.0638084653259405,38.1459,True,True,0.26511062482507697,False,False,False,0.0002781623897130034,0.02942499999999626,0.006895240480957909,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,loot,Full,0.0638084653259405,38.1459,True,RETAINED_HARD_EVIDENCE,2,37.99983098341233,R07_to_R06,0.14606901658766702,512,0.0429860235817133,37.0677125,2K,0.1228285638003936,40.2466375,True,True,0.249143478598981,False,False,False,0.003924076569165005,0.12511250000000018,-0.07308951421801169,True
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,8iVFB,loot,Full,0.1228285638003936,40.2466375,True,RETAINED_HARD_EVIDENCE,3,40.162677204944174,R05_to_R04,0.08396029505582447,1K,0.0638084653259405,38.1459,4K,0.1658940623505963,41.169625,True,True,0.35259131228104224,False,False,False,0.020524410612391894,0.5697874999999968,-0.1134714081438446,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,8iVFB,loot,Full,0.1658940623505963,41.169625,True,RETAINED_HARD_EVIDENCE,4,41.26676264154705,R05_to_R04,-0.09713764154704307,2K,0.1228285638003936,40.2466375,8K,0.2338252916669253,42.28295,True,True,0.1329208493690217,False,False,False,0.0018676617595013156,-0.014687499999993747,-0.06256940590110815,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,8iVFB,loot,Full,0.2338252916669253,42.28295,True,RETAINED_HARD_EVIDENCE,5,42.37681466288783,R04_to_R03,-0.09386466288783168,4K,0.1658940623505963,41.169625,16K,0.3399442433424191,44.0129375,True,True,0.003589219463471238,False,False,False,0.0995324636619333,1.687762499999998,-0.23246155682723213,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,8iVFB,loot,Full,0.3399442433424191,44.0129375,True,RETAINED_HARD_EVIDENCE,6,44.235742909942445,R03_to_R02,-0.22280540994244546,8K,0.2338252916669253,42.28295,32K,0.4952184630286172,45.463437500000005,True,True,0.43879080362572154,False,False,False,0.15616831308170398,2.0731499999999983,-0.4940925237716698,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,8iVFB,loot,Full,0.4952184630286172,45.463437500000005,True,RETAINED_HARD_EVIDENCE,7,,OUTSIDE_R01_R09,,16K,0.3399442433424191,44.0129375,,,,,,,False,False,False,0.25199525633781833,2.4237500000000054,,True
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,redandblack,Base,0.0663489469981826,33.0499875,True,RETAINED_HARD_EVIDENCE,0,33.00050394736842,R09_to_R08,0.04948355263157822,,,,512,0.0896513222408607,33.8754625,,,,False,False,False,,,,True
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,redandblack,Base,0.0896513222408607,33.8754625,True,RETAINED_HARD_EVIDENCE,1,33.81481382711039,R08_to_R07,0.06064867288960585,256,0.0663489469981826,33.0499875,1K,0.1149597923163928,34.478449999999995,True,True,0.1407189753475251,False,False,False,,,,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,redandblack,Base,0.1149597923163928,34.478449999999995,True,RETAINED_HARD_EVIDENCE,2,34.49241672424003,R07_to_R06,-0.013966724240034978,512,0.0896513222408607,33.8754625,2K,0.1650065791991722,35.8020375,True,True,-0.04406312000840984,False,False,False,,,,True
