endpoint,num_models,num_h5,total_points,mean_model_bpp,mean_model_y_psnr,mean_model_yuv_psnr_611
Base,28,792,57904570,0.5239171052026925,32.38487968547884,35.78161784653425
Full,28,792,57904570,1.6646910327052442,41.64548112369008,43.051478354851376
