step,R_noise,D_F,D_Y,D_U,D_V,lambda_D,loss,gradient_norm,lr,points,step_seconds,peak_gpu_memory_gib,finite
1764,1.1389546394348145,3.908319558831863e-05,6.18693302385509e-05,3.0204619179130532e-05,2.5175633709295653e-05,1.280678153038025,2.419632911682129,18.866168975830078,1e-05,243223,3.640137255191803,5.12697172164917,True
1765,0.6555816531181335,3.0954350222600624e-05,4.649255788535811e-05,2.0355393644422293e-05,2.6015091862063855e-05,1.0143121480941772,1.669893741607666,18.093994140625,1e-05,251788,1.309061624109745,8.099102973937988,True
1766,1.340630292892456,2.948885776277166e-05,6.320585089270025e-05,1.2463524399208836e-05,1.2797197086911183e-05,0.9662908911705017,2.3069212436676025,22.44781494140625,1e-05,290728,1.6383356377482414,10.438671588897705,True
1767,1.3548858165740967,4.435934897628613e-05,6.005361501593143e-05,2.8599655706784688e-05,4.4424788939068094e-05,1.4535671472549438,2.80845308303833,32.041969299316406,1e-05,304331,1.6882015839219093,11.346083641052246,True
1768,0.7608173489570618,2.507941644580569e-05,4.935797551297583e-05,1.351996252196841e-05,1.2360315849946346e-05,0.8218023180961609,1.5826196670532227,14.790558815002441,1e-05,330001,1.7671651095151901,12.098913669586182,True
1769,0.6431026458740234,2.0692436009994708e-05,4.660865306505002e-05,6.9546367740258574e-06,8.514016371918842e-06,0.6780497431755066,1.3211524486541748,12.136261940002441,1e-05,290294,1.6007507592439651,12.098913669586182,True
1770,1.6067700386047363,4.017864921479486e-05,6.651803414570168e-05,3.134214784950018e-05,2.2675765649182722e-05,1.316573977470398,2.923344135284424,4.960582256317139,1e-05,286437,1.6424385756254196,12.098913669586182,True
1771,0.920120894908905,3.0215700462576933e-05,6.315694918157533e-05,1.3786077943223063e-05,1.3704076991416514e-05,0.990108072757721,1.910228967666626,12.87579345703125,1e-05,253082,1.4371487125754356,12.098913669586182,True
1772,1.0679185390472412,3.1943960493663326e-05,6.0647882492048666e-05,1.839232754718978e-05,1.679168053669855e-05,1.0467396974563599,2.1146583557128906,14.381050109863281,1e-05,226804,1.4111114591360092,12.098913669586182,True
1773,1.653731346130371,5.062819764134474e-05,5.9697322285501286e-05,4.131792957196012e-05,5.0869351980509236e-05,1.6589847803115845,3.312716007232666,12.612215995788574,1e-05,279848,1.6339741200208664,12.098913669586182,True
1774,0.8713179230690002,2.3175418391474523e-05,4.512606392381713e-05,1.2193673683214001e-05,1.220651847688714e-05,0.7594121098518372,1.6307300329208374,12.34755802154541,1e-05,286884,1.4058172106742859,12.098913669586182,True
1775,0.759376049041748,2.6304069251636975e-05,5.0525155529612675e-05,1.689468444965314e-05,1.1492366866150405e-05,0.8619317412376404,1.6213078498840332,15.663538932800293,1e-05,289442,1.6684893742203712,12.098913669586182,True
