dataset,sequence,point,checkpoint_profile,checkpoint_step,physical_base_bpp,base_yuv611,selection_role,payload,official_interp_yuv611,delta_to_official_curve
owlii,basketball_player,32K,32k8k,5525,0.2367595768490248,41.9698,existing_selected,G-PCC x_low + arithmetic r1-r4,42.267394340560706,-0.2975943405607069
owlii,dancer,256,2k128,3525,0.0425845894381785,34.6164625,existing_selected,G-PCC x_low + arithmetic r1-r4,,
owlii,dancer,512,2k128,3525,0.0562704582942803,35.515175,existing_selected,G-PCC x_low + arithmetic r1-r4,35.697440494317966,-0.18226549431796712
owlii,dancer,1K,2k128,3525,0.0726000586862819,36.2512875,existing_selected,G-PCC x_low + arithmetic r1-r4,36.67221889675488,-0.4209313967548809
owlii,dancer,2K,8k256,1500,0.1160506981103587,37.62553750000001,provisional_rescue_H-PATH,G-PCC x_low + arithmetic r1-r4,38.509752076708914,-0.8842145767089065
owlii,dancer,4K,8k256,250,0.1439808101555756,37.96612499999999,provisional_rescue_H-PATH,G-PCC x_low + arithmetic r1-r4,39.36963279516856,-1.4035077951685722
owlii,dancer,8K,32k8k,3525,0.1629997236616821,39.6802375,existing_selected,G-PCC x_low + arithmetic r1-r4,39.82366613032343,-0.14342863032343445
owlii,dancer,16K,32k8k,3525,0.2162048208216649,40.7278625,existing_selected,G-PCC x_low + arithmetic r1-r4,40.82105812717242,-0.09319562717242036
owlii,dancer,32K,32k8k,5525,0.2855230058771747,41.49431249999999,existing_selected,G-PCC x_low + arithmetic r1-r4,41.73135272711733,-0.2370402271173404
owlii,exercise,256,2k128,3525,0.0254210359072132,36.1327,existing_selected,G-PCC x_low + arithmetic r1-r4,36.10526120114394,0.027438798856060487
owlii,exercise,512,2k128,3525,0.0332209537538654,36.96495,existing_selected,G-PCC x_low + arithmetic r1-r4,37.005864848055054,-0.040914848055052744
owlii,exercise,1K,2k128,3525,0.0440589954040627,37.740925,existing_selected,G-PCC x_low + arithmetic r1-r4,37.685951961604935,0.054973038395061735
owlii,exercise,2K,8k256,1500,0.071513714183853,38.86215,provisional_rescue_H-PATH,G-PCC x_low + arithmetic r1-r4,38.98210068125276,-0.1199506812527602
owlii,exercise,4K,8k256,250,0.0998488688414052,39.3807625,provisional_rescue_H-PATH,G-PCC x_low + arithmetic r1-r4,39.77285124295166,-0.39208874295165685
owlii,exercise,8K,32k8k,3525,0.107450378602928,39.6865,existing_selected,G-PCC x_low + arithmetic r1-r4,39.97336674368805,-0.2868667436880443
owlii,exercise,16K,32k8k,3525,0.1518813891666085,40.4887375,existing_selected,G-PCC x_low + arithmetic r1-r4,40.69460502998368,-0.20586752998367785
owlii,exercise,32K,32k8k,5525,0.2094073333488339,41.094437500000005,existing_selected,G-PCC x_low + arithmetic r1-r4,41.19149552658289,-0.09705802658288576
owlii,model,256,2k128,3525,0.0636711237466838,32.9836875,existing_selected,G-PCC x_low + arithmetic r1-r4,,
owlii,model,512,2k128,3525,0.0805406268291385,33.815225,existing_selected,G-PCC x_low + arithmetic r1-r4,33.718932790324665,0.09629220967533314
owlii,model,1K,2k128,3525,0.0973736421615951,34.382875000000006,existing_selected,G-PCC x_low + arithmetic r1-r4,34.48316205865956,-0.10028705865955345
owlii,model,2K,8k256,1500,0.1457563986590752,35.5965,provisional_rescue_H-PATH,G-PCC x_low + arithmetic r1-r4,35.980893822854426,-0.38439382285442747
owlii,model,4K,8k256,250,0.1662990019080052,35.7703875,provisional_rescue_H-PATH,G-PCC x_low + arithmetic r1-r4,36.52030282429407,-0.7499153242940721
owlii,model,8K,32k8k,3525,0.2274889586548182,37.6266125,existing_selected,G-PCC x_low + arithmetic r1-r4,37.89316968419092,-0.26655718419092267
owlii,model,16K,32k8k,3525,0.2961832293179071,38.5879125,existing_selected,G-PCC x_low + arithmetic r1-r4,38.91945063638183,-0.3315381363818304
owlii,model,32K,32k8k,5525,0.3782320164803004,39.28283749999999,existing_selected,G-PCC x_low + arithmetic r1-r4,39.80460939550619,-0.5217718955061983
