recipe,checkpoint,total_updates,mean_model_bpp,mean_model_y_psnr,mean_model_yuv_psnr_611
Two-stage D111-to-D611,step3525,3525,2.1332392205454043,44.884285332439994,45.29264809296683
Direct D611,step3000,3000,2.1295930707405755,44.884024994019306,45.22593759697314
