endpoint,num_models,num_h5,total_points,mean_model_bpp,mean_model_y_psnr,mean_model_yuv_psnr_611
Base,28,792,57904570,0.5239161393510068,32.38487865947034,35.781621575709174
Full,28,792,57904570,1.586110761515086,40.956588896987945,42.5346951158693
