model_id,partition_id,sample,points,conditioning_lambda,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,num_base_residual_streams,num_native_r5_streams,base_bits,enhancement_bits,full_bits,base_bpp,enhancement_bpp,full_bpp,base_y_mse,base_u_mse,base_v_mse,base_y_psnr,base_u_psnr,base_v_psnr,base_yuv_psnr_611,full_y_mse,full_u_mse,full_v_mse,full_y_psnr,full_u_psnr,full_v_psnr,full_yuv_psnr_611,hard_full_max_abs_difference,seconds
RWT115,20,RWT115/model_mesh_P20.h5,68949,32768,1528,368,1000,3360,9328,4,0,15584,28312,43896,0.22602213230068602,0.4106223440514003,0.6366444763520863,0.000122904,3.27894e-05,2.52265e-05,39.1043,44.8427,45.9814,40.6812375,6.50991e-05,2.09932e-05,1.83606e-05,41.8642,46.7792,47.3611,43.1656875,0.0,5.8627579137682915
RWT115,21,RWT115/model_mesh_P21.h5,68949,32768,1504,472,1664,5320,13272,4,0,22232,29816,52048,0.32244122467330927,0.4324355683186123,0.7548767929919216,0.000144931,2.4075e-05,2.44678e-05,38.3884,46.1843,46.114,40.3285875,7.54777e-05,1.60176e-05,1.71334e-05,41.2218,47.954,47.6616,42.868300000000005,0.0,5.796942010521889
RWT115,22,RWT115/model_mesh_P22.h5,68949,32768,1624,312,1072,3608,9368,4,0,15984,27368,43352,0.23182352173345516,0.39693106499006514,0.6287545867235202,0.000109342,2.87444e-05,2.53242e-05,39.6121,45.4145,45.9646,41.1314625,5.35784e-05,1.98769e-05,1.84052e-05,42.7101,47.0165,47.3506,43.82846249999999,0.0,5.873480170965195
RWT115,23,RWT115/model_mesh_P23.h5,68950,32768,1480,512,1880,5848,12264,4,0,21984,25424,47408,0.3188397389412618,0.3687309644670051,0.6875707034082669,0.000125994,2.20618e-05,2.34395e-05,38.9965,46.5636,46.3005,40.8553875,6.43306e-05,1.74435e-05,1.79045e-05,41.9158,47.5837,47.4704,43.3186125,0.0,5.7425528690218925
RWT115,24,RWT115/model_mesh_P24.h5,68949,32768,1424,304,1480,4592,11040,4,0,18840,27656,46496,0.2732454422834269,0.4011080653816589,0.6743535076650858,0.000131767,2.50576e-05,3.55144e-05,38.8019,46.0106,44.496,40.41475,5.97729e-05,1.72809e-05,2.38258e-05,42.235,47.6243,46.2295,43.40797499999999,0.0,5.813386328518391
RWT115,25,RWT115/model_mesh_P25.h5,68949,32768,1568,360,1400,4728,11944,4,0,20000,26984,46984,0.2900694716384574,0.39136173113460676,0.6814312027730641,0.000130686,2.77655e-05,3.04264e-05,38.8377,45.5649,45.1675,40.469825,6.54945e-05,1.91796e-05,2.13809e-05,41.838,47.1716,46.6997,43.112412500000005,0.0,5.756198771297932
RWT115,26,RWT115/model_mesh_P26.h5,68949,32768,1376,480,1968,5536,12920,4,0,22280,25616,47896,0.32313739140524156,0.37152097927453626,0.6946583706797778,0.000122786,2.45569e-05,3.32739e-05,39.1085,46.0983,44.779,40.6910375,6.06329e-05,1.7145e-05,2.33186e-05,42.1729,47.6586,46.323,43.377374999999994,0.0,5.875406101346016
RWT115,27,RWT115/model_mesh_P27.h5,68950,32768,1400,432,1792,5936,14944,4,0,24504,26672,51176,0.3553879622915156,0.3868310369833213,0.7422189992748368,0.00012898,2.52631e-05,2.82111e-05,38.8948,45.9751,45.4958,40.6049625,6.84366e-05,1.61883e-05,1.90051e-05,41.6471,47.908,47.2113,43.125237500000004,0.0,5.8175023049116135
RWT115,28,RWT115/model_mesh_P28.h5,68949,32768,1520,568,1960,5176,12704,4,0,21928,31128,53056,0.3180321687044047,0.45146412565809513,0.7694962943624998,0.000151439,2.96298e-05,2.83374e-05,38.1976,45.2827,45.4764,39.9930875,7.63673e-05,1.80854e-05,1.88951e-05,41.1709,47.4267,47.2365,42.711075,0.0,5.782371647655964
RWT115,29,RWT115/model_mesh_P29.h5,68950,32768,1488,600,2120,6720,16680,4,0,27608,32416,60024,0.4004060913705584,0.4701377810007252,0.8705438723712835,0.000178446,2.31096e-05,2.48338e-05,37.4849,46.3621,46.0496,39.6651375,8.2295e-05,1.73024e-05,1.83346e-05,40.8463,47.6189,47.3673,42.507999999999996,0.0,5.778770536184311
