endpoint,rate_id,checkpoint_profile,base_lambda,model_id,num_h5,total_points,total_bits,bpp,y_mse,y_psnr,u_mse,u_psnr,v_mse,v_psnr,yuv_psnr_611
Full,Canonical_Full,32k8k,32768,RWT65,32,1890004,1948128,1.0307533740669332,9.035028249538097e-05,40.44070485206056,2.146229714111716e-05,46.68323796707429,1.5838325742749746e-05,48.00290729256336,42.16629679650013
Full,Canonical_Full,32k8k,32768,RWT115,32,2206378,1199472,0.5436384880559904,5.474746769901621e-05,42.6163596397237,1.682120505735191e-05,47.74142894922667,1.5090906758193743e-05,48.21284664250341,43.95655417875903
Full,Canonical_Full,32k8k,32768,RWT144,64,4126571,6324272,1.5325731703150145,8.050391460367457e-05,40.94183001005554,4.213740274700228e-05,43.75332236820162,4.218435514876638e-05,43.74848585349543,41.64409853525378
Full,Canonical_Full,32k8k,32768,RWT158,32,2881477,2955336,1.0256323406364167,9.313570667956053e-05,40.308837858186955,2.1998486699425328e-05,46.576071937547894,1.3199284919643637e-05,48.79449596359681,42.15294938128331
Full,Canonical_Full,32k8k,32768,RWT166,16,951094,921912,0.9693174386548543,0.00011369350394146108,39.44264348706926,0.00010247462238285593,39.893836733758825,8.77925350452216e-05,40.56542410363788,39.639390219976534
Full,Canonical_Full,32k8k,32768,RWT182,32,2854013,1787464,0.6262984786684573,6.037940746671442e-05,42.191111532406936,1.4216749847498945e-05,48.47199678193557,1.4606361061880234e-05,48.35457968021277,43.74665570707375
Full,Canonical_Full,32k8k,32768,RWT226,32,1792507,2490816,1.3895711425394712,8.342832942928534e-05,40.78686452651428,9.279702426707398e-06,50.32465950129306,7.695104383263218e-06,51.137854846346144,43.27296268834061
Full,Canonical_Full,32k8k,32768,RWT285,32,2860405,3992112,1.3956457214974802,0.00010999740449569204,39.586175623553885,1.6572447303301457e-05,47.8061335326815,8.960898474719489e-06,50.47648443122463,41.974958963153675
Full,Canonical_Full,32k8k,32768,RWT287,32,2104286,4382824,2.082808135396044,9.080216184458765e-05,40.41903811545011,5.3469230258529494e-05,42.718960679452806,5.170997635521027e-05,42.86425660812422,41.01218074753471
Full,Canonical_Full,32k8k,32768,RWT296,32,2896904,1125880,0.38864939949684213,5.478090896646902e-05,42.61370765878212,1.774352533173347e-05,47.509600891258344,1.0209585658147455e-05,49.90991882793753,44.13772070898607
Full,Canonical_Full,32k8k,32768,RWT323,32,1833437,2668200,1.4552995276085299,9.357076645060615e-05,40.288598131447,2.6359554037580787e-05,45.79061941599127,2.5651167509219016e-05,45.908928632511035,41.67889210464804
Full,Canonical_Full,32k8k,32768,RWT339,16,1598356,3351272,2.096699358590952,0.00010250449655220739,39.89257083047462,3.300968720003554e-05,44.81358591026918,2.2623908867048387e-05,46.45432357291686,41.327916808254216
Full,Canonical_Full,32k8k,32768,RWT380,16,1376586,4622696,3.358087326182309,9.810528451015775e-05,40.08307598412222,3.095004621098863e-05,45.0933869820566,2.7998318661601967e-05,45.52868047868948,41.39006542068492
Full,Canonical_Full,32k8k,32768,RWT391,16,1175911,3331200,2.8328674534042118,6.486085215403206e-05,41.88017349783263,1.8448935462292644e-05,47.340286883770226,1.2117204574113176e-05,49.16597559878072,43.47341293369334
Full,Canonical_Full,32k8k,32768,RWT405,8,483584,776816,1.6063724192694548,8.940740000000001e-05,40.486265343789746,1.64422375e-05,47.840390829162665,1.4723675e-05,48.31983777429146,42.38472758327408
Full,Canonical_Full,32k8k,32768,RWT438,64,4357239,6104544,1.4010119711128997,5.328236712390577e-05,42.7341648943058,2.668206869774644e-05,45.73780501997352,2.0874851208395958e-05,46.80376611394199,43.61832006246879
Full,Canonical_Full,32k8k,32768,RWT449,32,3114413,8535912,2.740777154475017,8.378129300378594e-05,40.76852941419582,3.4767070312800527e-06,54.58831904099337,1.2733896086771407e-06,58.9503869845882,44.76873531384456
Full,Canonical_Full,32k8k,32768,RWT453,32,2002771,1919488,0.9584161144733971,6.857728405713886e-05,41.6381971873047,1.399806305282531e-05,48.539320545836816,8.744523764426888e-06,50.58263837656245,43.61889275577843
Full,Canonical_Full,32k8k,32768,RWT463,16,1551288,4134448,2.6651711352115144,9.277076009393485e-05,40.32588885105133,4.651902762407754e-05,43.32369371800662,4.807516775350547e-05,43.18079191659537,41.057477342613744
Full,Canonical_Full,32k8k,32768,RWT499,16,1596325,1760488,1.1028380812177971,5.640087563641489e-05,42.487141534437654,1.3195896687892505e-05,48.79561093252022,8.500926569370273e-06,50.70533735222937,44.30297468642194
Full,Canonical_Full,32k8k,32768,RWT529,8,663415,804144,1.2121281550763852,8.11086015741278e-05,40.909330863795816,2.744140906476338e-05,45.61593592187592,2.2398706826194767e-05,46.497770546327914,42.19621145637234
Full,Canonical_Full,32k8k,32768,RWT535,64,3331913,11346536,3.4054118459875755,9.513259693287308e-05,40.21670647705864,2.6852012416800803e-05,45.71023160662343,2.0601351712544707e-05,46.861042834153054,41.73393916289105
Full,Canonical_Full,32k8k,32768,RWT541,16,1350922,1284672,0.9509594188265496,9.98663354141838e-05,40.005808862265866,1.736913916665803e-05,47.60221705124256,1.767669073603065e-05,47.52599036246121,41.89538257341237
