dataset,sample,metric,ours_point,ours_bpp,ours_quality,official_interpolated_quality,delta_vs_official
CTC,Facade_00009_vox12,yuv_psnr_611,512,0.5710472813164712,31.965187500000003,32.11272261313453,-0.14753511313452705
CTC,Facade_00009_vox12,yuv_psnr_611,8k,1.2743080725650575,37.4233625,37.59111906068223,-0.16775656068222844
CTC,House_without_roof_00057_vox12,y_psnr,16k,1.1249426397964835,38.7661,38.89295114645651,-0.1268511464565094
CTC,House_without_roof_00057_vox12,y_psnr,1k,0.28264963408057137,30.9208,31.031890775950387,-0.11109077595038741
CTC,House_without_roof_00057_vox12,y_psnr,2k,0.5229872884633034,32.9225,33.09655194530972,-0.17405194530972068
CTC,House_without_roof_00057_vox12,y_psnr,4k,0.7763031464842964,36.0906,36.27647481934755,-0.18587481934754635
CTC,House_without_roof_00057_vox12,y_psnr,512,0.2175969245650163,30.0696,30.179869033157956,-0.11026903315795522
CTC,House_without_roof_00057_vox12,y_psnr,8k,0.7983162653428877,36.6285,36.58474965003234,0.043750349967659474
CTC,House_without_roof_00057_vox12,yuv_psnr_611,16k,1.1249426397964835,40.14435,40.275757211372856,-0.13140721137285283
CTC,House_without_roof_00057_vox12,yuv_psnr_611,1k,0.28264963408057137,33.405375,33.401488641033986,0.0038863589660138587
CTC,House_without_roof_00057_vox12,yuv_psnr_611,2k,0.5229872884633034,35.0989,35.149967261633655,-0.05106726163365494
CTC,House_without_roof_00057_vox12,yuv_psnr_611,4k,0.7763031464842964,37.964912500000004,38.04473258515981,-0.07982008515980255
CTC,House_without_roof_00057_vox12,yuv_psnr_611,512,0.2175969245650163,32.74975,32.825702105000516,-0.07595210500051763
CTC,House_without_roof_00057_vox12,yuv_psnr_611,8k,0.7983162653428877,38.37321250000001,38.331226507471605,0.04198599252840296
CTC,Shiva_00035_vox12,y_psnr,16k,3.6035563236524064,36.9391,37.19217897839175,-0.2530789783917484
CTC,Shiva_00035_vox12,y_psnr,1k,1.3734734405409799,25.718,25.79027038572156,-0.0722703857215592
CTC,Shiva_00035_vox12,y_psnr,2k,2.419322744695441,29.1324,29.274699850947673,-0.14229985094767272
CTC,Shiva_00035_vox12,y_psnr,4k,3.0236520098460855,34.9218,35.13929319529536,-0.21749319529536137
CTC,Shiva_00035_vox12,y_psnr,512,1.15854813840013,24.93,25.00099580594553,-0.0709958059455289
CTC,Shiva_00035_vox12,y_psnr,8k,2.874779513482874,34.3121,34.547385923326054,-0.23528592332605314
CTC,Shiva_00035_vox12,yuv_psnr_611,16k,3.6035563236524064,37.3171875,37.52628582644149,-0.20909832644148452
CTC,Shiva_00035_vox12,yuv_psnr_611,1k,1.3734734405409799,28.2000125,28.246209059064267,-0.04619655906426701
CTC,Shiva_00035_vox12,yuv_psnr_611,2k,2.419322744695441,30.896012499999998,31.030243994396987,-0.1342314943969889
CTC,Shiva_00035_vox12,yuv_psnr_611,4k,3.0236520098460855,35.5544875,35.85558127980925,-0.3010937798092499
CTC,Shiva_00035_vox12,yuv_psnr_611,512,1.15854813840013,27.5718875,27.666879186108503,-0.09499168610850361
CTC,Shiva_00035_vox12,yuv_psnr_611,8k,2.874779513482874,35.162875,35.37284678134664,-0.2099717813466384
CTC,Staue_Klimt_vox12,y_psnr,16k,2.5110515150302204,38.0222,38.19373612872374,-0.17153612872374424
CTC,Staue_Klimt_vox12,y_psnr,1k,1.1530240563583236,28.6842,28.909437975263483,-0.22523797526348233
CTC,Staue_Klimt_vox12,y_psnr,2k,1.8792939198655085,32.1518,31.973933650918067,0.17786634908193477
CTC,Staue_Klimt_vox12,y_psnr,4k,2.092302765880799,36.4088,36.439232976002906,-0.030432976002906287
CTC,Staue_Klimt_vox12,y_psnr,512,1.0155545771124364,28.0401,28.207304743957074,-0.1672047439570754
CTC,Staue_Klimt_vox12,y_psnr,8k,1.9971660729295921,35.8209,35.98963572375188,-0.16873572375187962
CTC,Staue_Klimt_vox12,yuv_psnr_611,16k,2.5110515150302204,38.4651625,38.62257952043508,-0.15741702043508354
CTC,Staue_Klimt_vox12,yuv_psnr_611,1k,1.1530240563583236,30.362225,30.485981158712104,-0.12375615871210499
CTC,Staue_Klimt_vox12,yuv_psnr_611,2k,1.8792939198655085,33.3507125,33.149018715593485,0.20169378440651542
CTC,Staue_Klimt_vox12,yuv_psnr_611,4k,2.092302765880799,37.0182875,37.13687704127731,-0.11858954127730925
