step,R_noise,D_F,D_Y,D_U,D_V,lambda_D,loss,gradient_norm,lr,points,step_seconds,peak_gpu_memory_gib,finite
1764,1.1403203010559082,5.046733713243157e-05,6.18685589870438e-05,3.0029650588403456e-05,2.5300143533968367e-05,1.6537137031555176,2.794034004211426,22.469968795776367,1e-05,243223,3.6405401825904846,5.124252796173096,True
1765,0.6534838676452637,3.866421684506349e-05,4.645682201953605e-05,2.0193496311549097e-05,2.5964505766751245e-05,1.2669490575790405,1.9204329252243042,29.88848304748535,1e-05,251788,1.3105023726820946,8.094128608703613,True
1766,1.3502635955810547,4.568427902995609e-05,6.216391921043396e-05,1.259449254575884e-05,1.2855514796683565e-05,1.496982455253601,2.8472461700439453,30.573543548583984,1e-05,290728,1.6408594250679016,8.99193286895752,True
1767,1.3675283193588257,5.124983363202773e-05,5.84951885684859e-05,2.8873821065644734e-05,4.464441735763103e-05,1.6793545484542847,3.0468828678131104,19.35775375366211,1e-05,304331,1.6929231360554695,9.905967235565186,True
1768,0.7747108340263367,3.6199227906763554e-05,4.778947914019227e-05,1.363197952741757e-05,1.2405478628352284e-05,1.1861763000488281,1.9608871936798096,8.358551979064941,1e-05,330001,1.935079850256443,10.665325164794922,True
1769,0.6699858903884888,3.199107959517278e-05,4.410327164805494e-05,6.90374417899875e-06,8.629647709312849e-06,1.0482836961746216,1.7182695865631104,20.548187255859375,1e-05,290294,1.6152970641851425,10.665325164794922,True
1770,1.640715479850769,5.189509465708397e-05,6.414653762476519e-05,3.1820109143154696e-05,2.2964297386351973e-05,1.7004984617233276,3.3412139415740967,30.887866973876953,1e-05,286437,1.6549012959003448,10.665325164794922,True
1771,0.9751512408256531,4.3957101297564805e-05,5.8995592553401366e-05,1.3913356269767974e-05,1.384689676342532e-05,1.4403862953186035,2.4155375957489014,28.11881446838379,1e-05,253082,1.4442678093910217,10.665325164794922,True
1772,1.1206774711608887,4.3234267650404945e-05,5.58464162168093e-05,1.8915268810815178e-05,1.7104679500334896e-05,1.4167004823684692,2.5373778343200684,16.695585250854492,1e-05,226804,1.4273713901638985,10.665325164794922,True
1773,1.6930662393569946,5.313975634635426e-05,5.6483786465832964e-05,4.1335588321089745e-05,5.156780025572516e-05,1.7412835359573364,3.434349775314331,229.32798767089844,1e-05,279848,1.6452270671725273,10.665325164794922,True
1774,0.9174798130989075,3.187034235452302e-05,4.1621380660217255e-05,1.2397081263770815e-05,1.2339435670583043e-05,1.0443273782730103,1.9618072509765625,12.973569869995117,1e-05,286884,1.4230433627963066,10.665325164794922,True
1775,0.8336972594261169,3.493708572932519e-05,4.512370651355013e-05,1.729199539113324e-05,1.1835683835670352e-05,1.1448184251785278,1.978515625,16.37778663635254,1e-05,289442,1.6831914857029915,10.665325164794922,True
1776,1.0352944135665894,4.1579613025533035e-05,4.5863722334615886e-05,3.0038905606488697e-05,3.59838995791506e-05,1.3624807596206665,2.397775173187256,13.5388765335083,1e-05,268357,1.4944739639759064,10.665325164794922,True
1777,1.548454761505127,4.563581387628801e-05,6.115171709097922e-05,1.6524645616300404e-05,1.2683389286394231e-05,1.4953943490982056,3.043848991394043,14.194146156311035,1e-05,245124,1.4111326485872269,10.665325164794922,True
1778,1.0640342235565186,3.7435918784467503e-05,4.549738150672056e-05,1.9352411982254125e-05,2.3273554688785225e-05,1.2267001867294312,2.29073429107666,9.410691261291504,1e-05,272984,1.5544936805963516,10.665325164794922,True
