dataset,pairs,delta_bpp_mean,delta_bpp_median,delta_bpp_min,delta_bpp_max,delta_Y_mean,delta_Y_median,delta_Y_min,delta_Y_max,delta_U_mean,delta_U_median,delta_U_min,delta_U_max,delta_V_mean,delta_V_median,delta_V_min,delta_V_max,delta_YUV611_mean,delta_YUV611_median,delta_YUV611_min,delta_YUV611_max,Y_positive,Y_equal,Y_negative,Y_near_zero,U_positive,U_equal,U_negative,U_near_zero,V_positive,V_equal,V_negative,V_near_zero,YUV611_positive,YUV611_equal,YUV611_negative,YUV611_near_zero
8iVFB,28.0,0.24994391757664705,0.11510215423348609,0.0002781623897130034,1.6148425462081248,2.568532142857142,1.8706499999999995,0.016199999999997772,11.065999999999995,0.5341535714285721,0.07754999999999868,-0.08299999999999841,3.6625000000000014,0.8119535714285717,0.028300000000001546,-0.2102000000000004,3.7404999999999973,2.0946625,1.507462499999999,-0.014687499999993747,9.054762500000002,28.0,0.0,0.0,0.0,22.0,0.0,6.0,1.0,21.0,0.0,7.0,5.0,27.0,0.0,1.0,0.0
CTC,84.0,0.11498099272727845,0.01029733352428186,1.0335510034820139e-05,1.0850807786344712,0.994701190476191,0.22995000000000054,-0.2417999999999978,7.910200000000003,0.06943333333333333,0.037349999999999994,-0.7098000000000013,1.0116999999999976,0.0036130952380955725,-0.0015000000000000568,-0.4513999999999996,0.6103000000000023,0.7551566964285713,0.1750062500000027,-0.18064999999999998,5.957625,76.0,0.0,8.0,4.0,54.0,0.0,30.0,6.0,41.0,0.0,43.0,15.0,72.0,0.0,12.0,6.0
Owlii,28.0,0.15501846393009375,0.03413429012322216,0.001339254574623902,0.84768340795585,2.187567857142858,1.5183999999999997,0.1010999999999953,8.765700000000002,0.15710000000000005,0.048799999999999955,-0.05369999999999919,0.7291000000000025,0.15963571428571477,0.0642499999999977,-0.08579999999999899,0.7632000000000048,1.6802678571428589,1.1642999999999972,0.07201249999999959,6.657412500000007,28.0,0.0,0.0,0.0,26.0,0.0,2.0,0.0,19.0,0.0,9.0,2.0,28.0,0.0,0.0,0.0
