dataset,sample,operating_point,metric,delta_db,classification,enhancement_bits,delta_bpp,delta_Y,delta_U,delta_V,delta_YUV611
CTC,House_without_roof_00057_vox12,4k,U,-0.00269999999999726,near_zero_negative,282280,0.05821712628731768,1.3912000000000049,-0.00269999999999726,-0.05439999999999401,1.0362624999999994
CTC,loot_viewdep_vox12,2k,V,-0.4513999999999996,negative,1080,0.0003579376823867053,0.0006000000000057071,-0.20650000000000546,-0.4513999999999996,-0.08178749999999724
CTC,loot_viewdep_vox12,4k,V,-0.38220000000000454,negative,1480,0.0004905071943817063,0.02360000000000184,-0.19899999999999807,-0.38220000000000454,-0.05495000000000516
CTC,soldier_viewdep_vox12,4k,V,-0.3669000000000011,negative,6064,0.0015153355253721412,0.017099999999999227,-0.1395000000000053,-0.3669000000000011,-0.050474999999998715
CTC,soldier_viewdep_vox12,2k,V,-0.2546999999999997,negative,6776,0.0016932575065833344,0.08200000000000074,-0.18959999999999866,-0.2546999999999997,0.005962499999988324
CTC,loot_viewdep_vox12,1k,V,-0.24090000000000344,negative,32,1.0605560959595084e-05,-0.1278999999999968,0.5596000000000032,-0.24090000000000344,-0.05608749999999674
CTC,boxer_viewdep_vox12,2k,V,-0.2295999999999978,negative,3488,0.0009985442667442002,0.05530000000000257,-0.09850000000000136,-0.2295999999999978,0.00046250000000469527
8iVFB,soldier,4k,V,-0.2102000000000004,negative,7248,0.006655091264182733,0.10099999999999909,-0.024900000000002365,-0.2102000000000004,0.046362499999993645
8iVFB,loot,4k,V,-0.19489999999999696,negative,1504,0.0018676617595013156,0.016199999999997772,-0.019799999999996487,-0.19489999999999696,-0.014687499999993747
CTC,boxer_viewdep_vox12,4k,V,-0.19350000000000023,negative,3728,0.001067251441061401,0.029000000000003467,-0.045800000000006946,-0.19350000000000023,-0.008162500000004513
CTC,Staue_Klimt_vox12,4k,V,-0.14530000000000598,negative,5848,0.011703958691910543,0.2886999999999986,-0.12119999999999465,-0.14530000000000598,0.18321249999999623
CTC,Facade_00009_vox12,4k,V,-0.12700000000000244,negative,8800,0.0055134908228571256,0.102800000000002,-0.15290000000000248,-0.12700000000000244,0.04211250000000888
CTC,basketball_player_vox11_00000200,4k,V,-0.12370000000000658,negative,24712,0.00844706263583081,0.5645000000000024,0.012099999999996669,-0.12370000000000658,0.4094250000000059
CTC,boxer_viewdep_vox12,1k,V,-0.11439999999999628,negative,624,0.00017863865322480244,0.0858999999999952,0.2383999999999986,-0.11439999999999628,0.0799249999999958
CTC,soldier_viewdep_vox12,8k,V,-0.10640000000000072,negative,20720,0.005177729565585487,0.03300000000000125,-0.017000000000003013,-0.10640000000000072,0.009324999999996919
CTC,House_without_roof_00057_vox12,1k,V,-0.1039999999999992,negative,85608,0.01765570266120403,0.4283000000000001,0.1401000000000039,-0.1039999999999992,0.32573750000000246
CTC,soldier_viewdep_vox12,1k,V,-0.10040000000000049,negative,2080,0.0005197720799428873,0.013600000000003831,0.279200000000003,-0.10040000000000049,0.03254999999999342
CTC,Shiva_00035_vox12,8k,V,-0.0882000000000005,negative,106640,0.10567497611808951,0.9939000000000036,0.08679999999999666,-0.0882000000000005,0.7452499999999986
CTC,soldier_viewdep_vox12,32k,V,-0.08809999999999718,negative,1327384,0.33170054930912796,1.7879999999999967,-0.2635000000000005,-0.08809999999999718,1.2970499999999987
Owlii,exercise,4k,V,-0.08579999999999899,negative,5120,0.007936323405178816,0.22509999999999764,0.010500000000000398,-0.08579999999999899,0.15941249999999485
CTC,Shiva_00035_vox12,32k,V,-0.0823999999999998,negative,1090208,1.0803423139886554,6.235800000000005,0.11220000000000141,-0.0823999999999998,4.680575000000005
CTC,basketball_player_vox11_00000200,512,V,-0.07780000000000342,negative,1736,0.0005933999974020998,0.0701000000000036,0.06990000000000407,-0.07780000000000342,0.05158749999999657
CTC,dancer_vox11_00000001,4k,V,-0.07759999999999678,negative,22440,0.008654876390314897,0.47409999999999997,0.008399999999994634,-0.07759999999999678,0.3469249999999988
CTC,dancer_vox11_00000001,512,V,-0.07609999999999673,negative,1680,0.0006479586602375006,0.06820000000000448,0.052599999999998204,-0.07609999999999673,0.04821250000000532
Owlii,basketball_player,4k,V,-0.07469999999999999,negative,8544,0.010730743000965798,0.39509999999999934,0.023800000000001376,-0.07469999999999999,0.28996250000000146
