case_id,channel_tradeoff,correction_norm,correction_residual_norm_ratio,cosine_alignment,d111_improves_yuv611_worsens,d111_worsens,dataset,delta_U,delta_V,delta_Y,delta_YUV611,delta_bpp,distortion_weights,enhancement_bits,failure_mode,objective,point,poor_alignment,reproduction_class,residual_norm,roles,sample,status,tiny_enhancement_rate,training_distortion_delta,weighted_improved_fraction
q3_15_CTC_loot_viewdep_vox12_1k,True,2.655615464611763,0.13960022327497085,0.0018921160512201773,False,True,CTC,0.5596000000000032,-0.24090000000000344,-0.1278999999999968,-0.05608750000000384,1.0605560959604413e-05,"1.0,1.0,1.0",32,minority_pointwise_improvement,D111,1k,True,exact_frozen,19.02300298890634,negative,loot_viewdep_vox12,EXACT_PASS,True,7.579797165974188e-07,0.46121496643505666
q3_16_CTC_loot_viewdep_vox12_2k,True,1.778370705308344,0.12454312136855265,0.0019012758686539845,False,True,CTC,-0.20650000000000546,-0.4513999999999996,0.0006000000000057071,-0.08178749999999013,0.00035793768238664894,"1.0,1.0,1.0",1080,minority_pointwise_improvement,D111,2k,True,exact_frozen,14.279156373845192,negative,loot_viewdep_vox12,EXACT_PASS,True,3.3871971664686205e-07,0.4329362324076115
q3_17_CTC_loot_viewdep_vox12_4k,True,0.9677929129169941,0.06429126425478363,-0.01610988135224601,False,True,CTC,-0.19899999999999807,-0.38220000000000454,0.02360000000000184,-0.05495000000000516,0.000490507194381704,"1.0,1.0,1.0",1480,nonpositive_residual_alignment,D111,4k,True,exact_frozen,15.05325683255614,negative,loot_viewdep_vox12,EXACT_PASS,True,1.5532889666850203e-07,0.4382913778446517
q3_18_CTC_loot_viewdep_vox12_512,False,2.0997682521160774,0.09560381338145447,0.17057937953404118,False,False,CTC,0.7739000000000047,0.006000000000000227,0.06109999999999616,0.1433125000000004,1.0605560959604413e-05,"1.0,1.0,1.0",32,globally_aligned_content_dependent_outcome,D111,512,False,exact_frozen,21.96322696604273,same_sample_nearest_positive,loot_viewdep_vox12,EXACT_PASS,True,-1.251061362798281e-06,0.6305585982099802
q3_19_CTC_loot_viewdep_vox12_8k,False,1.7484267772926234,0.11140182489950075,-0.00903360489541079,False,True,CTC,-0.02559999999999718,-0.04019999999999868,-0.06709999999999638,-0.05855000000000388,0.00185067038745097,"1.0,1.0,1.0",5584,nonpositive_residual_alignment,D111,8k,True,exact_frozen,15.694776803431512,negative,loot_viewdep_vox12,EXACT_PASS,False,3.9249209528857964e-07,0.4385101175394436
q3_20_CTC_redandblack_viewdep_vox12_1k,True,3.2885332957907765,0.09325241442031201,-0.05427221948051473,False,True,CTC,0.009199999999999875,-0.0036000000000058208,-0.2417999999999978,-0.18064999999999998,0.0005515116580829845,"1.0,1.0,1.0",1528,nonpositive_residual_alignment,D111,1k,True,exact_frozen,35.26485953455888,negative,redandblack_viewdep_vox12,EXACT_PASS,True,2.81558653691037e-06,0.4462902358975618
q3_21_CTC_redandblack_viewdep_vox12_2k,True,2.5997418308839455,0.0958891519156606,-0.046867762110916554,False,True,CTC,-0.13600000000000279,0.004899999999999238,-0.16689999999999827,-0.14156249999999204,0.0017989097538518288,"1.0,1.0,1.0",4984,nonpositive_residual_alignment,D111,2k,True,exact_frozen,27.1119493597206,negative,redandblack_viewdep_vox12,EXACT_PASS,False,1.6080365176528868e-06,0.40938695942021974
q3_22_CTC_redandblack_viewdep_vox12_4k,True,1.7365446385028085,0.07584145057130098,0.04455257219250062,False,False,CTC,-0.03519999999999612,0.0018000000000029104,0.02379999999999427,0.013674999999999216,0.0017584848155630238,"1.0,1.0,1.0",4872,minority_pointwise_improvement,D111,4k,True,exact_frozen,22.89703882799851,same_dataset_point_delta_bpp_control;same_sample_nearest_positive,redandblack_viewdep_vox12,EXACT_PASS,False,-6.34512011937548e-08,0.4702661946092623
q3_23_CTC_redandblack_viewdep_vox12_512,True,2.3031405608114657,0.0606295393940276,0.04302774963035331,True,False,CTC,0.14630000000000365,0.025900000000000034,-0.07630000000000337,-0.035700000000005616,1.154998236823004e-05,"1.0,1.0,1.0",32,globally_aligned_content_dependent_outcome,D111,512,True,exact_frozen,37.98710304961248,negative,redandblack_viewdep_vox12,EXACT_PASS,True,-2.67635712592811e-07,0.5722438764339574
q3_24_CTC_redandblack_viewdep_vox12_8k,True,2.640435103522557,0.11148106557306846,0.0874607491340331,False,False,CTC,-0.008000000000002672,0.026600000000001955,0.049299999999995237,0.03929999999999012,0.006349602806934465,"1.0,1.0,1.0",17592,minority_pointwise_improvement,D111,8k,True,bounded_runtime_hardware_sensitivity,23.685054407664648,same_dataset_point_delta_bpp_control,redandblack_viewdep_vox12,SENSITIVITY_INCLUDED,False,-4.77338110010594e-07,0.4947369978780517
q3_25_CTC_soldier_viewdep_vox12_1k,True,3.30181605354968,0.11549719270023186,0.08195440679775402,False,False,CTC,0.279200000000003,-0.10040000000000049,0.013600000000003831,0.03254999999999342,0.000519772079942945,"1.0,1.0,1.0",2080,globally_aligned_content_dependent_outcome,D111,1k,True,exact_frozen,28.587846824289535,same_dataset_point_delta_bpp_control,soldier_viewdep_vox12,EXACT_PASS,True,-3.806381399981805e-07,0.512193153302277
q3_26_CTC_soldier_viewdep_vox12_2k,True,2.4231825639799767,0.11527235504758397,0.09421291435136477,False,False,CTC,-0.18959999999999866,-0.2546999999999997,0.08200000000000074,0.00596249999999543,0.0016932575065833632,"1.0,1.0,1.0",6776,minority_pointwise_improvement,D111,2k,True,exact_frozen,21.02136772498225,same_dataset_point_delta_bpp_control;same_sample_nearest_positive,soldier_viewdep_vox12,EXACT_PASS,False,-3.1039192581652617e-07,0.49466783815296994
q3_27_CTC_soldier_viewdep_vox12_4k,True,1.42143089416712,0.0689146245769781,-0.007774383962235073,False,True,CTC,-0.1395000000000053,-0.3669000000000011,0.017099999999999227,-0.050474999999998715,0.0015153355253721243,"1.0,1.0,1.0",6064,nonpositive_residual_alignment,D111,4k,True,exact_frozen,20.625968767766736,negative,soldier_viewdep_vox12,EXACT_PASS,False,2.0627043515819108e-07,0.42161512176910426
q3_28_CTC_soldier_viewdep_vox12_8k,True,2.767631013059922,0.12530085650477807,0.08276112529548924,False,False,CTC,-0.017000000000003013,-0.10640000000000072,0.03300000000000125,0.009325000000004025,0.005177729565585491,"1.0,1.0,1.0",20720,minority_pointwise_improvement,D111,8k,True,exact_frozen,22.08788583144589,same_dataset_point_delta_bpp_control,soldier_viewdep_vox12,EXACT_PASS,False,-2.0480842330422249e-07,0.473437147810685
