operating_point,pairs,delta_bpp_mean,delta_bpp_median,delta_bpp_min,delta_bpp_max,delta_Y_mean,delta_Y_median,delta_Y_min,delta_Y_max,delta_U_mean,delta_U_median,delta_U_min,delta_U_max,delta_V_mean,delta_V_median,delta_V_min,delta_V_max,delta_YUV611_mean,delta_YUV611_median,delta_YUV611_min,delta_YUV611_max,Y_positive,Y_equal,Y_negative,Y_near_zero,U_positive,U_equal,U_negative,U_near_zero,V_positive,V_equal,V_negative,V_near_zero,YUV611_positive,YUV611_equal,YUV611_negative,YUV611_near_zero
512,20.0,0.003964264210557812,0.0014282144563877025,1.0335510034820139e-05,0.04635148712186729,0.20074499999999934,0.09909999999999997,-0.07630000000000337,1.6311,0.16369000000000078,0.07280000000000086,-0.15809999999999746,0.7739000000000047,0.01310500000000019,-0.002649999999999153,-0.07780000000000342,0.3097999999999992,0.1726581250000004,0.07405000000000328,-0.03569999999999851,1.3083500000000008,19.0,0.0,1.0,1.0,18.0,0.0,2.0,1.0,9.0,0.0,11.0,4.0,19.0,0.0,1.0,0.0
1k,20.0,0.01687134803477899,0.00639961814304885,1.0605560959595084e-05,0.13067184480503888,0.4968700000000002,0.28460000000000285,-0.2417999999999978,3.404,0.16526000000000032,0.06709999999999994,-0.2571000000000012,1.1033000000000044,0.061244999999999904,0.0077000000000015945,-0.24090000000000344,0.8951999999999991,0.4009656249999994,0.25457500000000444,-0.18064999999999998,2.8028124999999946,16.0,0.0,4.0,1.0,18.0,0.0,2.0,1.0,11.0,0.0,9.0,4.0,16.0,0.0,4.0,0.0
2k,20.0,0.03882364912137092,0.024414333795593567,0.0003579376823867053,0.18328931449497998,0.8801850000000007,0.6641000000000012,-0.16689999999999827,3.7144999999999975,-0.04596499999999999,0.015550000000001063,-0.7098000000000013,0.20980000000000132,-0.028884999999998762,0.004300000000000637,-0.4513999999999996,0.13649999999999807,0.6507824999999994,0.513981249999997,-0.14156249999999915,2.8089749999999967,19.0,0.0,1.0,1.0,12.0,0.0,8.0,0.0,13.0,0.0,7.0,7.0,18.0,0.0,2.0,3.0
4k,20.0,0.020711688823123665,0.008191693020504813,0.0004905071943817063,0.1446584130373465,0.3822950000000002,0.223749999999999,0.016199999999997772,1.3912000000000049,0.02151999999999994,-0.022349999999999426,-0.19899999999999807,1.0751000000000062,0.03926499999999926,-0.07614999999999839,-0.38220000000000454,1.4641999999999982,0.2943193750000006,0.17131249999999554,-0.05495000000000516,1.3271625,20.0,0.0,0.0,0.0,8.0,0.0,12.0,2.0,6.0,0.0,14.0,2.0,16.0,0.0,4.0,1.0
8k,20.0,0.10432203375184583,0.08722450738385455,0.0018506703874509867,0.5350142080222293,1.4565000000000012,1.6168000000000013,-0.06709999999999638,4.182099999999998,0.21197499999999964,0.1042999999999985,-0.080600000000004,2.5649000000000015,0.3809350000000006,0.08310000000000173,-0.10640000000000072,3.0900999999999996,1.166488750000001,1.25219375,-0.05855000000000388,3.788249999999998,18.0,0.0,2.0,1.0,12.0,0.0,8.0,1.0,14.0,0.0,6.0,2.0,18.0,0.0,2.0,2.0
16k,20.0,0.17789987565911453,0.15400818227755442,0.004639932919826922,0.8367324579295682,2.043170000000001,2.2111500000000035,0.036999999999999034,5.671499999999995,0.4567949999999996,0.1641499999999958,-0.05409999999999826,3.6625000000000014,0.5408750000000004,0.17675000000000196,-0.020799999999994156,3.7404999999999973,1.6570862500000003,1.8011124999999986,0.03943749999999824,5.124487500000001,20.0,0.0,0.0,0.0,19.0,0.0,1.0,1.0,17.0,0.0,3.0,2.0,20.0,0.0,0.0,0.0
32k,20.0,0.6872746439632148,0.6242192834230409,0.1593671131497357,1.6148425462081248,5.376520000000001,6.0595,0.9913999999999987,11.065999999999995,0.2861000000000008,0.11055000000000348,-0.3868000000000009,3.288499999999999,0.3688600000000008,0.051300000000001234,-0.08809999999999718,3.2424999999999997,4.11426,4.579768750000003,0.6930625000000035,9.054762500000002,20.0,0.0,0.0,0.0,15.0,0.0,5.0,1.0,11.0,0.0,9.0,1.0,20.0,0.0,0.0,0.0
