sequence,full_vs_r01_delta_bpp,full_vs_r01_delta_bpp_percent,full_vs_r01_delta_yuv611,base_gain_vs_native_yuv611
longdress,0.06463659399090393,3.403996209052118,-0.592662500000003,1.7643750000000011
loot,0.04514178210198877,10.029798035536919,-0.15322499999999195,0.7256250000000009
redandblack,0.08362247934844147,9.569724870409967,-0.14665000000000106,0.7638999999999996
soldier,0.03276861162198563,4.495525636891329,-0.5280750000000012,1.364325000000001
