sequence,shared_base_bpp,delta_y,delta_u,delta_v,delta_yuv611
longdress,0.7671073212691412,2.258300000000002,0.1886999999999972,0.37650000000000006,1.7643750000000011
loot,0.24322320669079892,0.9558999999999997,0.08660000000000423,-0.017000000000003013,0.7256250000000009
redandblack,0.4100880174107915,0.9936999999999969,-0.003900000000001569,0.15289999999999537,0.7638999999999996
soldier,0.39337025097076367,1.8079999999999998,0.07319999999999993,-0.006599999999998829,1.364325000000001
