sequence,official_r01_bpp,official_r01_yuv611,canonical_base_bpp,canonical_base_yuv611,canonical_full3525_bpp,canonical_full3525_yuv611
longdress,1.898844476354541,41.53530000000001,0.7671073212691412,34.8154125,1.9634810703454448,40.942637500000004
loot,0.45007668092662845,45.6166625,0.24322320669079892,43.0396875,0.4952184630286172,45.463437500000005
redandblack,0.8738232340096425,42.7703625,0.4100880174107915,39.2361625,0.9574457133580839,42.623712499999996
soldier,0.7289161328116751,44.8988,0.39337025097076367,41.76325,0.7616847444336607,44.370725
