sequence,full_vs_r01_delta_y_psnr,full_vs_r01_delta_u_psnr,full_vs_r01_delta_v_psnr
longdress,-0.7691999999999979,0.39450000000000074,-0.5206000000000017
loot,-0.2073000000000036,0.008900000000004127,0.00910000000000366
redandblack,-0.22630000000000194,0.21060000000000656,-0.02599999999999625
soldier,-0.7047000000000025,0.00730000000000075,-0.003700000000002035
