sequence,step1763_bpp,step3525_bpp,delta_bpp_3525_minus_1763,delta_y_psnr_3525_minus_1763,delta_u_psnr_3525_minus_1763,delta_v_psnr_3525_minus_1763,delta_yuv611_3525_minus_1763
longdress,1.9834072678870724,1.9634810703454448,-0.01992619754162761,-0.831399999999995,0.0818000000000012,0.25950000000000273,-0.5808874999999958
loot,0.4910062896986781,0.4952184630286172,0.004212173329939117,-0.39970000000000283,0.08460000000000178,0.06970000000000454,-0.28048749999999245
redandblack,0.9450712757575318,0.9574457133580839,0.012374437600552124,-0.5814999999999984,0.2331000000000003,0.23100000000000165,-0.3781125000000074
soldier,0.7532446783602105,0.7616847444336607,0.00844006607345027,-0.4928999999999988,0.03160000000000451,0.07089999999999463,-0.3568624999999912
